SURVEY: PS1MD
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: Gaia17bci 
IAUC: 2017dit
RA:   231.995598
DECL:    42.846940 
RA_HOST:   231.997730
DEC_HOST:    42.849630
MWEBV: 0.0225 
FILTERS: griz
REDSHIFT_HELIO: 0.01859 +- 0.00015 
REDSHIFT_CMB: 0.0188843 +- 0.00015 
VPEC: -21.6706 +- 250.0
SEARCH_PEAKMJD: 57882.36016025 
HOSTGAL_LOGMASS: 9.311 +- 0.002
NOBS: 23
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57877.43583816 g MD  41011.265 260.793 15.9677420865 0.00686778230323 5.89 0
OBS: 57882.35976386 g MD  48978.054 376.871 15.7749961857 0.00831026647159 6.77 0
OBS: 57938.36762942 g MD  2575.892 120.214 18.9726808742 0.0504023926469 4.83 0
OBS: 57877.43622998 r MD  41556.043 228.326 15.9534145325 0.00593396440561 5.18 0
OBS: 57882.36016025 r MD  49695.476 315.549 15.7592078631 0.00685762462563 6.60 0
OBS: 57888.49354509 r MD  37869.158 278.162 16.0542858777 0.00793297173388 8.05 0
OBS: 57895.41799586 r MD  25905.465 187.166 16.4665215194 0.00780295895094 5.23 0
OBS: 57902.45529950 r MD  22812.108 179.81 16.6045864525 0.00851279504726 3.62 0
OBS: 57917.45318861 r MD  9920.017 193.718 17.508718959 0.0210902299865 6.53 0
OBS: 57938.36803091 r MD  4748.932 110.505 18.3085101226 0.0251309978749 4.48 0
OBS: 57877.43659726 i MD  28000.645 202.128 16.3820799112 0.00779618612357 4.42 0
OBS: 57882.36051395 i MD  27655.523 284.136 16.3955453102 0.011096043275 6.10 0
OBS: 57888.49390496 i MD  19491.966 243.138 16.7753608871 0.0134716549372 7.47 0
OBS: 57895.41836340 i MD  14125.39 171.467 17.1249988813 0.0131100351919 5.53 0
OBS: 57902.45565228 i MD  17136.463 164.074 16.915197031 0.0103405189274 3.39 0
OBS: 57917.45354244 i MD  7973.794 200.966 17.7458374709 0.0272195745212 6.79 0
OBS: 57938.36838976 i MD  3276.071 104.401 18.7116167366 0.0344171661725 4.35 0
OBS: 57877.43695277 z MD  25106.177 243.078 16.5005485342 0.0104565597542 4.43 0
OBS: 57882.36087378 z MD  25877.251 335.918 16.4677046541 0.0140197055707 5.95 0
OBS: 57895.41873380 z MD  18273.604 279.377 16.8454394769 0.0165116394117 6.08 0
OBS: 57902.45601981 z MD  18914.64 234.039 16.8080048004 0.0133633058837 4.21 0
OBS: 57917.45389111 z MD  7290.948 244.849 17.843039998 0.0362692094361 5.55 0
OBS: 57938.36875179 z MD  2267.95 140.853 19.1109163107 0.067074335854 4.17 0
END:
