SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: PS15bdr 
IAUC: UNKNOWN
RA:   253.705907
DECL:    36.725196 
RA_HOST:   253.705566
DEC_HOST:    36.727549
MWEBV: 0.0138 
FILTERS: griz
REDSHIFT_HELIO: 0.0709596 +- 1.3979e-05 
REDSHIFT_CMB: 0.0709388 +- 1.3979e-05 
VPEC: -60.541772 +- 250.0
SEARCH_PEAKMJD: 57215.27665174 
HOSTGAL_LOGMASS: 11.079 +- 0.001
NOBS: 41
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57215.27665174 g MD  3906.46 96.743 18.5205415457 0.0267460667715 3.65 0
OBS: 57222.26493306 g MD  2929.692 83.304 18.8329450871 0.0307091393908 3.41 0
OBS: 57228.26683251 g MD  1542.029 158.723 19.5297686467 0.111165769256 5.73 0
OBS: 57228.26854296 g MD  1738.489 113.646 19.3995701322 0.0706002051207 5.44 0
OBS: 57234.26633664 g MD  414.659 257.048 20.95577226 0.669494307371 7.02 0
OBS: 57240.38185066 g MD  549.662 80.775 20.6497607156 0.158710261943 4.79 0
OBS: 57250.32991647 g MD  -2181.111 2134.366 27.5 -1.05685372271 7.20 0
OBS: 57251.25572331 g MD  117.143 77.072 22.328209145 0.710565377359 4.39 0
OBS: 57215.27704362 r MD  3720.405 87.791 18.5735244516 0.0254849351079 3.83 0
OBS: 57222.26532525 r MD  3414.053 75.719 18.6668243529 0.023952914615 3.16 0
OBS: 57228.26727289 r MD  2361.719 98.924 19.0669294412 0.0452373546557 4.44 0
OBS: 57234.26673446 r MD  1817.347 202.529 19.351405354 0.120357488141 7.06 0
OBS: 57240.38231295 r MD  1118.605 73.433 19.8783081094 0.0708986997197 4.68 0
OBS: 57251.25610905 r MD  581.171 63.999 20.589240162 0.118930435276 4.33 0
OBS: 57207.39011746 r MD  1747.037 62.646 19.3942447428 0.0387271019446 4.67 0
OBS: 57207.40237762 r MD  1661.974 54.956 19.4484394366 0.0357120388165 4.67 0
OBS: 57207.41472761 r MD  1855.707 55.387 19.3287264851 0.0322345930688 4.28 0
OBS: 57207.42781569 r MD  1763.059 58.811 19.384332885 0.0360259526198 4.51 0
OBS: 57215.27739636 i MD  2573.404 82.833 18.9737300708 0.0347631541725 3.41 0
OBS: 57222.26568353 i MD  2254.827 74.236 19.1172169336 0.0355569983861 3.16 0
OBS: 57228.26760241 i MD  1175.683 92.811 19.8242744038 0.0852575736827 3.71 0
OBS: 57234.26710476 i MD  1399.676 155.055 19.6349312103 0.119641545615 5.72 0
OBS: 57240.38255744 i MD  1190.524 93.84 19.8106546129 0.0851282292503 4.34 0
OBS: 57251.25646897 i MD  616.725 70.459 20.5247711159 0.123386793141 3.79 0
OBS: 57198.33599722 i MD  15.516 82.549 24.5230505727 5.74587006961 7.84 0
OBS: 57198.34878557 i MD  -86.066 64.075 27.5 -0.804045732345 6.04 0
OBS: 57198.36160028 i MD  -4.791 53.083 27.5 -11.966111459 4.82 0
OBS: 57198.37442807 i MD  17.774 39.686 24.3755370604 2.41143693035 4.16 0
OBS: 57199.28643941 i MD  34.513 42.142 23.6550432214 1.31873091299 3.66 0
OBS: 57199.29906246 i MD  -21.426 42.123 27.5 -2.12325399048 3.78 0
OBS: 57199.31172206 i MD  -30.945 41.565 27.5 -1.4506446922 3.72 0
OBS: 57199.32434230 i MD  23.072 43.288 24.0922868924 2.02631067961 4.17 0
OBS: 57233.28076894 i MD  1506.348 53.627 19.5551867121 0.0384487249958 3.15 0
OBS: 57233.29327146 i MD  1436.871 56.114 19.606455551 0.0421771474266 3.05 0
OBS: 57233.31817841 i MD  1607.91 53.449 19.4843456595 0.035900591451 3.58 0
OBS: 57233.30576646 i MD  1577.519 54.085 19.5050635033 0.0370276364342 3.17 0
OBS: 57222.26604758 z MD  1585.741 99.53 19.499419362 0.0677868580052 2.86 0
OBS: 57228.26805534 z MD  770.19 142.668 20.2835053112 0.200056401667 3.50 0
OBS: 57234.26747242 z MD  1183.712 140.08 19.8168848742 0.127806763807 3.67 0
OBS: 57240.38296529 z MD  1410.222 134.349 19.6267812861 0.102889417411 4.03 0
OBS: 57251.25683213 z MD  663.95 115.659 20.4446615619 0.188134226975 3.39 0
END:
