SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: PS15bif 
IAUC: UNKNOWN
RA:   305.073991
DECL:   -23.743529
MWEBV: 0.0613 
FILTERS: griz
REDSHIFT_HELIO: 0.07937 +- 0.000265 
REDSHIFT_CMB: 0.0785471 +- 0.000265 
VPEC: 27.754861 +- 250.0
SEARCH_PEAKMJD: 57231.42131548 
HOSTGAL_LOGMASS: 9.894 +- 0.003
NOBS: 30
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57227.42212423 g MD  3197.733 121.898 18.737894503 0.0411697411885 4.37 0
OBS: 57229.44387968 g MD  3465.743 135.039 18.6505091132 0.042081054481 5.14 0
OBS: 57231.42131548 g MD  3845.204 175.353 18.5377015365 0.0492512854975 4.15 0
OBS: 57237.41756250 g MD  3266.105 156.582 18.7149246438 0.0517768289752 3.97 0
OBS: 57243.37992977 g MD  2914.703 130.951 18.8385142301 0.0485219523224 5.31 0
OBS: 57255.36135483 g MD  643.103 120.314 20.4792986612 0.202050247006 5.19 0
OBS: 57274.29227785 g MD  111.911 99.348 22.3778180588 0.958760443567 5.50 0
OBS: 57227.42254096 r MD  2875.569 98.418 18.8531905173 0.0369636200696 4.07 0
OBS: 57229.44429245 r MD  3257.801 101.759 18.7176886193 0.0337343257001 4.50 0
OBS: 57231.42176941 r MD  3535.107 139.015 18.6289935913 0.0424700581906 3.97 0
OBS: 57237.41798608 r MD  3872.918 116.417 18.5299042452 0.0324639871022 3.43 0
OBS: 57243.38033869 r MD  3176.142 123.206 18.7452502231 0.0418943737402 5.82 0
OBS: 57255.36176620 r MD  1844.886 106.912 19.335076162 0.0625865012798 4.33 0
OBS: 57274.29269439 r MD  650.494 93.328 20.4668917623 0.154950299311 5.26 0
OBS: 57227.42289693 i MD  2483.059 99.182 19.0125324026 0.0431389507861 3.89 0
OBS: 57229.44464862 i MD  2598.754 108.619 18.963087073 0.0451402941564 4.27 0
OBS: 57231.42207829 i MD  2460.89 117.32 19.0222694963 0.0514877137946 3.35 0
OBS: 57237.41833150 i MD  2342.591 118.622 19.0757588239 0.0546880612109 3.52 0
OBS: 57243.38073264 i MD  2117.928 119.005 19.1852220201 0.0606844991898 4.96 0
OBS: 57255.36211572 i MD  1656.464 115.843 19.4520449955 0.0755286200002 4.19 0
OBS: 57274.29304176 i MD  1143.181 113.37 19.8547125056 0.107104299319 4.59 0
OBS: 57230.42749082 i MD  2563.192 66.496 18.9780471527 0.0280180649752 4.66 0
OBS: 57230.43780370 i MD  2566.591 64.455 18.9766083324 0.0271221242496 4.49 0
OBS: 57230.45842691 i MD  2771.81 77.205 18.8930913568 0.0300819320228 5.64 0
OBS: 57230.44811795 i MD  2622.678 64.562 18.9531375669 0.0265861687939 4.53 0
OBS: 57231.42243087 z MD  2098.214 155.35 19.1953755488 0.0799622917395 3.18 0
OBS: 57237.41868161 z MD  1428.262 140.009 19.612980296 0.105869735385 3.16 0
OBS: 57243.38108792 z MD  1157.165 187.879 19.8415117766 0.175350377863 5.10 0
OBS: 57255.36246482 z MD  1071.63 160.09 19.9248878423 0.161340388007 3.83 0
OBS: 57274.29339659 z MD  587.341 149.576 20.5777742042 0.275039678824 3.70 0
END:
