SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: PS15bzz 
IAUC: UNKNOWN
RA:     9.424730
DECL:     1.762823 
RA_HOST:     9.423138
DEC_HOST:     1.767180
MWEBV: 0.0169 
FILTERS: griz
REDSHIFT_HELIO: 0.08024 +- 1e-05 
REDSHIFT_CMB: 0.0790066 +- 1e-05 
VPEC: -83.733749 +- 250.0
SEARCH_PEAKMJD: 57284.50289275 
HOSTGAL_LOGMASS: 9.592 +- 0.053
NOBS: 35
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57284.50289275 g MD  3873.67 107.457 18.5296934495 0.0299595887104 4.41 0
OBS: 57288.42454314 g MD  3524.593 106.432 18.6322275641 0.0326127186884 3.99 0
OBS: 57297.33610272 g MD  1827.349 122.687 19.3454462503 0.0725104837664 5.39 0
OBS: 57305.33397353 g MD  762.27 94.017 20.2947279301 0.133205242237 6.13 0
OBS: 57308.40527288 g MD  886.574 105.571 20.1307125228 0.128603681137 6.88 0
OBS: 57314.42148689 g MD  395.571 86.71 21.006938887 0.236738284657 6.19 0
OBS: 57324.36131616 g MD  317.388 137.44 21.2460237434 0.467677416916 4.29 0
OBS: 57284.50328868 r MD  3738.891 93.182 18.5681429892 0.0269161524099 4.04 0
OBS: 57288.42494087 r MD  3802.158 85.651 18.5499245996 0.024329099422 3.46 0
OBS: 57297.33650491 r MD  2107.359 97.288 19.1906536842 0.0498591080115 4.44 0
OBS: 57305.33437820 r MD  1873.031 84.86 19.3186375867 0.0489307438051 5.07 0
OBS: 57308.40566096 r MD  1314.253 91.331 19.7033025574 0.075052124667 6.07 0
OBS: 57314.42188473 r MD  965.806 83.863 20.0377752523 0.0937787091818 5.41 0
OBS: 57324.36170668 r MD  536.886 107.583 20.6752948017 0.216413987327 4.47 0
OBS: 57284.50365349 i MD  2477.765 89.642 19.0148497151 0.039072857999 3.96 0
OBS: 57288.42531215 i MD  2694.744 89.541 18.923706216 0.0358862585834 3.08 0
OBS: 57297.33686023 i MD  1533.491 90.861 19.5357969213 0.0639911678647 3.92 0
OBS: 57305.33473662 i MD  1485.817 92.327 19.5700866924 0.0671099872999 4.54 0
OBS: 57308.40602603 i MD  1661.131 103.294 19.4489902922 0.0671575691502 5.19 0
OBS: 57314.42224780 i MD  1310.875 101.374 19.7060967975 0.0835197253743 5.74 0
OBS: 57324.36206672 i MD  708.0 98.418 20.3749168558 0.150129152542 3.68 0
OBS: 57324.32426176 i MD  717.205 68.577 20.3608917285 0.103266374328 3.92 0
OBS: 57324.33623957 i MD  726.045 63.542 20.3475911526 0.0945194306138 4.11 0
OBS: 57324.34822302 i MD  806.817 61.539 20.233062399 0.0823757060151 3.73 0
OBS: 57324.36024733 i MD  657.481 61.65 20.4552919824 0.101268325625 3.88 0
OBS: 57354.26294353 i MD  316.073 64.645 21.2505315036 0.220887579768 4.10 0
OBS: 57354.27569434 i MD  298.974 90.287 21.3109164451 0.326148628309 4.67 0
OBS: 57354.28857082 i MD  198.551 93.474 21.7553198032 0.508443271502 4.61 0
OBS: 57354.30128790 i MD  408.64 98.374 20.971647811 0.259993931088 4.28 0
OBS: 57288.42567978 z MD  1726.086 103.564 19.4073439248 0.0647992741961 3.17 0
OBS: 57297.33721324 z MD  1052.088 127.49 19.9448698322 0.130872322467 4.01 0
OBS: 57305.33509196 z MD  1109.994 141.438 19.8866984219 0.137616095222 4.54 0
OBS: 57308.40639172 z MD  1100.002 168.054 19.896516313 0.164998172731 5.71 0
OBS: 57314.42261476 z MD  1248.407 151.261 19.7591095121 0.130856267227 5.43 0
OBS: 57324.36243559 z MD  840.211 145.476 20.1890290925 0.186993600417 4.16 0
END:
