SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: PS16aer 
IAUC: 2016acs
RA:   163.742475
DECL:    14.271640 
RA_HOST:   163.745204
DEC_HOST:    14.271672
MWEBV: 0.0201 
FILTERS: griz
REDSHIFT_HELIO: 0.0554667 +- 1.25832e-05 
REDSHIFT_CMB: 0.0566776 +- 1.25832e-05 
VPEC: -71.0523 +- 250.0
SEARCH_PEAKMJD: 57437.41048320 
HOSTGAL_LOGMASS: 11.030 +- 0.012
NOBS: 40
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57427.43335765 g MD  4539.369 115.657 18.3575112813 0.0275169434342 4.55 0
OBS: 57432.53250785 g MD  6059.57 131.242 18.043895483 0.0233913231467 4.64 0
OBS: 57438.42545304 g MD  5735.287 155.835 18.1036121116 0.0293449656486 3.33 0
OBS: 57445.55566655 g MD  3634.633 133.771 18.5988485866 0.0397489044974 3.95 0
OBS: 57450.33919023 g MD  2478.057 109.272 19.0147217706 0.0476235050283 6.35 0
OBS: 57458.39987554 g MD  1230.298 112.855 19.774974205 0.0990681932345 7.40 0
OBS: 57475.32167176 g MD  339.2 89.986 21.173860391 0.286512028302 5.69 0
OBS: 57427.43375320 r MD  4564.178 100.85 18.3515935668 0.023863661759 4.17 0
OBS: 57432.53289147 r MD  5942.715 112.098 18.0650377427 0.0203721430356 4.09 0
OBS: 57438.42584171 r MD  5879.26 127.737 18.0766933337 0.0234648510187 3.61 0
OBS: 57445.55607752 r MD  4225.244 107.228 18.4353705157 0.0274081780839 3.42 0
OBS: 57450.33959428 r MD  3444.626 108.171 18.6571448117 0.033915054929 4.99 0
OBS: 57458.40025144 r MD  2631.89 114.098 18.9493306651 0.0468202850423 7.07 0
OBS: 57475.32205558 r MD  1328.78 85.988 19.6913672931 0.0698889507669 5.25 0
OBS: 57437.42271510 r MD  6139.984 90.199 18.0295819014 0.0158656634936 5.84 0
OBS: 57437.43555673 r MD  6019.432 91.479 18.0511112182 0.0164130635582 6.02 0
OBS: 57444.49447868 r MD  4605.579 85.417 18.3417894095 0.0200301330191 5.90 0
OBS: 57444.50627370 r MD  4657.371 109.326 18.3296479134 0.0253516586933 7.75 0
OBS: 57444.50691398 r MD  4367.97 101.164 18.3993008828 0.0250132487174 7.07 0
OBS: 57444.51795737 r MD  4767.352 94.431 18.3043069513 0.0213924795148 5.87 0
OBS: 57444.52962870 r MD  4642.336 88.177 18.3331585741 0.0205136293452 5.36 0
OBS: 57444.53029239 r MD  4395.489 90.099 18.3924820061 0.0221379054754 5.73 0
OBS: 57444.51859969 r MD  4083.716 98.002 18.4723611708 0.0259181000834 6.31 0
OBS: 57427.43411174 i MD  3722.77 103.678 18.5728344863 0.030077667973 3.52 0
OBS: 57432.53325660 i MD  3987.407 113.524 18.4982735826 0.0307482832828 4.20 0
OBS: 57438.42620334 i MD  3851.693 108.792 18.5358708393 0.0305048611091 3.18 0
OBS: 57445.55643272 i MD  2476.752 99.078 19.0152936941 0.0432034535553 3.27 0
OBS: 57450.33995119 i MD  1954.502 115.83 19.2724097021 0.0640042322801 5.66 0
OBS: 57458.40062618 i MD  2345.805 124.844 19.0742702309 0.0574777187362 6.73 0
OBS: 57475.32241469 i MD  1050.071 93.401 19.9469533384 0.0960631043044 4.73 0
OBS: 57500.35060563 i MD  444.839 60.691 20.8794928605 0.147348321528 3.85 0
OBS: 57500.36344644 i MD  449.109 63.572 20.8691206043 0.152875493477 3.76 0
OBS: 57500.37609163 i MD  535.285 71.699 20.6785373161 0.144661105766 3.56 0
OBS: 57500.38877125 i MD  462.884 71.919 20.8363195768 0.167801263383 3.64 0
OBS: 57432.53362420 z MD  3439.185 139.105 18.6588611552 0.0436828492797 3.53 0
OBS: 57438.42656612 z MD  3347.596 139.638 18.6881673994 0.0450499522643 3.31 0
OBS: 57445.55678885 z MD  2047.442 121.258 19.2219709803 0.0639620756046 3.15 0
OBS: 57450.34030892 z MD  2245.55 206.408 19.1216931759 0.0992721783082 6.17 0
OBS: 57458.40099751 z MD  2179.777 184.62 19.1539698355 0.0914724763129 6.52 0
OBS: 57475.32278013 z MD  1280.886 150.474 19.7312238028 0.126874616476 4.59 0
END:
