SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: PS16cqa 
IAUC: 2016cqt
RA:   234.779179
DECL:     9.294622 
RA_HOST:   234.778810
DEC_HOST:     9.296160
MWEBV: 0.0337 
FILTERS: griz
REDSHIFT_HELIO: 0.0438573 +- 1.26312e-05 
REDSHIFT_CMB: 0.0443257 +- 1.26312e-05 
VPEC: -252.758 +- 250.0
SEARCH_PEAKMJD: 57547.28910309 
HOSTGAL_LOGMASS: 11.196 +- 0.001
NOBS: 27
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57547.28870646 g MD  4275.101 180.351 18.4226340513 0.0455612814762 4.95 0
OBS: 57552.33503645 g MD  2691.63 171.187 18.9249615996 0.0686877319691 8.08 0
OBS: 57559.29955684 g MD  1081.544 227.223 19.9148895191 0.226898619011 5.75 0
OBS: 57566.34415054 g MD  430.672 90.285 20.9146334071 0.226408496489 6.47 0
OBS: 57574.34209759 g MD  531.937 84.989 20.6853495009 0.172554494235 5.55 0
OBS: 57587.32747757 g MD  272.545 209.912 21.4114044524 0.831807444642 5.68 0
OBS: 57597.26620770 g MD  122.659 126.981 22.2782514507 1.11805476973 9.60 0
OBS: 57547.28910309 r MD  4767.707 122.543 18.3042261052 0.0277589289778 3.48 0
OBS: 57552.33542291 r MD  4416.839 153.157 18.3872210777 0.0374497598848 7.24 0
OBS: 57559.29994669 r MD  3058.366 180.161 18.7862763576 0.0636202076534 5.73 0
OBS: 57566.34453908 r MD  1953.287 85.358 19.2730848509 0.0471956450844 5.15 0
OBS: 57574.34248871 r MD  1083.995 74.228 19.9124318025 0.0739544370592 4.64 0
OBS: 57587.32786781 r MD  383.861 234.914 21.0395650241 0.660934869653 5.13 0
OBS: 57597.26659635 r MD  519.335 117.467 20.7113810191 0.244282322586 7.70 0
OBS: 57547.28945868 i MD  3404.956 105.997 18.6697212395 0.0336206282842 3.35 0
OBS: 57552.33578417 i MD  3187.437 143.86 18.7413959759 0.0487441163543 6.27 0
OBS: 57559.30031174 i MD  2129.184 155.776 19.1794670151 0.0790152847288 5.18 0
OBS: 57566.34490672 i MD  2109.712 98.433 19.1894420671 0.0503896456009 4.66 0
OBS: 57574.34285043 i MD  983.856 84.06 20.0176711538 0.0922744791921 4.06 0
OBS: 57587.32823433 i MD  264.894 339.202 21.4423196965 1.38296133548 4.90 0
OBS: 57597.26696810 i MD  470.497 138.757 20.8186078535 0.318509065945 6.98 0
OBS: 57552.33614862 z MD  2574.056 205.807 18.9734550225 0.0863507087647 6.15 0
OBS: 57559.30067523 z MD  2596.711 206.242 18.9639409558 0.0857782633493 5.35 0
OBS: 57566.34527322 z MD  2329.768 141.292 19.0817183105 0.0654980925139 4.22 0
OBS: 57574.34321398 z MD  1143.199 155.562 19.8546954103 0.146962129953 4.64 0
OBS: 57587.32859107 z MD  848.922 333.769 20.1778305286 0.424621484659 4.22 0
OBS: 57597.26733113 z MD  226.893 181.924 21.6104472564 0.86594967672 5.76 0
END:
