SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: PS16cvc 
IAUC: 2016cxb
RA:   318.097268
DECL:    14.779329 
RA_HOST:   318.095803
DEC_HOST:    14.778781
MWEBV: 0.0829 
FILTERS: griz
REDSHIFT_HELIO: 0.02954 +- 9e-05 
REDSHIFT_CMB: 0.0284426 +- 9e-05 
VPEC: -206.2725 +- 250.0
SEARCH_PEAKMJD: 57566.46097627 
HOSTGAL_LOGMASS: 8.919 +- 0.258
NOBS: 53
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57566.46097627 g MD  23259.823 244.024 16.5834839861 0.0113305213028 5.82 0
OBS: 57574.56562481 g MD  17788.296 170.174 16.8746641311 0.0103319575973 4.47 0
OBS: 57575.45975181 g MD  16642.549 181.774 16.9469503892 0.0117960247556 6.38 0
OBS: 57578.47616985 g MD  14075.223 138.58 17.1288617893 0.010633323536 4.98 0
OBS: 57580.41288114 g MD  12582.549 155.885 17.2505784242 0.013380102871 4.19 0
OBS: 57586.43616414 g MD  7652.034 173.206 17.7905577724 0.0244461119749 5.21 0
OBS: 57586.43570309 g MD  7691.673 178.34 17.7849479686 0.0250410021331 5.28 0
OBS: 57597.52252559 g MD  3518.79 130.144 18.6340166273 0.0399442762995 6.52 0
OBS: 57597.52552984 g MD  3452.159 127.931 18.6547730243 0.0400229189907 6.24 0
OBS: 57606.46921597 g MD  2445.951 77.417 19.0288806187 0.0341831704723 4.13 0
OBS: 57616.38865857 g MD  1826.705 123.377 19.3458289562 0.0729439947884 3.50 0
OBS: 57622.30161133 g MD  1849.293 85.979 19.3324856856 0.0502123352005 4.64 0
OBS: 57566.46137556 r MD  22944.563 191.892 16.5983005236 0.00903235158586 4.90 0
OBS: 57574.56600996 r MD  17061.041 145.161 16.9199861834 0.00918899849077 4.16 0
OBS: 57575.46014500 r MD  15507.913 143.094 17.0236166102 0.00996533318184 5.36 0
OBS: 57578.47655989 r MD  12736.04 142.465 17.237413964 0.0120808508767 4.36 0
OBS: 57580.41328112 r MD  12126.665 127.254 17.2906465492 0.0113332330035 3.77 0
OBS: 57586.43655766 r MD  10793.579 150.821 17.4170863136 0.0150910722014 4.95 0
OBS: 57597.52291293 r MD  7931.673 128.313 17.751587997 0.0174714766985 6.59 0
OBS: 57597.52592687 r MD  7922.42 125.163 17.752855344 0.0170624682862 5.83 0
OBS: 57606.46960876 r MD  5038.367 89.416 18.244275503 0.0191667816179 3.70 0
OBS: 57616.38904405 r MD  3593.378 101.747 18.6112427386 0.0305803508565 3.32 0
OBS: 57622.30201507 r MD  3261.97 79.308 18.7163000936 0.0262579484177 3.59 0
OBS: 57609.36920749 r MD  4879.427 50.93 18.2790779375 0.0112727170629 4.68 0
OBS: 57609.38099315 r MD  4924.671 49.565 18.2690569447 0.010869802267 4.72 0
OBS: 57609.39373948 r MD  5024.223 50.623 18.2473277317 0.0108818497905 4.78 0
OBS: 57609.40550499 r MD  5273.85 66.932 18.1946805667 0.0137066014392 4.74 0
OBS: 57566.46173018 i MD  13137.272 177.275 17.2037370204 0.0145735735699 5.43 0
OBS: 57574.56638374 i MD  9042.569 122.178 17.6092704216 0.0145923398539 4.09 0
OBS: 57575.46050479 i MD  8370.006 122.594 17.6931855767 0.0158185693057 4.61 0
OBS: 57578.47693383 i MD  6452.748 119.822 17.9756382378 0.0200546743806 3.95 0
OBS: 57580.41362831 i MD  6142.805 106.309 18.0290831773 0.0186907642356 3.52 0
OBS: 57586.43691898 i MD  6311.488 123.664 17.9996705979 0.0211609560218 4.24 0
OBS: 57597.52328485 i MD  7589.688 134.835 17.7994401922 0.0191867966114 5.88 0
OBS: 57597.52628675 i MD  7282.385 137.411 17.8443159121 0.0203784721626 5.86 0
OBS: 57606.46997985 i MD  4570.487 88.838 18.350093805 0.020992301258 3.46 0
OBS: 57616.38941429 i MD  2799.738 99.579 18.8822065203 0.0384126371825 3.27 0
OBS: 57622.30236302 i MD  2400.22 80.412 19.0493723745 0.036182083309 3.80 0
OBS: 57558.50862871 i MD  13561.93 92.693 17.1691962539 0.0073815776958 4.40 0
OBS: 57558.51995872 i MD  13821.474 87.947 17.1486140972 0.006872115087 4.04 0
OBS: 57558.53126439 i MD  13860.241 89.124 17.1455730455 0.00694460651875 4.19 0
OBS: 57558.54261164 i MD  13946.616 92.533 17.1388278915 0.00716558339313 4.49 0
OBS: 57566.46209400 z MD  14051.861 256.76 17.1306653872 0.0197340978537 5.67 0
OBS: 57574.56674715 z MD  9327.041 163.892 17.5756402854 0.0189774398976 4.56 0
OBS: 57575.46086864 z MD  8478.194 164.731 17.6792416251 0.0209843605843 4.20 0
OBS: 57578.47730611 z MD  7744.464 148.664 17.7775215868 0.0207318569755 3.67 0
OBS: 57580.41398876 z MD  7759.292 158.685 17.7754447608 0.0220870409311 3.61 0
OBS: 57586.43729113 z MD  7575.731 165.843 17.8014386368 0.0236426610185 4.10 0
OBS: 57597.52364933 z MD  7519.499 173.127 17.8095277352 0.0248656406497 4.98 0
OBS: 57597.52665218 z MD  7397.681 183.266 17.8272610002 0.0267553142667 5.12 0
OBS: 57606.47034716 z MD  4725.58 126.377 18.3138622005 0.028882626048 3.50 0
OBS: 57616.38979580 z MD  2774.468 133.123 18.8920506997 0.051819966927 3.15 0
OBS: 57622.30271723 z MD  2067.014 112.411 19.2116414547 0.0587339418117 3.55 0
END:
