SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: PS16el 
IAUC: 2016ah
RA:   162.802241
DECL:    19.362543 
RA_HOST:   162.802182
DEC_HOST:    19.363396
MWEBV: 0.0334 
FILTERS: griz
REDSHIFT_HELIO: 0.0478056 +- 9.61833e-06 
REDSHIFT_CMB: 0.0489598 +- 9.61833e-06 
VPEC: -126.3338 +- 250.0
SEARCH_PEAKMJD: 57397.52846843 
HOSTGAL_LOGMASS: 10.480 +- 0.001
NOBS: 41
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57397.52846843 g MD  8754.292 131.991 17.6444474289 0.0162834732952 4.10 0
OBS: 57403.50641258 g MD  6543.287 159.111 17.9605100759 0.0262620117381 7.86 0
OBS: 57408.48725040 g MD  4346.194 232.416 18.4047272302 0.0577538140267 7.21 0
OBS: 57417.47700474 g MD  1469.444 117.795 19.5821174002 0.0865760110627 5.00 0
OBS: 57424.55375426 g MD  813.538 65.993 20.2240553914 0.0876080035598 4.25 0
OBS: 57432.53424070 g MD  785.17 85.797 20.262590756 0.118013627622 4.49 0
OBS: 57444.38113555 g MD  293.979 166.611 21.3292092293 0.612084128458 5.38 0
OBS: 57397.52886295 r MD  8613.6 112.136 17.6620382499 0.0140599609919 3.71 0
OBS: 57403.50680255 r MD  6890.016 121.215 17.9044494239 0.0190002751808 5.32 0
OBS: 57408.48764718 r MD  5106.662 153.44 18.2296572157 0.0324507868349 5.30 0
OBS: 57417.47739108 r MD  3763.947 106.753 18.5608912512 0.0306309414027 4.11 0
OBS: 57424.55414672 r MD  2516.04 70.968 18.9982061469 0.0304627271427 3.71 0
OBS: 57432.53462262 r MD  1699.084 91.383 19.4244628744 0.0580863806616 4.53 0
OBS: 57444.38153358 r MD  1088.01 125.65 19.9084177824 0.124724956572 4.74 0
OBS: 57390.47995169 r MD  7345.878 69.928 17.8348907217 0.0102809003907 4.33 0
OBS: 57390.49287980 r MD  7138.239 70.064 17.8660222881 0.010600530467 4.41 0
OBS: 57390.46704158 r MD  7317.939 72.011 17.8390280374 0.0106275660401 5.36 0
OBS: 57390.50579597 r MD  7278.485 64.635 17.8448975217 0.00959070465901 3.95 0
OBS: 57444.54568485 r MD  1179.139 73.569 19.8210874903 0.0673835061006 5.41 0
OBS: 57444.55997204 r MD  1299.062 60.856 19.7159253024 0.0505937976786 4.32 0
OBS: 57444.57376811 r MD  1116.125 65.453 19.8807179101 0.0633345189831 4.74 0
OBS: 57444.58753935 r MD  1146.115 75.524 19.8519295088 0.0711673086907 5.35 0
OBS: 57397.52922400 i MD  5100.068 108.211 18.2310600834 0.0229149650554 3.62 0
OBS: 57403.50716341 i MD  3875.43 104.552 18.5292002579 0.0291364209907 4.08 0
OBS: 57408.48801236 i MD  2824.219 152.54 18.8727540739 0.0583323035501 5.37 0
OBS: 57417.47775475 i MD  2955.887 109.327 18.8232804313 0.0399450858575 3.61 0
OBS: 57424.55451408 i MD  3076.449 82.186 18.7798757001 0.0288517313305 3.51 0
OBS: 57432.53499195 i MD  1625.976 98.349 19.4722146726 0.0653250232476 4.14 0
OBS: 57444.38189265 i MD  986.183 117.743 20.0151062205 0.128944060078 4.08 0
OBS: 57408.44055296 i MD  2144.498 75.52 19.1716858861 0.0380329568971 5.22 0
OBS: 57408.44247820 i MD  2756.572 106.772 18.8990766488 0.0418323047611 5.18 0
OBS: 57408.45477277 i MD  2244.161 82.041 19.1223649731 0.0394821405416 5.77 0
OBS: 57408.46899342 i MD  2230.281 80.863 19.1291010385 0.0391574155902 5.98 0
OBS: 57408.48307225 i MD  2213.941 67.382 19.1370848924 0.032870144236 4.74 0
OBS: 57397.52958946 z MD  4955.668 151.358 18.2622444911 0.0329857932372 3.61 0
OBS: 57403.50752526 z MD  3557.394 156.609 18.6221700794 0.0475453998067 4.46 0
OBS: 57408.48838027 z MD  2861.942 206.478 18.8583479297 0.0779178054622 5.18 0
OBS: 57417.47811811 z MD  3032.566 156.644 18.7954743462 0.0557862615356 3.61 0
OBS: 57424.55487679 z MD  2643.846 117.133 18.9444096136 0.0478483391241 3.34 0
OBS: 57432.53535147 z MD  1857.91 134.006 19.3274383193 0.0778974654316 3.44 0
OBS: 57444.38225419 z MD  755.498 161.687 20.3044167025 0.231134907041 3.88 0
END:
