SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: PSNJ0252467 
IAUC: UNKNOWN
RA:    43.194611
DECL:    46.946437 
RA_HOST:    43.185150
DEC_HOST:    46.938107
MWEBV: 0.1699 
FILTERS: griz
REDSHIFT_HELIO: 0.028086 +- 2.8e-05 
REDSHIFT_CMB: 0.027485 +- 2.8e-05 
VPEC: -197.7801 +- 250.0
SEARCH_PEAKMJD: 57288.57246389 
HOSTGAL_LOGMASS: 10.842 +- 0.083
NOBS: 28
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57288.57205361 g MD  19898.403 185.29 16.7529544442 0.0100567467651 3.78 0
OBS: 57298.46096384 g MD  14655.068 204.678 17.0850304052 0.0150836720785 4.86 0
OBS: 57305.47664618 g MD  9192.832 148.417 17.5913766915 0.0174364504866 4.99 0
OBS: 57308.50622865 g MD  6026.746 153.449 18.0497927792 0.0274982420032 6.28 0
OBS: 57314.42407352 g MD  3780.908 98.48 18.5560097253 0.0281303856111 5.06 0
OBS: 57320.35269519 g MD  2320.574 182.146 19.0860114449 0.0847711299015 3.90 0
OBS: 57328.48143560 g MD  1712.877 101.217 19.4156845554 0.0638191533893 3.55 0
OBS: 57288.57246389 r MD  19866.148 161.785 16.7547158335 0.00879525311097 3.47 0
OBS: 57298.46136581 r MD  15444.579 167.407 17.0280598138 0.0117063443426 4.29 0
OBS: 57305.47704097 r MD  12081.604 136.926 17.2946885082 0.0122401032181 4.07 0
OBS: 57308.50663101 r MD  9651.976 138.288 17.5384594166 0.0154736232249 5.26 0
OBS: 57314.42447293 r MD  8295.564 113.455 17.7028852044 0.0147707136007 4.72 0
OBS: 57320.35311709 r MD  7942.124 154.171 17.7501583415 0.0209647545165 3.64 0
OBS: 57328.48183457 r MD  4286.312 120.328 18.4197905498 0.03031842759 4.02 0
OBS: 57288.57282691 i MD  12350.667 141.469 17.270773969 0.0123707100191 3.14 0
OBS: 57298.46173166 i MD  8716.187 137.281 17.6491836521 0.0170101306913 4.03 0
OBS: 57305.47739701 i MD  6615.845 113.837 17.9485366956 0.0185832588279 4.23 0
OBS: 57308.50699167 i MD  7043.335 133.412 17.8805541373 0.0204569227504 5.21 0
OBS: 57314.42482915 i MD  8185.288 123.584 17.7174150882 0.0163061727333 4.13 0
OBS: 57320.35347476 i MD  8080.062 162.287 17.731463267 0.0216916602868 3.02 0
OBS: 57328.48219140 i MD  4182.085 103.359 18.4465178612 0.0266918821593 3.08 0
OBS: 57288.57319318 z MD  13023.717 184.998 17.2131626235 0.0153410765913 2.93 0
OBS: 57298.46208800 z MD  9692.739 176.63 17.5338837038 0.0196807527779 3.85 0
OBS: 57305.47776195 z MD  8741.354 167.404 17.6460532293 0.0206828736143 4.18 0
OBS: 57308.50735428 z MD  8937.332 197.991 17.621980272 0.0239255160265 5.11 0
OBS: 57314.42518360 z MD  9115.092 170.941 17.600597359 0.0202539129611 3.74 0
OBS: 57320.35383468 z MD  9575.526 218.177 17.5470934004 0.0246076466191 2.69 0
OBS: 57328.48255564 z MD  5574.202 147.664 18.134543243 0.0286098566216 3.25 0
END:
