SURVEY: PS1MD
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: PSNJ1300323 
IAUC: 2015M
RA:   195.134651
DECL:    27.978087 
RA_HOST:   195.134640
DEC_HOST:    27.978150
MWEBV: 0.0092 
FILTERS: griz
REDSHIFT_HELIO: 0.023156 +- 0.000167 
REDSHIFT_CMB: 0.0240673 +- 0.000167 
VPEC: -21.8376 +- 250.0
SEARCH_PEAKMJD: 57167.26389447 
HOSTGAL_LOGMASS: 6.000 +- 0.100
NOBS: 46
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57163.25873626 g MD  57192.775 292.771 15.6066470773 0.0055285423727 5.23 0
OBS: 57167.26389447 g MD  68017.81 304.294 15.4184433884 0.00483163924272 5.23 0
OBS: 57176.38210393 g MD  50301.28 318.636 15.7460524086 0.0068413145749 3.93 0
OBS: 57180.32456079 g MD  46187.22 258.612 15.8386954427 0.0060471481072 4.22 0
OBS: 57189.29251823 g MD  20021.741 185.782 16.7462454023 0.0100213343085 4.12 0
OBS: 57189.28871542 g MD  19225.231 189.082 16.7903210831 0.0106219041009 4.84 0
OBS: 57195.26837670 g MD  13354.069 153.141 17.1859659603 0.0123851599089 4.27 0
OBS: 57200.27117506 g MD  9305.505 161.625 17.578150133 0.0187582511642 4.54 0
OBS: 57427.62725068 g MD  526.996 108.418 20.6954817029 0.222186582061 5.29 0
OBS: 57568.27526982 g MD  115.491 69.834 22.3436296455 0.653044133309 4.42 0
OBS: 57578.27073151 g MD  37.766 93.536 23.557247528 2.67486310438 5.97 0
OBS: 57163.25914669 r MD  48847.053 237.114 15.7779040816 0.00524255004698 4.44 0
OBS: 57167.26429911 r MD  58585.054 244.133 15.5805329136 0.00450052738707 4.54 0
OBS: 57176.38253498 r MD  51922.393 269.014 15.7116132499 0.00559556490395 3.65 0
OBS: 57180.32496545 r MD  47149.076 247.465 15.8163170347 0.00566845042732 3.73 0
OBS: 57189.28911302 r MD  33007.946 194.088 16.2034537497 0.00635044179968 4.36 0
OBS: 57189.29291649 r MD  31381.224 195.614 16.2583253028 0.00673215040943 3.88 0
OBS: 57195.26876488 r MD  28478.971 180.368 16.3636892666 0.00684004488786 4.04 0
OBS: 57200.27156687 r MD  23465.211 177.848 16.5739388406 0.00818555776038 4.18 0
OBS: 57427.62764620 r MD  78.147 72.722 22.7677192238 1.0050259127 4.61 0
OBS: 57568.27566025 r MD  -97.021 57.132 27.5 -0.635971181497 4.03 0
OBS: 57578.27113484 r MD  118.735 105.881 22.3135531085 0.963081483977 6.85 0
OBS: 57163.25952811 i MD  33015.814 218.285 16.203194977 0.00714045093663 4.55 0
OBS: 57167.26468187 i MD  37991.697 243.74 16.0507782677 0.00692886132462 4.22 0
OBS: 57176.38290503 i MD  31631.421 221.804 16.2497032438 0.00757311282348 3.47 0
OBS: 57180.32534784 i MD  27731.378 189.617 16.3925713734 0.00738464421061 3.36 0
OBS: 57189.28949506 i MD  24289.156 178.499 16.5364689395 0.00793683074043 4.22 0
OBS: 57189.29329978 i MD  23132.537 180.661 16.5894418363 0.00843460792908 3.70 0
OBS: 57195.26913604 i MD  22993.088 170.626 16.5960067463 0.00801441198329 3.84 0
OBS: 57200.27193007 i MD  20492.126 166.239 16.7210324561 0.00876132227569 3.46 0
OBS: 57427.62801218 i MD  87.285 75.681 22.6476509594 0.93642069084 4.24 0
OBS: 57568.27602139 i MD  -40.947 69.149 27.5 -1.82384350502 3.59 0
OBS: 57578.27148945 i MD  -123.373 114.961 27.5 -1.00636184578 6.55 0
OBS: 57172.33214593 i MD  33626.887 122.995 16.1832833388 0.00395024969156 3.01 0
OBS: 57172.34424501 i MD  34060.756 123.083 16.1693642921 0.00390272136062 3.13 0
OBS: 57172.35635520 i MD  34397.948 124.993 16.1586686609 0.0039244329342 2.96 0
OBS: 57172.36840952 i MD  33625.388 125.094 16.1833317392 0.00401784270861 2.76 0
OBS: 57163.25990190 z MD  28805.722 268.325 16.3513030874 0.0100601887361 4.31 0
OBS: 57167.26506690 z MD  35759.888 276.692 16.1165096252 0.00835649597113 4.00 0
OBS: 57176.38327685 z MD  30961.456 274.885 16.2729465607 0.00958856069301 3.13 0
OBS: 57180.32573855 z MD  28172.861 244.797 16.3754226187 0.0093842354172 3.35 0
OBS: 57189.28986862 z MD  24664.43 234.793 16.5198222918 0.0102810581878 3.62 0
OBS: 57189.29374352 z MD  23857.902 240.115 16.5559193742 0.0108695307743 3.75 0
OBS: 57195.26950209 z MD  22730.697 216.682 16.6084681178 0.0102951774862 3.68 0
OBS: 57200.27229003 z MD  18646.379 205.801 16.8235137318 0.0119200129956 3.18 0
OBS: 57578.27184677 z MD  -149.324 157.615 27.5 -1.13996544427 5.59 0
END:
