SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: PSNJ1602512 
IAUC: UNKNOWN
RA:   240.713584
DECL:    47.224775 
RA_HOST:   240.708293
DEC_HOST:    47.224515
MWEBV: 0.0146 
FILTERS: griz
REDSHIFT_HELIO: 0.020254 +- 0.000127 
REDSHIFT_CMB: 0.0203912 +- 0.000127 
VPEC: -37.1359 +- 250.0
SEARCH_PEAKMJD: 57172.42552968 
HOSTGAL_LOGMASS: 11.740 +- 0.001
NOBS: 54
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57164.37104993 g MD  29535.264 209.67 16.3241478572 0.00766688931577 4.55 0
OBS: 57168.44951643 g MD  41392.764 238.968 15.9576889316 0.00623503760222 3.93 0
OBS: 57172.42512125 g MD  45188.515 292.219 15.8624298259 0.00698399847837 3.40 0
OBS: 57183.46341718 g MD  29329.988 226.517 16.3317202868 0.00834089533211 7.96 0
OBS: 57191.44665591 g MD  16197.967 165.033 16.9763487254 0.0110035808815 3.92 0
OBS: 57199.27524335 g MD  8721.883 164.317 17.6484743587 0.0203467943791 4.91 0
OBS: 57467.53515004 g MD  225.933 156.418 21.6150508274 0.747705912815 5.57 0
OBS: 57476.51028557 g MD  314.894 141.193 21.2545890359 0.484253240773 6.93 0
OBS: 57499.50904542 g MD  70.577 187.35 22.8783420151 2.86691131672 4.96 0
OBS: 57164.37146113 r MD  28680.592 195.564 16.3560297215 0.0073641827198 4.05 0
OBS: 57168.44989486 r MD  41161.773 227.468 15.9637648168 0.00596829101604 3.47 0
OBS: 57172.42552968 r MD  49513.506 254.014 15.7631908016 0.0055406118888 3.43 0
OBS: 57183.46380584 r MD  30641.846 219.579 16.2842126861 0.00773926348954 7.17 0
OBS: 57191.44706330 r MD  22494.029 176.399 16.6198318732 0.00846939959044 3.52 0
OBS: 57199.27565127 r MD  22299.887 187.713 16.6292433441 0.00909107925076 4.30 0
OBS: 57467.53555459 r MD  -17.865 107.469 27.5 -6.49686649874 4.55 0
OBS: 57476.51068552 r MD  -9.045 117.947 27.5 -14.0832238806 6.30 0
OBS: 57499.50944470 r MD  119.679 134.008 22.3049551207 1.20930689595 4.63 0
OBS: 57164.37183571 i MD  21336.273 198.644 16.6772036011 0.010054966957 3.93 0
OBS: 57168.45028781 i MD  25733.63 192.749 16.4737473691 0.0080893725448 3.01 0
OBS: 57172.42590423 i MD  27579.441 202.486 16.3985363517 0.0079292716629 3.03 0
OBS: 57183.46420177 i MD  15701.06 214.017 17.010177567 0.01472119462 7.16 0
OBS: 57191.44745347 i MD  13784.599 177.573 17.151514658 0.013912543992 3.34 0
OBS: 57199.27601012 i MD  17837.333 179.461 16.8716751997 0.0108658553384 3.78 0
OBS: 57467.53591488 i MD  -3.151 114.486 27.5 -39.2398857506 3.80 0
OBS: 57476.51103876 i MD  195.421 134.705 21.7725719217 0.744451210464 5.45 0
OBS: 57499.50979756 i MD  -182.671 120.795 27.5 -0.714172474011 3.82 0
OBS: 57172.39643282 i MD  25831.596 113.375 16.4696219005 0.00474012523268 3.08 0
OBS: 57172.40985348 i MD  25772.063 113.137 16.4721270392 0.00474110124595 2.90 0
OBS: 57172.42335894 i MD  25370.939 111.414 16.4891586472 0.0047427144892 2.83 0
OBS: 57173.37026443 i MD  24438.146 128.639 16.5298293623 0.00568496971906 4.40 0
OBS: 57173.38361566 i MD  24745.465 136.087 16.516260952 0.00593943011376 4.87 0
OBS: 57173.39701300 i MD  24853.815 137.982 16.5115173467 0.00599588272464 5.30 0
OBS: 57173.41038201 i MD  24397.281 141.892 16.5316464293 0.00628116551185 5.21 0
OBS: 57173.41213428 i MD  25333.561 188.395 16.4907593988 0.00803150413793 4.83 0
OBS: 57173.42631782 i MD  25199.148 238.088 16.4965353569 0.0102041164249 6.71 0
OBS: 57204.37416635 i MD  17155.679 104.6 16.9139802211 0.00658487489769 3.63 0
OBS: 57204.38809598 i MD  17002.456 104.484 16.9237208509 0.00663684822946 3.71 0
OBS: 57204.40201271 i MD  16660.301 106.523 16.9457928913 0.00690532782091 3.68 0
OBS: 57204.41598316 i MD  16925.978 106.508 16.9286155699 0.00679598189245 3.63 0
OBS: 57205.36846977 i MD  16215.528 104.864 16.9751722638 0.0069842388111 3.75 0
OBS: 57205.38240827 i MD  16115.684 109.587 16.9818781424 0.00734402337499 3.75 0
OBS: 57205.39633781 i MD  15807.877 104.786 17.0028161299 0.007159018254 3.78 0
OBS: 57205.41026472 i MD  15639.491 107.771 17.0144434638 0.00744222941782 3.91 0
OBS: 57164.37220349 z MD  22956.637 281.268 16.5977293324 0.0132323144718 4.10 0
OBS: 57168.45069890 z MD  25931.236 240.896 16.4654419557 0.0100329841586 2.66 0
OBS: 57172.42628369 z MD  27677.542 264.11 16.3946812038 0.0103057851019 2.66 0
OBS: 57183.46459803 z MD  18011.357 334.415 16.861133914 0.0200522481454 6.92 0
OBS: 57191.44783932 z MD  17594.488 223.268 16.8865584166 0.0137048284667 2.92 0
OBS: 57199.27637008 z MD  18827.747 245.143 16.8130041155 0.014061928918 3.45 0
OBS: 57467.53627095 z MD  201.919 178.095 21.7370570332 0.952573061475 3.99 0
OBS: 57476.51139494 z MD  -269.563 244.274 27.5 -0.978680011723 5.96 0
OBS: 57499.51016374 z MD  68.281 181.886 22.9142503178 2.876889325 3.91 0
OBS: 57150.61448155 z MD  1.102 226.049 27.3945460137 221.536225045 5.24 0
END:
