SURVEY: PS1MD
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: SN2016aqt 
IAUC: 2016aqt
RA:   206.461355
DECL:    26.796317 
RA_HOST:   206.462171
DEC_HOST:    26.796604
MWEBV: 0.0146 
FILTERS: griz
REDSHIFT_HELIO: 0.0504121 +- 8.90591e-06 
REDSHIFT_CMB: 0.051238 +- 8.90591e-06 
VPEC: 52.6793 +- 250.0
SEARCH_PEAKMJD: 57452.45243133 
HOSTGAL_LOGMASS: 8.854 +- 0.008
NOBS: 47
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57452.45243133 g MD  14694.89 168.523 17.0820841513 0.0123855870986 4.66 0
OBS: 57460.63615272 g MD  12612.578 159.112 17.2479903373 0.0136245706469 4.83 0
OBS: 57465.45612307 g MD  9518.228 151.773 17.5536097408 0.0172211508277 3.72 0
OBS: 57476.39793307 g MD  3943.483 121.422 18.5103000676 0.0332537911283 5.85 0
OBS: 57487.37523205 g MD  1913.212 94.718 19.2955922596 0.0534679063272 5.47 0
OBS: 57494.35613424 g MD  1389.826 116.192 19.6425989202 0.0902899787455 4.64 0
OBS: 57452.45283627 r MD  13631.296 137.346 17.1636571288 0.0108818471846 4.22 0
OBS: 57460.63655291 r MD  13261.967 139.625 17.1934801427 0.011370485238 4.03 0
OBS: 57465.45651721 r MD  11343.681 137.333 17.3631149874 0.0130750891179 3.53 0
OBS: 57476.39833126 r MD  8129.933 120.49 17.7247825837 0.0160061835688 4.73 0
OBS: 57487.37562569 r MD  5633.332 102.858 18.1230866322 0.0197195265608 4.62 0
OBS: 57494.35653592 r MD  3669.128 121.003 18.5885928433 0.0356169749325 5.01 0
OBS: 57446.61602463 r MD  9905.126 75.11 17.5103499889 0.00818957780042 4.41 0
OBS: 57446.61538205 r MD  10639.938 75.298 17.4326522568 0.0076430746119 4.62 0
OBS: 57446.62578121 r MD  10148.431 76.518 17.4840027418 0.00814307551581 4.29 0
OBS: 57446.62513853 r MD  10432.508 74.098 17.454028184 0.00767081510985 4.24 0
OBS: 57446.63584743 r MD  10735.928 79.151 17.4229010244 0.00796233730331 4.19 0
OBS: 57446.63520100 r MD  10304.547 76.741 17.4674277389 0.00804307845847 4.69 0
OBS: 57446.64616005 r MD  10399.901 76.702 17.4574269872 0.00796528351568 3.95 0
OBS: 57446.64551416 r MD  10238.552 74.402 17.4744036491 0.00784819572143 4.11 0
OBS: 57465.41679453 r MD  11749.82 85.148 17.3249219662 0.00782648925686 4.24 0
OBS: 57465.42827445 r MD  11787.74 81.742 17.3214236297 0.00748925239274 3.72 0
OBS: 57465.43967557 r MD  11733.685 78.865 17.3264139374 0.00725894721053 3.97 0
OBS: 57465.45107881 r MD  11562.108 77.495 17.3424074456 0.00723869730329 3.89 0
OBS: 57475.39833044 r MD  8363.333 96.995 17.6940515268 0.012525460842 6.31 0
OBS: 57475.38401944 r MD  8177.15 90.167 17.7184950889 0.0119088386541 5.62 0
OBS: 57475.41085160 r MD  8064.578 92.24 17.7335458832 0.0123526860302 5.88 0
OBS: 57492.34905136 r MD  4586.276 59.187 18.3463495329 0.0139376609694 3.99 0
OBS: 57492.36062565 r MD  4502.897 63.564 18.3662699676 0.0152455452568 4.46 0
OBS: 57492.37218335 r MD  4603.422 65.546 18.3422980277 0.0153776212565 4.67 0
OBS: 57492.38385778 r MD  4500.206 62.09 18.3669190141 0.0149009178691 4.56 0
OBS: 57452.45318625 i MD  8309.167 119.038 17.7011062809 0.0154721935424 3.91 0
OBS: 57460.63690537 i MD  6957.817 121.978 17.8938174949 0.0189335591896 3.55 0
OBS: 57465.45687707 i MD  5758.966 111.063 18.0991387137 0.0208280514245 3.36 0
OBS: 57476.39869040 i MD  5509.606 116.157 18.1471986427 0.0227692433905 4.45 0
OBS: 57487.37598422 i MD  4793.835 119.579 18.2982922953 0.0269398759031 4.49 0
OBS: 57494.35688739 i MD  3191.697 109.642 18.7399458615 0.0371004390454 4.35 0
OBS: 57532.39433037 i MD  790.281 51.978 20.2555461482 0.0710332653828 4.30 0
OBS: 57532.40703364 i MD  773.38 52.626 20.279017658 0.0734904962632 4.53 0
OBS: 57532.41971839 i MD  757.839 58.943 20.3010576219 0.0839999524965 5.20 0
OBS: 57532.43243720 i MD  866.353 56.221 20.155762791 0.0700853809013 4.29 0
OBS: 57452.45354312 z MD  8406.18 154.573 17.6885032869 0.0198590608338 3.77 0
OBS: 57460.63726399 z MD  6125.167 166.551 18.0322051649 0.0293665593118 3.53 0
OBS: 57465.45724369 z MD  4885.299 135.12 18.2777721264 0.0298711706285 3.32 0
OBS: 57476.39904482 z MD  5059.71 157.844 18.2396859357 0.0336919546772 4.50 0
OBS: 57487.37634140 z MD  3775.021 157.474 18.5577015702 0.0450519136185 4.10 0
OBS: 57494.35724518 z MD  3097.026 151.835 18.7726378717 0.0529481509035 4.27 0
END:
