SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: SN2016coj 
IAUC: 2016coj
RA:   182.028154
DECL:    65.177235 
RA_HOST:   182.024480
DEC_HOST:    65.174330
MWEBV: 0.0163 
FILTERS: griz
REDSHIFT_HELIO: 0.004523 +- 6.3e-05 
REDSHIFT_CMB: 0.0048868 +- 6.3e-05 
VPEC: -242.8025 +- 250.0
SEARCH_PEAKMJD: 57551.26941296 
HOSTGAL_LOGMASS: 10.623 +- 0.000
NOBS: 36
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57538.35875045 g MD  185663.827 487.099 14.3281817547 0.00283343787802 4.13 0
OBS: 57543.26514321 g MD  481436.683 830.118 13.2936520545 0.00186219179314 7.06 0
OBS: 57543.26840654 g MD  428989.924 709.852 13.4188822707 0.00178708197352 9.04 0
OBS: 57545.30488030 g MD  486800.032 860.271 13.2816235047 0.00190857152614 3.91 0
OBS: 57551.26941296 g MD  544487.602 854.959 13.1600300117 0.00169582505939 5.88 0
OBS: 57559.26771131 g MD  339789.664 737.308 13.67197459 0.0023434869402 4.28 0
OBS: 57577.27267476 g MD  66482.664 355.906 15.4432289661 0.00578163474316 6.11 0
OBS: 57585.26700951 g MD  52468.928 372.495 15.7002445221 0.00766729215432 6.08 0
OBS: 57538.35914451 r MD  186944.077 440.983 14.3207207254 0.00254761556313 3.92 0
OBS: 57543.26555522 r MD  457289.763 723.867 13.3495213018 0.00170958640069 5.14 0
OBS: 57545.30528967 r MD  504981.104 880.122 13.2418121813 0.00188231154091 3.40 0
OBS: 57551.26983347 r MD  531596.502 739.417 13.1860447136 0.00150221146489 4.78 0
OBS: 57559.26813029 r MD  317098.864 626.491 13.7470132846 0.00213375182574 3.87 0
OBS: 57577.27309216 r MD  143436.408 438.354 14.6083514978 0.0033005728922 6.06 0
OBS: 57585.26743153 r MD  98428.861 386.234 15.0171938511 0.00423791066728 4.87 0
OBS: 57538.35950856 i MD  145702.76 409.13 14.5913305536 0.00303261516803 3.38 0
OBS: 57543.26590301 i MD  331900.072 642.976 13.6974816334 0.00209223841325 4.63 0
OBS: 57545.30564358 i MD  332165.432 607.561 13.6966139149 0.00197541892318 3.23 0
OBS: 57551.27018298 i MD  290975.035 625.117 13.8403606773 0.0023202209083 4.49 0
OBS: 57559.26847343 i MD  156211.93 457.706 14.5157145046 0.00316443488023 3.54 0
OBS: 57577.27343862 i MD  128099.839 449.931 14.7311285402 0.00379333404158 5.70 0
OBS: 57585.26777417 i MD  86199.101 374.977 15.1612431589 0.00469813670098 4.36 0
OBS: 57527.26179669 i MD  355.445 170.87 21.1230689764 0.519179057238 6.01 0
OBS: 57527.27580435 i MD  464.275 180.812 20.8330617533 0.420606235529 5.74 0
OBS: 57527.28978590 i MD  203.365 197.259 21.7293094724 1.04757318123 6.61 0
OBS: 57527.30378766 i MD  176.441 221.036 21.8835012237 1.3529671675 6.99 0
OBS: 57538.35987416 z MD  124121.751 483.743 14.765380266 0.00420911271224 3.49 0
OBS: 57543.26625508 z MD  282862.175 737.568 13.8710628089 0.00281611862738 5.71 0
OBS: 57543.26875550 z MD  279568.85 719.969 13.88377805 0.00278130600029 5.42 0
OBS: 57545.30599914 z MD  310608.567 760.95 13.769466425 0.00264585747888 2.88 0
OBS: 57551.27053744 z MD  288673.858 691.873 13.848981359 0.00258846729377 4.54 0
OBS: 57559.26882573 z MD  221678.241 633.509 14.1356923333 0.00308640900845 3.54 0
OBS: 57577.27378504 z MD  145407.552 568.697 14.5935325926 0.0042239398955 5.11 0
OBS: 57585.26812065 z MD  84586.731 466.81 15.1817443969 0.00596021141898 4.39 0
OBS: 57585.25892540 z MD  82815.114 356.425 15.2047259899 0.00464817327909 5.45 0
OBS: 57586.25616022 z MD  74716.361 306.123 15.3164607206 0.00442490554378 3.77 0
END:
