SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: SN2017cii 
IAUC: 2017cii
RA:   248.332828
DECL:    23.731273 
RA_HOST:   248.333170
DEC_HOST:    23.732315
MWEBV: 0.0587 
FILTERS: griz
REDSHIFT_HELIO: 0.0332378 +- 7.35992e-06 
REDSHIFT_CMB: 0.0333662 +- 7.35992e-06 
VPEC: 138.7702 +- 250.0
SEARCH_PEAKMJD: 57841.53186595 
HOSTGAL_LOGMASS: 9.705 +- 0.002
NOBS: 28
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57841.53186595 g MD  19448.321 197.929 16.7777947149 0.0109913508729 6.10 0
OBS: 57848.54133647 g MD  14625.29 148.341 17.0872387842 0.0109541950963 4.07 0
OBS: 57855.53166375 g MD  7662.916 212.826 17.7890148378 0.0299953803487 4.63 0
OBS: 57863.47920702 g MD  4027.861 112.337 18.487313813 0.0301211883925 5.93 0
OBS: 57871.56348016 g MD  2610.536 108.608 18.9581757834 0.0449320139619 4.59 0
OBS: 57880.46075101 g MD  1650.588 101.82 19.4559032915 0.0666220764964 3.52 0
OBS: 57841.53228413 r MD  18563.39 170.119 16.8283567777 0.00989735818727 6.15 0
OBS: 57848.54172342 r MD  12848.079 125.024 17.2279045042 0.0105094247942 3.19 0
OBS: 57855.53205308 r MD  10612.464 183.311 17.4354594249 0.0186550343068 4.42 0
OBS: 57863.47959872 r MD  8550.335 115.433 17.6700421735 0.0145804392459 4.49 0
OBS: 57871.56386267 r MD  5844.224 103.38 18.0831828665 0.0191044012002 3.85 0
OBS: 57880.46113856 r MD  4083.098 99.969 18.4725254907 0.0264423043483 3.58 0
OBS: 57841.53265834 i MD  10644.309 155.303 17.4322063164 0.015757456872 5.87 0
OBS: 57848.54208672 i MD  6500.588 102.095 17.9676183955 0.0169619425197 3.55 0
OBS: 57855.53241750 i MD  5714.944 148.285 18.1074700521 0.0280226367922 4.36 0
OBS: 57863.47996206 i MD  6742.025 117.398 17.9280241035 0.0188058988212 4.20 0
OBS: 57871.56423890 i MD  5589.859 115.648 18.1314978668 0.022344005457 3.93 0
OBS: 57880.46150996 i MD  3621.556 102.687 18.6027619873 0.0306227378508 3.81 0
OBS: 57890.51147672 i MD  2267.276 60.279 19.1112390228 0.0287134517368 5.05 0
OBS: 57890.52410619 i MD  2135.517 61.888 19.1762424174 0.031298762782 5.35 0
OBS: 57890.53683025 i MD  2231.846 55.329 19.1283394388 0.0267739440804 4.63 0
OBS: 57890.54973729 i MD  2146.037 63.578 19.1709069865 0.0319958323179 5.43 0
OBS: 57841.53303933 z MD  10836.073 213.735 17.4128201947 0.0213023481846 5.44 0
OBS: 57848.54245191 z MD  7211.607 165.496 17.854919871 0.0247844454086 3.90 0
OBS: 57855.53278201 z MD  6741.973 193.533 17.9280324776 0.0310021472943 4.05 0
OBS: 57863.48032520 z MD  6596.987 160.294 17.9516359293 0.0262419071009 3.90 0
OBS: 57871.56461351 z MD  6011.944 172.927 18.0524626836 0.0310650199004 3.67 0
OBS: 57880.46188306 z MD  3360.857 136.404 18.6838749145 0.0438329628425 3.23 0
END:
