SURVEY: FOUNDATION
PHOTOMETRY_VERSION: MFoley
SNTYPE: 1
SNID: SN2017cjv 
IAUC: 2017cjv
RA:   152.690199
DECL:    -3.777521 
RA_HOST:   152.690047
DEC_HOST:    -3.778907
MWEBV: 0.0259 
FILTERS: griz
REDSHIFT_HELIO: 0.059528 +- 0.00014 
REDSHIFT_CMB: 0.0607889 +- 0.00014 
VPEC: -37.2838 +- 250.0
SEARCH_PEAKMJD: 57839.39719148 
HOSTGAL_LOGMASS: 10.636 +- 0.013
NOBS: 32
NVAR: 8
VARLIST:    MJD    FLT    FIELD    FLUXCAL    FLUXCALERR    MAG    MAGERR    FWHM    FLAG
OBS: 57839.39719148 g MD  6688.015 137.029 17.9367569038 0.0221278391272 7.10 0
OBS: 57843.35199043 g MD  6260.147 155.106 18.0085386716 0.0267588732341 7.14 0
OBS: 57863.25526896 g MD  1243.852 78.368 19.763078228 0.0680446226722 4.14 0
OBS: 57868.30967136 g MD  615.65 140.704 20.5266652905 0.246829074961 5.76 0
OBS: 57881.25819479 g MD  605.465 159.793 20.5447773924 0.285031240452 4.94 0
OBS: 57839.39759236 r MD  5883.195 116.468 18.0759668914 0.0213804641866 6.14 0
OBS: 57843.35239051 r MD  5798.269 130.262 18.0917541006 0.0242629239865 6.06 0
OBS: 57863.25566118 r MD  2657.531 80.644 18.9388041519 0.0327730965321 3.63 0
OBS: 57868.31006742 r MD  1460.83 118.967 19.5885008023 0.0879529856315 5.89 0
OBS: 57881.25859687 r MD  959.627 127.99 20.0447438531 0.144044717375 4.64 0
OBS: 57839.39794866 i MD  3971.243 126.731 18.5026838442 0.0344651485694 5.87 0
OBS: 57843.35274888 i MD  3867.466 115.494 18.531433739 0.0322520016983 4.98 0
OBS: 57863.25601900 i MD  2221.437 95.0 19.1334149971 0.0461863199361 3.45 0
OBS: 57868.31041926 i MD  1475.537 124.129 19.5776247396 0.0908545973432 5.39 0
OBS: 57881.25895190 i MD  1001.254 133.982 19.9986393398 0.144519332757 4.72 0
OBS: 57854.37907985 i MD  1915.637 159.774 19.2942169582 0.0900775668877 3.80 0
OBS: 57854.39209077 i MD  1396.927 332.34 19.6370657212 0.256940555949 5.26 0
OBS: 57854.40504910 i MD  1656.296 168.96 19.4521551174 0.110171611837 4.28 0
OBS: 57854.41798469 i MD  1878.43 172.401 19.3155124609 0.0991216494626 4.73 0
OBS: 57882.25619925 i MD  766.839 79.26 20.2882395196 0.11162812533 5.12 0
OBS: 57882.26876277 i MD  636.706 66.97 20.4901526439 0.113596542203 4.08 0
OBS: 57882.28129153 i MD  775.047 79.402 20.2766799011 0.11064381902 5.03 0
OBS: 57882.29378708 i MD  784.786 74.288 20.2631218826 0.102233016389 4.61 0
OBS: 57883.25708357 i MD  678.701 59.019 20.4208037773 0.0939154649838 4.02 0
OBS: 57883.26890108 i MD  905.123 64.154 20.1082309979 0.0765490657071 4.02 0
OBS: 57883.28074717 i MD  743.151 59.576 20.3223073337 0.0865800893762 3.92 0
OBS: 57883.29261904 i MD  794.373 102.417 20.2499388138 0.13924234585 6.26 0
OBS: 57839.39830241 z MD  3695.731 169.608 18.5807491179 0.0495643865855 5.36 0
OBS: 57843.35311304 z MD  3256.108 153.818 18.7182529967 0.0510190202536 4.12 0
OBS: 57863.25638482 z MD  2089.053 152.402 19.2001263542 0.0787888866391 3.97 0
OBS: 57868.31078345 z MD  1010.495 170.372 19.9886645777 0.182090717915 4.51 0
OBS: 57881.25931756 z MD  888.021 166.964 20.1289419097 0.203059522241 4.03 0
END:
