SURVEY: KAITM
SNID: 1998dh 
IAUC: 1998dh
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   348.667960
DECL:     4.537250 
RA_HOST:   348.682880
DEC_HOST:     4.534360
SEARCH_PEAKMJD:    51029.41
REDSHIFT_HELIO: 0.008969 +- 1.8e-05 
REDSHIFT_CMB: 0.0077264 +- 1.8e-05 
VPEC: -134.006 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 161
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 51019.43 a NULL 83868.7171 1245.0867 15.191 0.016
OBS: 51019.43 b NULL 88961.0704 1570.4887 15.127 0.019
OBS: 51019.43 c NULL 114182.619 1056.5188 14.856 0.01
OBS: 51019.43 d NULL 112408.7193 2830.4184 14.873 0.027
OBS: 51020.44 a NULL 104423.9219 1550.2423 14.953 0.016
OBS: 51020.44 b NULL 111686.3248 1658.0575 14.88 0.016
OBS: 51020.44 c NULL 154739.0763 2297.2042 14.526 0.016
OBS: 51021.46 b NULL 133905.9886 1363.5473 14.683 0.011
OBS: 51021.46 c NULL 170608.2389 1737.2816 14.42 0.011
OBS: 51021.46 d NULL 171869.9695 4003.3659 14.412 0.025
OBS: 51022.45 a NULL 148593.5642 3181.3514 14.57 0.023
OBS: 51022.45 b NULL 156027.0869 1443.7009 14.517 0.01
OBS: 51022.45 c NULL 190195.396 1759.8563 14.302 0.01
OBS: 51022.45 d NULL 198061.4709 4240.447 14.258 0.023
OBS: 51023.41 a NULL 168577.6518 1559.8298 14.433 0.01
OBS: 51023.41 b NULL 178978.1439 1656.0644 14.368 0.01
OBS: 51023.41 c NULL 216570.8495 2003.9054 14.161 0.01
OBS: 51023.41 d NULL 213796.209 2376.0695 14.175 0.012
OBS: 51024.45 a NULL 187068.214 1730.9209 14.32 0.01
OBS: 51024.45 b NULL 195704.1341 1810.8281 14.271 0.01
OBS: 51024.45 c NULL 232059.8462 2147.2233 14.086 0.01
OBS: 51024.45 d NULL 223254.3862 4360.1532 14.128 0.021
OBS: 51025.45 a NULL 196426.4646 1817.5117 14.267 0.01
OBS: 51025.45 b NULL 209122.133 1934.9833 14.199 0.01
OBS: 51025.45 c NULL 246376.9077 2279.6975 14.021 0.01
OBS: 51025.45 d NULL 236374.1608 5283.1843 14.066 0.024
OBS: 51026.43 a NULL 212226.6897 1963.7094 14.183 0.01
OBS: 51026.43 b NULL 225527.7567 2086.7826 14.117 0.01
OBS: 51026.43 c NULL 249115.0697 5099.244 14.009 0.022
OBS: 51026.43 d NULL 237028.1899 3740.4946 14.063 0.017
OBS: 51027.43 a NULL 221207.5776 2046.8085 14.138 0.01
OBS: 51027.43 b NULL 236809.9794 2191.1758 14.064 0.01
OBS: 51027.43 c NULL 258702.1273 6758.4289 13.968 0.028
OBS: 51027.43 d NULL 232701.9379 4763.2765 14.083 0.022
OBS: 51028.42 a NULL 225320.1336 2084.8615 14.118 0.01
OBS: 51028.42 b NULL 239001.1551 2211.4505 14.054 0.01
OBS: 51028.42 c NULL 262301.0324 2427.0416 13.953 0.01
OBS: 51028.42 d NULL 232701.9379 3019.9985 14.083 0.014
OBS: 51029.41 a NULL 223460.1058 2067.6509 14.127 0.01
OBS: 51029.41 b NULL 246603.9337 2281.7981 14.02 0.01
OBS: 51029.41 c NULL 265705.167 2458.5396 13.939 0.01
OBS: 51029.41 d NULL 225943.577 3143.1883 14.115 0.015
OBS: 51031.4 a NULL 210280.9837 1945.706 14.193 0.01
OBS: 51031.4 b NULL 249115.0697 2305.0334 14.009 0.01
OBS: 51031.4 c NULL 264240.8757 3182.89 13.945 0.013
OBS: 51031.4 d NULL 217370.1975 3633.7342 14.157 0.018
OBS: 51032.37 a NULL 204738.7276 1894.4241 14.222 0.01
OBS: 51032.37 b NULL 250034.5362 2313.5411 14.005 0.01
OBS: 51032.37 c NULL 258226.0191 2389.3359 13.97 0.01
OBS: 51032.37 d NULL 214783.0474 2987.9298 14.17 0.015
OBS: 51037.38 a NULL 150383.4348 1811.4303 14.557 0.013
OBS: 51037.38 b NULL 215973.2681 4217.9531 14.164 0.021
OBS: 51037.38 c NULL 211446.2562 2941.5104 14.187 0.015
OBS: 51037.38 d NULL 168422.4575 3605.883 14.434 0.023
OBS: 51038.4 a NULL 134276.4961 1242.4451 14.68 0.01
OBS: 51038.4 b NULL 204927.3858 2086.749 14.221 0.011
OBS: 51038.4 c NULL 194088.5878 2337.8768 14.28 0.013
OBS: 51038.4 d NULL 156602.9721 3795.4162 14.513 0.026
OBS: 51040.39 a NULL 113448.8244 1049.729 14.863 0.01
OBS: 51040.39 b NULL 182641.7249 1689.9631 14.346 0.01
OBS: 51040.39 c NULL 169824.3652 1729.2995 14.425 0.011
OBS: 51040.39 d NULL 143747.4006 2672.4637 14.606 0.02
OBS: 51041.34 a NULL 100276.6923 927.8488 14.997 0.01
OBS: 51041.34 b NULL 174260.919 1612.4164 14.397 0.01
OBS: 51041.34 c NULL 160103.1955 1481.4166 14.489 0.01
OBS: 51041.34 d NULL 143350.7601 3880.4902 14.609 0.029
OBS: 51042.37 a NULL 90698.4782 839.2227 15.106 0.01
OBS: 51042.37 b NULL 159514.4387 1475.9689 14.493 0.01
OBS: 51042.37 c NULL 154170.0453 1426.5179 14.53 0.01
OBS: 51042.37 d NULL 144943.9191 3649.6451 14.597 0.027
OBS: 51043.39 a NULL 80389.6245 743.836 15.237 0.01
OBS: 51043.39 b NULL 149830.4211 1386.3638 14.561 0.01
OBS: 51043.39 c NULL 148867.5359 1654.4709 14.568 0.012
OBS: 51043.39 d NULL 141514.1933 3029.7838 14.623 0.023
OBS: 51045.4 a NULL 66435.4682 614.7198 15.444 0.01
OBS: 51045.4 b NULL 135020.5896 3399.7786 14.674 0.027
OBS: 51045.4 c NULL 141253.7545 4627.6716 14.625 0.035
OBS: 51045.4 d NULL 157470.7877 2779.9362 14.507 0.019
OBS: 51047.29 a NULL 53901.3944 498.7435 15.671 0.01
OBS: 51047.29 b NULL 122461.6199 1133.1234 14.78 0.01
OBS: 51047.29 c NULL 141383.9139 1308.2092 14.624 0.01
OBS: 51047.29 d NULL 154312.1066 3013.712 14.529 0.021
OBS: 51049.29 a NULL 45793.0953 466.3052 15.848 0.011
OBS: 51049.29 b NULL 109748.8555 1015.4937 14.899 0.01
OBS: 51049.29 c NULL 139059.2875 1286.6997 14.642 0.01
OBS: 51049.29 d NULL 160103.1955 2976.5406 14.489 0.02
OBS: 51051.35 a NULL 37670.3799 700.3447 16.06 0.02
OBS: 51051.35 b NULL 98355.8056 910.0751 15.018 0.01
