SURVEY: KAITM
SNID: 1999aa 
IAUC: 1999aa
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   126.925120
DECL:    21.487440 
RA_HOST:   126.925080
DEC_HOST:    21.479110
SEARCH_PEAKMJD:    51232.23
REDSHIFT_HELIO: 0.014422 +- 9e-06 
REDSHIFT_CMB: 0.0152403 +- 9e-06 
VPEC: -33.5706 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 69
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 51222.25 e NULL 54651.2375 1842.46 15.656 0.036
OBS: 51227.25 e NULL 100276.6923 1021.1046 14.997 0.011
OBS: 51227.25 f NULL 102329.2992 10390.4464 14.975 0.105
OBS: 51228.37 e NULL 102235.0939 1900.6923 14.976 0.02
OBS: 51228.37 f NULL 106856.2675 5345.578 14.928 0.053
OBS: 51228.37 g NULL 105002.5872 2050.6982 14.947 0.021
OBS: 51228.37 h NULL 89701.5608 4141.0323 15.118 0.049
OBS: 51229.26 e NULL 106757.8945 987.8186 14.929 0.01
OBS: 51229.26 f NULL 104712.8548 1066.2774 14.95 0.011
OBS: 51229.26 g NULL 107250.6666 992.3782 14.924 0.01
OBS: 51229.26 h NULL 86218.4081 1602.9199 15.161 0.02
OBS: 51232.23 e NULL 104905.9208 970.6825 14.948 0.01
OBS: 51232.23 f NULL 106169.5557 1081.1108 14.935 0.011
OBS: 51232.23 g NULL 115451.6117 1498.3274 14.844 0.014
OBS: 51232.23 h NULL 85270.7337 2712.5162 15.173 0.034
OBS: 51233.23 e NULL 105390.1445 975.163 14.943 0.01
OBS: 51233.23 f NULL 107646.5214 996.041 14.92 0.01
OBS: 51233.23 g NULL 116091.387 1074.1804 14.838 0.01
OBS: 51233.23 h NULL 79652.608 1406.1603 15.247 0.019
OBS: 51242.22 e NULL 78270.841 724.2312 15.266 0.01
OBS: 51242.22 f NULL 90865.7049 840.77 15.104 0.01
OBS: 51242.22 g NULL 90698.4782 839.2227 15.106 0.01
OBS: 51242.22 h NULL 57121.5522 1600.3344 15.608 0.03
OBS: 51244.21 e NULL 68422.6673 824.1792 15.412 0.013
OBS: 51244.21 f NULL 81208.2216 751.4104 15.226 0.01
OBS: 51244.21 g NULL 79432.8235 808.8542 15.25 0.011
OBS: 51244.21 h NULL 50303.7081 1648.0202 15.746 0.035
OBS: 51245.18 e NULL 62690.2497 580.0657 15.507 0.01
OBS: 51245.18 f NULL 78559.7332 726.9043 15.262 0.01
OBS: 51245.18 g NULL 74336.139 687.8238 15.322 0.01
OBS: 51245.18 h NULL 47686.9998 1245.7926 15.804 0.028
OBS: 51247.22 e NULL 52480.746 583.2559 15.7 0.012
OBS: 51247.22 f NULL 68928.6861 637.7893 15.404 0.01
OBS: 51247.22 g NULL 65826.3842 977.2363 15.454 0.016
OBS: 51247.22 h NULL 45123.2113 1693.4026 15.864 0.04
OBS: 51249.21 e NULL 42540.2463 472.78 15.928 0.012
OBS: 51249.21 f NULL 61432.7561 682.746 15.529 0.012
OBS: 51249.21 g NULL 61037.9586 849.1226 15.536 0.015
OBS: 51249.21 h NULL 43571.2481 1344.641 15.902 0.033
OBS: 51251.17 e NULL 35091.3438 4281.7915 16.137 0.125
OBS: 51251.17 f NULL 58076.4418 4153.5868 15.59 0.075
OBS: 51253.23 e NULL 28734.2589 480.3449 16.354 0.018
OBS: 51253.23 f NULL 51380.698 523.203 15.723 0.011
OBS: 51253.23 g NULL 56337.8151 626.1222 15.623 0.012
OBS: 51253.23 h NULL 48083.9348 1529.5805 15.795 0.034
OBS: 51259.21 e NULL 17668.513 328.4822 16.882 0.02
OBS: 51259.21 f NULL 39810.7171 442.4448 16.0 0.012
OBS: 51259.21 g NULL 52674.4488 487.3907 15.696 0.01
OBS: 51259.21 h NULL 53505.6938 1651.2253 15.679 0.033
OBS: 51273.17 e NULL 8068.6337 256.6684 17.733 0.034
OBS: 51273.17 f NULL 20192.9607 262.0636 16.737 0.014
OBS: 51273.17 g NULL 28157.883 418.0224 16.376 0.016
OBS: 51273.17 h NULL 35220.8636 1321.7832 16.133 0.04
OBS: 51278.18 e NULL 7481.695 237.9975 17.815 0.034
OBS: 51278.18 f NULL 16998.0851 236.4669 16.924 0.015
OBS: 51278.18 g NULL 23227.368 301.4441 16.585 0.014
OBS: 51278.18 h NULL 27014.6907 1377.5717 16.421 0.054
OBS: 51286.17 e NULL 6570.5239 278.0477 17.956 0.045
OBS: 51286.17 f NULL 13341.3568 348.5345 17.187 0.028
OBS: 51286.17 g NULL 18230.5596 236.5956 16.848 0.014
OBS: 51286.17 h NULL 20854.5105 982.8428 16.702 0.05
OBS: 51293.18 e NULL 5866.7827 419.5882 18.079 0.075
OBS: 51293.18 f NULL 11481.5362 387.0776 17.35 0.036
OBS: 51293.18 g NULL 15205.4753 483.6958 17.045 0.034
OBS: 51293.18 h NULL 16292.9603 941.5917 16.97 0.061
OBS: 51304.19 e NULL 5223.9619 196.047 18.205 0.04
OBS: 51304.19 f NULL 9323.9514 199.6235 17.576 0.023
OBS: 51304.19 g NULL 10874.2672 376.9627 17.409 0.037
OBS: 51304.19 h NULL 11117.3173 1061.3566 17.385 0.099
END:
