SURVEY: KAITM
SNID: 1999bh 
IAUC: 1999bh
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   163.695687
DECL:    61.288886 
RA_HOST:   163.701400
DEC_HOST:    61.289870
SEARCH_PEAKMJD:    51272.21
REDSHIFT_HELIO: 0.017281 +- 8e-06 
REDSHIFT_CMB: 0.017744 +- 8e-06 
VPEC: -165.3436 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 47
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 51271.33 g NULL 10167.168 1922.0998 17.482 0.188
OBS: 51271.33 h NULL 16626.468 3510.7745 16.948 0.208
OBS: 51272.21 e NULL 3451.4374 172.6612 18.655 0.053
OBS: 51272.21 f NULL 6767.0596 279.8711 17.924 0.044
OBS: 51272.21 g NULL 11251.2299 325.8758 17.372 0.031
OBS: 51272.21 h NULL 16842.2458 745.0878 16.934 0.047
OBS: 51273.26 e NULL 3354.2853 125.881 18.686 0.04
OBS: 51273.26 f NULL 7144.9633 234.079 17.865 0.035
OBS: 51273.26 g NULL 11365.7997 286.1875 17.361 0.027
OBS: 51273.26 h NULL 15402.8115 725.9121 17.031 0.05
OBS: 51278.26 e NULL 2054.944 100.8139 19.218 0.052
OBS: 51278.26 f NULL 6064.5698 107.0619 18.043 0.019
OBS: 51278.26 g NULL 10280.163 191.1225 17.47 0.02
OBS: 51278.26 h NULL 14374.7401 525.7311 17.106 0.039
OBS: 51281.23 f NULL 4947.6617 209.3723 18.264 0.045
OBS: 51281.23 g NULL 8945.4048 276.0618 17.621 0.033
OBS: 51281.23 h NULL 13329.0746 731.4006 17.188 0.058
OBS: 51283.25 e NULL 1498.3042 116.0543 19.561 0.081
OBS: 51283.25 f NULL 4285.4852 230.9938 18.42 0.057
OBS: 51283.25 g NULL 8480.081 326.3513 17.679 0.041
OBS: 51283.25 h NULL 11934.3838 1211.8091 17.308 0.105
OBS: 51285.25 e NULL 1287.0636 442.7528 19.726 0.321
OBS: 51285.25 f NULL 4454.5106 552.7477 18.378 0.127
OBS: 51285.25 g NULL 8053.7844 402.8976 17.735 0.053
OBS: 51285.25 h NULL 12033.7227 532.3625 17.299 0.047
OBS: 51287.25 e NULL 1130.3163 242.4607 19.867 0.211
OBS: 51287.25 f NULL 3746.278 395.6257 18.566 0.109
OBS: 51287.25 g NULL 6848.5716 329.3713 17.911 0.051
OBS: 51287.25 h NULL 11066.2378 1373.1784 17.39 0.127
OBS: 51289.23 e NULL 766.3021 151.6077 20.289 0.196
OBS: 51289.23 f NULL 2620.5956 205.5856 18.954 0.082
OBS: 51289.23 g NULL 6534.314 282.7913 17.962 0.046
OBS: 51289.23 h NULL 11481.5362 946.4282 17.35 0.086
OBS: 51291.23 f NULL 2236.6601 116.2211 19.126 0.055
OBS: 51291.23 g NULL 5335.8056 277.2585 18.182 0.055
OBS: 51291.23 h NULL 9558.7257 864.4486 17.549 0.094
OBS: 51295.24 f NULL 2228.4351 473.0339 19.13 0.209
OBS: 51295.24 h NULL 7184.5571 1860.2644 17.859 0.25
OBS: 51299.25 f NULL 1823.056 201.8273 19.348 0.114
OBS: 51299.25 g NULL 3837.0725 259.3053 18.54 0.071
OBS: 51299.25 h NULL 8294.687 593.2302 17.703 0.075
OBS: 51303.21 f NULL 1577.6113 109.7186 19.505 0.073
OBS: 51303.21 g NULL 3101.7015 170.1983 18.771 0.058
OBS: 51303.21 h NULL 5654.5754 637.5881 18.119 0.116
OBS: 51304.23 f NULL 1526.1598 176.7828 19.541 0.119
OBS: 51304.23 g NULL 3136.1729 187.3601 18.759 0.063
OBS: 51304.23 h NULL 4751.1638 718.9959 18.308 0.153
END:
