SURVEY: KAITM
SNID: 1999cl 
IAUC: 1999cl
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   187.983380
DECL:    14.426470 
RA_HOST:   187.996500
DEC_HOST:    14.420390
SEARCH_PEAKMJD:    51338.2
REDSHIFT_HELIO: 0.007451 +- 4.8e-05 
REDSHIFT_CMB: 0.0085353 +- 4.8e-05 
VPEC: 9.0062 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 86
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 51336.2 e NULL 80094.0031 741.1007 15.241 0.01
OBS: 51336.2 f NULL 189321.5276 4409.8649 14.307 0.025
OBS: 51336.2 g NULL 346736.8505 5796.3307 13.65 0.018
OBS: 51336.2 h NULL 470760.4833 9636.1997 13.318 0.022
OBS: 51337.23 e NULL 88470.8093 900.8868 15.133 0.011
OBS: 51337.23 f NULL 216970.1554 4645.2772 14.159 0.023
OBS: 51337.23 g NULL 385478.3577 3566.7873 13.535 0.01
OBS: 51337.23 h NULL 503964.5636 9842.4166 13.244 0.021
OBS: 51338.2 e NULL 95587.2572 884.458 15.049 0.01
OBS: 51338.2 f NULL 231846.2095 6276.0528 14.087 0.029
OBS: 51338.2 g NULL 400313.2822 5195.2533 13.494 0.014
OBS: 51338.2 h NULL 515228.6446 7167.5444 13.22 0.015
OBS: 51339.22 e NULL 99540.5417 1013.6085 15.005 0.011
OBS: 51339.22 f NULL 247286.2678 5993.2088 14.017 0.026
OBS: 51339.22 g NULL 419565.7223 4272.3834 13.443 0.011
OBS: 51339.22 h NULL 515228.6446 5726.1027 13.22 0.012
OBS: 51342.25 e NULL 101018.2871 1311.0122 14.989 0.014
OBS: 51342.25 f NULL 268410.8084 4235.7375 13.928 0.017
OBS: 51342.25 g NULL 443404.4016 6168.3697 13.383 0.015
OBS: 51342.25 h NULL 497507.9214 14881.3173 13.258 0.032
OBS: 51344.19 e NULL 96827.7856 1437.4727 15.035 0.016
OBS: 51344.19 f NULL 266195.0651 8214.9767 13.937 0.033
OBS: 51344.19 g NULL 447095.1925 4136.9209 13.374 0.01
OBS: 51344.19 h NULL 491586.5592 4548.5944 13.271 0.01
OBS: 51345.2 e NULL 93153.6765 1470.0396 15.077 0.017
OBS: 51345.2 f NULL 269898.2073 5778.4537 13.922 0.023
OBS: 51345.2 g NULL 445861.5279 4125.5059 13.377 0.01
OBS: 51345.2 h NULL 469894.1086 4347.8767 13.32 0.01
OBS: 51346.21 e NULL 89207.2189 1324.3403 15.124 0.016
OBS: 51346.21 f NULL 262542.7319 7107.0045 13.952 0.029
OBS: 51346.21 g NULL 432115.6545 3998.3169 13.411 0.01
OBS: 51346.21 h NULL 454988.0602 4209.9527 13.355 0.01
OBS: 51347.2 e NULL 84878.9503 785.3753 15.178 0.01
OBS: 51347.2 f NULL 258463.9636 4805.2038 13.969 0.02
OBS: 51347.2 g NULL 411149.7211 3804.3215 13.465 0.01
OBS: 51347.2 h NULL 440960.8165 4490.2469 13.389 0.011
OBS: 51348.22 e NULL 77481.8533 861.111 15.277 0.012
OBS: 51348.22 f NULL 252813.348 5888.7794 13.993 0.025
OBS: 51348.22 g NULL 391561.5148 3623.0741 13.518 0.01
OBS: 51348.22 h NULL 413809.0648 3828.9281 13.458 0.01
OBS: 51351.2 e NULL 63328.6164 3598.1742 15.496 0.06
OBS: 51351.2 f NULL 213796.209 7207.7228 14.175 0.036
