SURVEY: KAITM
SNID: 1999gh 
IAUC: 1999gh
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   146.082290
DECL:   -21.273600 
RA_HOST:   146.066830
DEC_HOST:   -21.278000
SEARCH_PEAKMJD:    51534.37
REDSHIFT_HELIO: 0.007705 +- 0.000103 
REDSHIFT_CMB: 0.0088284 +- 0.000103 
VPEC: 252.3899 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 31
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 51534.37 e NULL 18914.7236 1465.0802 16.808 0.081
OBS: 51534.37 f NULL 48039.6683 1436.9491 15.796 0.032
OBS: 51534.37 g NULL 74885.8908 1532.8716 15.314 0.022
OBS: 51534.37 h NULL 100000.0 4231.7429 15.0 0.045
OBS: 51537.4 e NULL 14723.125 879.5837 17.08 0.063
OBS: 51537.4 f NULL 36779.007 891.3729 16.086 0.026
OBS: 51537.4 g NULL 58559.856 1640.6304 15.581 0.03
OBS: 51537.4 h NULL 80984.1447 2730.2227 15.229 0.036
OBS: 51540.45 e NULL 12111.5576 477.6965 17.292 0.042
OBS: 51540.45 f NULL 30366.8679 678.728 16.294 0.024
OBS: 51540.45 g NULL 48707.9666 723.102 15.781 0.016
OBS: 51540.45 h NULL 60478.3592 1181.141 15.546 0.021
OBS: 51543.41 e NULL 10577.9132 417.2074 17.439 0.042
OBS: 51543.41 f NULL 27239.5545 685.8839 16.412 0.027
OBS: 51543.41 g NULL 41686.9383 502.1363 15.95 0.013
OBS: 51543.41 h NULL 50675.7284 1371.7867 15.738 0.029
OBS: 51546.39 e NULL 10223.5094 521.3318 17.476 0.054
OBS: 51546.39 f NULL 24165.7345 677.0344 16.542 0.03
OBS: 51546.39 g NULL 37051.0056 584.6945 16.078 0.017
OBS: 51546.39 h NULL 42815.3994 1525.0407 15.921 0.038
OBS: 51549.41 e NULL 9111.7123 544.3487 17.601 0.063
OBS: 51549.41 f NULL 21857.4755 716.0816 16.651 0.035
OBS: 51549.41 g NULL 32568.6682 666.6621 16.218 0.022
OBS: 51549.41 h NULL 34962.3004 2020.5176 16.141 0.061
OBS: 51555.4 f NULL 19037.0653 1894.4177 16.801 0.103
OBS: 51577.34 e NULL 6115.0498 689.5094 18.034 0.116
OBS: 51577.34 f NULL 10764.6521 748.6526 17.42 0.073
OBS: 51577.34 g NULL 11705.7704 814.1048 17.329 0.073
OBS: 51581.29 e NULL 6025.5959 729.0098 18.05 0.124
OBS: 51581.29 f NULL 8294.687 527.9823 17.703 0.067
OBS: 51581.29 g NULL 10934.527 857.8132 17.403 0.082
END:
