SURVEY: KAITM
SNID: 2001E 
IAUC: 2001E
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   177.270830
DECL:    -9.736360 
RA_HOST:   177.270460
DEC_HOST:    -9.729830
SEARCH_PEAKMJD:    51929.54
REDSHIFT_HELIO: 0.01909 +- 0.00015 
REDSHIFT_CMB: 0.0203297 +- 0.00015 
VPEC: 40.336 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 63
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 51915.45 e NULL 6655.796 320.1001 17.942 0.051
OBS: 51915.45 f NULL 9061.498 488.4278 17.607 0.057
OBS: 51915.45 g NULL 12223.6245 447.0578 17.282 0.039
OBS: 51915.45 h NULL 12566.0852 1365.4828 17.252 0.112
OBS: 51916.47 e NULL 8402.3351 436.6011 17.689 0.055
OBS: 51916.47 f NULL 10934.527 306.345 17.403 0.03
OBS: 51916.47 g NULL 15588.3447 614.8258 17.018 0.042
OBS: 51916.47 h NULL 15602.7087 1936.0963 17.017 0.127
OBS: 51925.54 e NULL 17155.3665 431.9671 16.914 0.027
OBS: 51925.54 f NULL 26181.8301 462.2052 16.455 0.019
OBS: 51925.54 g NULL 32991.3434 520.6298 16.204 0.017
OBS: 51925.54 h NULL 26326.9167 2065.3457 16.449 0.082
OBS: 51926.55 e NULL 17029.4256 901.3882 16.922 0.056
OBS: 51926.55 f NULL 26448.4363 616.0632 16.444 0.025
OBS: 51926.55 g NULL 32991.3434 737.3875 16.204 0.024
OBS: 51926.55 h NULL 25798.8294 1390.5942 16.471 0.057
OBS: 51927.46 e NULL 17314.1031 403.2973 16.904 0.025
OBS: 51927.46 f NULL 26964.9736 299.6809 16.423 0.012
OBS: 51927.46 g NULL 33357.9997 495.2216 16.192 0.016
OBS: 51927.46 h NULL 25894.0511 1195.3872 16.467 0.049
OBS: 51929.54 e NULL 15966.1425 798.7202 16.992 0.053
OBS: 51929.54 g NULL 34546.1775 1495.0854 16.154 0.046
OBS: 51930.49 e NULL 16413.4547 1238.7925 16.962 0.079
OBS: 51930.49 f NULL 29376.4965 1526.4578 16.33 0.055
OBS: 51930.49 g NULL 33542.8531 1840.5826 16.186 0.058
OBS: 51930.49 h NULL 19072.1652 7744.2055 16.799 0.37
OBS: 51931.5 e NULL 14914.2013 474.4302 17.066 0.034
OBS: 51931.5 f NULL 26085.5501 362.8861 16.459 0.015
OBS: 51931.5 g NULL 32538.6852 696.6452 16.219 0.023
OBS: 51931.5 h NULL 21777.0977 1364.8549 16.655 0.066
OBS: 51932.46 f NULL 23922.1385 3342.5161 16.553 0.142
OBS: 51932.46 g NULL 29702.9784 2626.5969 16.318 0.092
OBS: 51937.47 e NULL 9772.3722 404.1644 17.525 0.044
OBS: 51937.47 f NULL 19552.3967 677.7951 16.772 0.037
OBS: 51937.47 g NULL 22141.1411 515.7334 16.637 0.025
OBS: 51937.47 h NULL 14295.5214 1335.955 17.112 0.097
OBS: 51939.47 f NULL 16749.4288 724.8798 16.94 0.046
OBS: 51939.47 g NULL 18433.1688 411.9986 16.836 0.024
OBS: 51939.47 h NULL 12752.6371 2579.4049 17.236 0.2
OBS: 51941.49 f NULL 14374.7401 484.6164 17.106 0.036
OBS: 51941.49 g NULL 16672.4721 419.8079 16.945 0.027
OBS: 51941.49 h NULL 12122.7179 938.991 17.291 0.081
OBS: 51943.47 e NULL 5350.5694 377.3909 18.179 0.074
OBS: 51943.47 f NULL 13652.117 460.2545 17.162 0.036
OBS: 51943.47 g NULL 16888.8469 266.5195 16.931 0.017
OBS: 51943.47 h NULL 9375.6201 2000.6528 17.57 0.21
OBS: 51945.33 e NULL 4857.3567 617.8434 18.284 0.13
OBS: 51945.33 f NULL 12178.6738 538.775 17.286 0.047
OBS: 51945.33 g NULL 16143.5856 345.6302 16.98 0.023
OBS: 51945.33 h NULL 10784.4996 1416.6288 17.418 0.134
OBS: 51968.41 e NULL 1303.767 218.1816 19.712 0.168
OBS: 51968.41 f NULL 4305.2661 350.5948 18.415 0.085
OBS: 51968.41 g NULL 7033.9617 338.2874 17.882 0.051
OBS: 51968.41 h NULL 7433.6139 968.7212 17.822 0.133
OBS: 51975.38 f NULL 3951.8459 506.7694 18.508 0.131
OBS: 51975.38 g NULL 7099.0462 578.1034 17.872 0.085
OBS: 51975.38 h NULL 6931.0655 1424.9647 17.898 0.203
OBS: 51981.35 f NULL 3634.1262 270.6847 18.599 0.078
OBS: 51981.35 g NULL 5812.9957 531.5423 18.089 0.095
OBS: 51981.35 h NULL 4100.1524 865.7708 18.468 0.208
OBS: 51985.33 f NULL 2902.6856 558.3016 18.843 0.191
OBS: 51985.33 g NULL 5204.7515 629.6995 18.209 0.124
OBS: 51985.33 h NULL 2805.4336 1275.8803 18.88 0.407
END:
