SURVEY: KAITM
SNID: 2001br 
IAUC: 2001br
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   277.606460
DECL:    34.103610 
RA_HOST:   277.605951
DEC_HOST:    34.102882
SEARCH_PEAKMJD:    52053.44
REDSHIFT_HELIO: 0.020901 +- 0.000203 
REDSHIFT_CMB: 0.0204647 +- 0.000203 
VPEC: -127.6019 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 74
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 52051.45 e NULL 25188.3663 539.2767 16.497 0.023
OBS: 52051.45 f NULL 28549.5982 477.2579 16.361 0.018
OBS: 52051.45 g NULL 32809.5293 395.2043 16.21 0.013
OBS: 52051.45 h NULL 26351.1759 913.4787 16.448 0.037
OBS: 52052.47 e NULL 25680.2945 549.8087 16.476 0.023
OBS: 52052.47 f NULL 28209.7995 418.7932 16.374 0.016
OBS: 52052.47 g NULL 33635.6636 499.3437 16.183 0.016
OBS: 52052.47 h NULL 26742.3766 2018.3597 16.432 0.079
OBS: 52053.44 e NULL 25072.6362 560.397 16.502 0.024
OBS: 52053.44 f NULL 28602.2369 558.601 16.359 0.021
OBS: 52053.44 g NULL 33978.1712 314.3961 16.172 0.01
OBS: 52053.44 h NULL 28575.9054 800.5911 16.36 0.03
OBS: 52054.44 e NULL 23746.5214 396.9659 16.561 0.018
OBS: 52054.44 f NULL 29133.9922 568.9862 16.339 0.021
OBS: 52054.44 g NULL 33728.7309 406.2764 16.18 0.013
OBS: 52054.44 h NULL 26399.7613 1966.3629 16.446 0.078
OBS: 52056.44 e NULL 22615.1775 441.6739 16.614 0.021
OBS: 52056.44 f NULL 27771.5424 438.2572 16.391 0.017
OBS: 52056.44 g NULL 32181.0344 417.6445 16.231 0.014
OBS: 52056.44 h NULL 22615.1775 1240.9529 16.614 0.058
OBS: 52058.41 e NULL 20174.3709 699.3562 16.738 0.037
OBS: 52058.41 f NULL 26546.0556 418.918 16.44 0.017
OBS: 52058.41 g NULL 28261.8118 525.4263 16.372 0.02
OBS: 52058.41 h NULL 17442.1493 671.2516 16.896 0.041
OBS: 52060.42 e NULL 16873.2989 504.7094 16.932 0.032
OBS: 52060.42 f NULL 23637.4161 461.6382 16.566 0.021
OBS: 52060.42 g NULL 22532.0134 609.9393 16.618 0.029
OBS: 52060.42 h NULL 14859.3564 772.12 17.07 0.055
OBS: 52062.43 e NULL 14804.7132 712.0095 17.074 0.051
OBS: 52062.43 f NULL 21340.2744 1150.2716 16.677 0.057
OBS: 52062.43 g NULL 20568.3759 890.1557 16.717 0.046
OBS: 52062.43 h NULL 14138.3914 1990.3322 17.124 0.143
OBS: 52064.42 e NULL 11199.5352 647.236 17.377 0.061
OBS: 52064.42 f NULL 17864.8757 432.9716 16.87 0.026
OBS: 52064.42 g NULL 18314.708 530.4594 16.843 0.031
OBS: 52064.42 h NULL 13854.7917 895.4793 17.146 0.068
OBS: 52068.41 e NULL 6886.523 377.8812 17.905 0.058
OBS: 52068.41 f NULL 14709.5708 467.9208 17.081 0.034
OBS: 52068.41 g NULL 18096.7255 421.5269 16.856 0.025
OBS: 52068.41 h NULL 15995.5803 1836.4174 16.99 0.118
OBS: 52070.39 e NULL 5257.7508 407.2503 18.198 0.081
OBS: 52070.39 f NULL 12670.6822 572.7331 17.243 0.048
OBS: 52070.39 g NULL 16919.986 362.2527 16.929 0.023
OBS: 52070.39 h NULL 17635.9963 1226.5361 16.884 0.073
OBS: 52072.41 e NULL 4587.7527 465.8372 18.346 0.105
OBS: 52072.41 f NULL 11694.9939 573.7471 17.33 0.052
OBS: 52072.41 g NULL 15703.628 604.3456 17.01 0.041
OBS: 52075.43 e NULL 3084.6081 297.5974 18.777 0.1
OBS: 52075.43 f NULL 8637.7375 626.2935 17.659 0.076
OBS: 52075.43 g NULL 14125.3754 462.7672 17.125 0.035
OBS: 52075.43 h NULL 17914.3065 518.8623 16.867 0.031
OBS: 52076.4 e NULL 3133.2857 245.8062 18.76 0.082
OBS: 52076.4 f NULL 8105.8768 280.9949 17.728 0.037
OBS: 52076.4 g NULL 12918.1404 374.1555 17.222 0.031
OBS: 52076.4 h NULL 18416.199 1028.4451 16.837 0.059
OBS: 52080.4 e NULL 2657.0517 288.7262 18.939 0.112
OBS: 52080.4 f NULL 6042.2682 378.6923 18.047 0.066
OBS: 52080.4 g NULL 9315.3677 376.3332 17.577 0.043
OBS: 52080.4 h NULL 11513.3047 891.7876 17.347 0.081
OBS: 52084.37 e NULL 1976.9696 220.8902 19.26 0.115
OBS: 52084.37 f NULL 4943.1069 358.4082 18.265 0.076
OBS: 52084.37 g NULL 7972.6005 306.8212 17.746 0.041
OBS: 52084.37 h NULL 9954.0542 507.5913 17.505 0.054
OBS: 52088.4 f NULL 3977.4067 343.7499 18.501 0.09
OBS: 52088.4 g NULL 7530.0871 354.8821 17.808 0.05
OBS: 52088.4 h NULL 7805.4869 944.3508 17.769 0.124
OBS: 52092.38 f NULL 3121.7635 351.998 18.764 0.116
OBS: 52092.38 g NULL 5654.5754 574.1617 18.119 0.105
OBS: 52092.38 h NULL 5204.7515 1104.8219 18.209 0.209
OBS: 52096.35 f NULL 3259.8679 340.9404 18.717 0.108
OBS: 52096.35 g NULL 5081.5944 393.6057 18.235 0.081
OBS: 52100.35 f NULL 2644.8436 352.938 18.944 0.136
OBS: 52100.35 g NULL 4345.1022 285.1004 18.405 0.069
OBS: 52109.34 g NULL 3708.5147 298.3069 18.577 0.084
END:
