SURVEY: KAITM
SNID: 2001cj 
IAUC: 2001cj
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   200.436870
DECL:    31.246830 
RA_HOST:   200.439380
DEC_HOST:    31.237240
SEARCH_PEAKMJD:    52066.22
REDSHIFT_HELIO: 0.024088 +- 1.7e-05 
REDSHIFT_CMB: 0.0249116 +- 1.7e-05 
VPEC: -9.2981 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 96
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 52061.24 e NULL 40588.2195 678.5052 15.979 0.018
OBS: 52061.24 f NULL 34673.685 1533.9367 16.15 0.047
OBS: 52061.24 g NULL 38406.0816 1514.7887 16.039 0.042
OBS: 52061.24 h NULL 35091.3438 2302.4905 16.137 0.069
OBS: 52062.2 e NULL 40253.1619 786.1433 15.988 0.021
OBS: 52062.2 f NULL 37051.0056 828.1247 16.078 0.024
OBS: 52062.2 g NULL 38797.1657 1791.0537 16.028 0.049
OBS: 52062.2 h NULL 29593.75 3764.2497 16.322 0.13
OBS: 52063.29 e NULL 44504.0977 660.6928 15.879 0.016
OBS: 52063.29 f NULL 41001.5241 955.0482 15.968 0.025
OBS: 52063.29 g NULL 41917.9466 583.1367 15.944 0.015
OBS: 52063.29 h NULL 33604.6982 1037.0659 16.184 0.033
OBS: 52064.29 e NULL 43772.3638 690.763 15.897 0.017
OBS: 52064.29 f NULL 40738.0278 795.6128 15.975 0.021
OBS: 52064.29 g NULL 43092.3323 639.7342 15.914 0.016
OBS: 52064.29 h NULL 31827.3148 442.7621 16.243 0.015
OBS: 52065.23 e NULL 44258.8372 1198.0821 15.885 0.029
OBS: 52065.23 f NULL 39482.0778 1068.7757 16.009 0.029
OBS: 52065.23 g NULL 42383.8106 589.6175 15.932 0.015
OBS: 52065.23 h NULL 29187.7085 1544.9408 16.337 0.056
OBS: 52066.22 e NULL 44833.227 581.8442 15.871 0.014
OBS: 52066.22 f NULL 40663.0546 985.5063 15.977 0.026
OBS: 52066.22 g NULL 43411.021 725.6934 15.906 0.018
OBS: 52066.22 h NULL 29950.2188 895.8625 16.309 0.032
OBS: 52067.2 e NULL 43772.3638 527.2561 15.897 0.013
OBS: 52067.2 f NULL 42344.7916 787.2485 15.933 0.02
OBS: 52067.2 g NULL 43853.0698 446.5501 15.895 0.011
OBS: 52067.2 h NULL 28866.8902 726.8598 16.349 0.027
OBS: 52068.2 e NULL 42933.8663 1365.7536 15.918 0.034
OBS: 52068.2 f NULL 40813.1392 797.0797 15.973 0.021
OBS: 52068.2 g NULL 42501.0833 551.5777 15.929 0.014
OBS: 52068.2 h NULL 27516.9313 1296.833 16.401 0.05
OBS: 52070.2 e NULL 40216.1044 446.9502 15.989 0.012
OBS: 52070.2 f NULL 39994.475 743.5528 15.995 0.02
OBS: 52070.2 g NULL 40888.389 492.5175 15.971 0.013
OBS: 52070.2 h NULL 25515.2601 860.1973 16.483 0.036
OBS: 52072.2 e NULL 36041.2629 1009.7428 16.108 0.03
OBS: 52072.2 f NULL 37635.7002 805.771 16.061 0.023
OBS: 52072.2 g NULL 39627.8034 551.2777 16.005 0.015
OBS: 52072.2 h NULL 25585.8589 1880.4311 16.48 0.077
OBS: 52074.19 e NULL 34482.5997 998.7393 16.156 0.031
OBS: 52074.19 f NULL 35448.6744 559.4085 16.126 0.017
OBS: 52074.19 g NULL 35842.6408 498.6208 16.114 0.015
OBS: 52074.19 h NULL 21281.3905 596.2258 16.68 0.03
OBS: 52076.2 e NULL 29648.3139 1626.8792 16.32 0.058
OBS: 52076.2 f NULL 32809.5293 456.426 16.21 0.015
OBS: 52076.2 g NULL 31477.4831 408.5138 16.255 0.014
OBS: 52076.2 h NULL 18914.7236 512.0196 16.808 0.029
OBS: 52078.21 e NULL 23313.0986 1031.3533 16.581 0.047
OBS: 52078.21 f NULL 28866.8902 428.5481 16.349 0.016
OBS: 52078.21 g NULL 28183.8293 523.9765 16.375 0.02
OBS: 52078.21 h NULL 17266.3285 549.2529 16.907 0.034
OBS: 52080.2 e NULL 19787.9134 932.5756 16.759 0.05
OBS: 52080.2 f NULL 25444.8562 592.6868 16.486 0.025
OBS: 52080.2 g NULL 24299.649 634.8129 16.536 0.028
OBS: 52080.2 h NULL 15588.3447 629.7563 17.018 0.043
OBS: 52082.2 e NULL 15689.1711 499.0825 17.011 0.034
OBS: 52082.2 f NULL 23680.9979 263.1838 16.564 0.012
OBS: 52082.2 g NULL 23099.3628 559.8342 16.591 0.026
OBS: 52082.2 h NULL 17029.4256 444.8829 16.922 0.028
OBS: 52088.22 e NULL 9890.0845 746.4463 17.512 0.079
OBS: 52088.22 f NULL 17750.0671 413.4522 16.877 0.025
OBS: 52088.22 g NULL 21105.7116 1219.727 16.689 0.061
OBS: 52088.22 h NULL 18130.0917 1585.0544 16.854 0.091
OBS: 52090.2 e NULL 8317.6377 440.2627 17.7 0.056
OBS: 52090.2 f NULL 16203.1704 438.6181 16.976 0.029
OBS: 52090.2 g NULL 19787.9134 349.3291 16.759 0.019
OBS: 52090.2 h NULL 18467.1552 728.37 16.834 0.042
OBS: 52093.2 e NULL 6274.8016 733.2937 18.006 0.12
OBS: 52093.2 f NULL 13243.4154 471.7169 17.195 0.038
OBS: 52093.2 g NULL 18724.059 595.6242 16.819 0.034
OBS: 52093.2 h NULL 18030.1774 471.0269 16.86 0.028
OBS: 52098.2 e NULL 4711.9427 407.2326 18.317 0.09
OBS: 52098.2 f NULL 10844.262 314.0886 17.412 0.031
OBS: 52098.2 g NULL 15703.628 218.4592 17.01 0.015
OBS: 52098.2 h NULL 18967.0592 1003.9494 16.805 0.056
OBS: 52103.2 e NULL 3493.0114 242.9295 18.642 0.073
OBS: 52103.2 f NULL 8425.5838 316.1988 17.686 0.04
OBS: 52103.2 g NULL 12067.0191 338.0732 17.296 0.03
OBS: 52103.2 h NULL 14295.5214 632.4227 17.112 0.047
OBS: 52108.2 e NULL 3379.0919 271.8087 18.678 0.084
OBS: 52108.2 f NULL 7237.6904 496.2354 17.851 0.072
OBS: 52108.2 g NULL 9272.5674 286.1583 17.582 0.033
OBS: 52108.2 h NULL 11502.7055 1005.6438 17.348 0.091
OBS: 52109.19 e NULL 2810.6062 392.7114 18.878 0.142
OBS: 52109.19 f NULL 6205.8318 238.8281 18.018 0.041
OBS: 52109.19 g NULL 9003.2643 226.6995 17.614 0.027
OBS: 52109.19 h NULL 10804.3837 384.8411 17.416 0.038
OBS: 52114.19 e NULL 3173.9494 407.015 18.746 0.131
OBS: 52114.19 f NULL 6092.5626 514.3719 18.038 0.088
OBS: 52114.19 g NULL 7138.3855 412.5367 17.866 0.061
OBS: 52114.19 h NULL 9908.3194 1647.4801 17.51 0.167
OBS: 52120.19 e NULL 3274.9148 731.9068 18.712 0.219
OBS: 52120.19 f NULL 4777.4923 1399.8262 18.302 0.279
OBS: 52120.19 g NULL 5749.1018 583.7598 18.101 0.105
OBS: 52120.19 h NULL 7177.9429 787.3179 17.86 0.113
END:
