SURVEY: KAITM
SNID: 2001cp 
IAUC: 2001cp
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   257.761040
DECL:     5.841060 
RA_HOST:   257.774370
DEC_HOST:     5.852250
SEARCH_PEAKMJD:    52090.33
REDSHIFT_HELIO: 0.022416 +- 2.1e-05 
REDSHIFT_CMB: 0.0224013 +- 2.1e-05 
VPEC: 136.814 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 102
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 52080.34 e NULL 20436.1932 611.2817 16.724 0.032
OBS: 52080.34 f NULL 22594.3577 356.5571 16.615 0.017
OBS: 52080.34 g NULL 26742.3766 547.4013 16.432 0.022
OBS: 52080.34 h NULL 28157.883 1110.5856 16.376 0.042
OBS: 52081.34 e NULL 22782.4277 530.6709 16.606 0.025
OBS: 52081.34 f NULL 24797.049 437.7587 16.514 0.019
OBS: 52081.34 g NULL 29160.838 569.5105 16.338 0.021
OBS: 52081.34 h NULL 30478.9499 2089.7183 16.29 0.072
OBS: 52083.3 f NULL 28920.114 321.4098 16.347 0.012
OBS: 52083.3 g NULL 34166.4613 411.5491 16.166 0.013
OBS: 52083.3 h NULL 31477.4831 1031.2466 16.255 0.035
OBS: 52084.29 e NULL 28628.5927 371.541 16.358 0.014
OBS: 52084.29 f NULL 31160.183 462.5936 16.266 0.016
OBS: 52084.29 g NULL 35743.7406 397.2456 16.117 0.012
OBS: 52084.29 h NULL 33915.6387 1272.8002 16.174 0.04
OBS: 52085.29 e NULL 30789.3131 601.3146 16.279 0.021
OBS: 52085.29 f NULL 32658.7832 393.3885 16.215 0.013
OBS: 52085.29 g NULL 37844.2585 385.3632 16.055 0.011
OBS: 52085.29 h NULL 33204.7336 1246.121 16.197 0.04
OBS: 52088.28 e NULL 32628.7172 1443.469 16.216 0.047
OBS: 52088.28 f NULL 36008.0829 1077.0637 16.109 0.032
OBS: 52088.28 g NULL 40700.5239 2233.3424 15.976 0.058
OBS: 52089.29 e NULL 31275.1931 376.7226 16.262 0.013
OBS: 52089.29 f NULL 36008.0829 737.065 16.109 0.022
OBS: 52089.29 g NULL 40476.2249 600.8964 15.982 0.016
OBS: 52089.29 h NULL 32718.9984 1040.8121 16.213 0.034
OBS: 52090.33 e NULL 31885.9969 562.9046 16.241 0.019
OBS: 52090.33 f NULL 36441.8151 575.081 16.096 0.017
OBS: 52090.33 g NULL 41304.7502 845.4848 15.96 0.022
OBS: 52090.33 h NULL 33174.165 1244.9739 16.198 0.04
OBS: 52091.31 e NULL 30227.3448 904.1519 16.299 0.032
OBS: 52091.31 f NULL 34641.7641 579.0995 16.151 0.018
OBS: 52091.31 g NULL 41001.5241 493.8802 15.968 0.013
OBS: 52091.31 h NULL 29133.9922 651.1721 16.339 0.024
OBS: 52092.32 e NULL 28366.1242 767.868 16.368 0.029
OBS: 52092.32 f NULL 34166.4613 699.3681 16.166 0.022
OBS: 52092.32 g NULL 39627.8034 960.416 16.005 0.026
OBS: 52092.32 h NULL 27390.5025 2203.2474 16.406 0.084
OBS: 52096.29 e NULL 23356.0825 588.0993 16.579 0.027
OBS: 52096.29 f NULL 30310.9815 591.9728 16.296 0.021
OBS: 52096.29 g NULL 33978.1712 599.8392 16.172 0.019
OBS: 52096.29 h NULL 23878.1128 759.5779 16.555 0.034
OBS: 52100.29 e NULL 19696.9961 701.5869 16.764 0.038
OBS: 52100.29 f NULL 25562.3043 595.4226 16.481 0.025
OBS: 52100.29 g NULL 26133.6458 485.8607 16.457 0.02
OBS: 52100.29 h NULL 17603.5395 880.6324 16.886 0.053
OBS: 52102.28 e NULL 16458.8694 507.9329 16.959 0.033
OBS: 52102.28 f NULL 22407.8403 353.6137 16.624 0.017
OBS: 52102.28 g NULL 22845.4649 339.1561 16.603 0.016
OBS: 52102.28 h NULL 16218.101 984.7331 16.975 0.064
OBS: 52104.27 e NULL 13267.8331 359.1589 17.193 0.029
OBS: 52104.27 f NULL 20473.8728 342.2576 16.722 0.018
OBS: 52104.27 g NULL 20644.2923 364.4474 16.713 0.019
OBS: 52104.27 h NULL 15135.6125 801.1463 17.05 0.056
OBS: 52105.27 e NULL 12416.5231 371.3996 17.265 0.032
OBS: 52105.27 f NULL 19769.6964 275.0239 16.76 0.015
OBS: 52105.27 g NULL 20118.704 336.3204 16.741 0.018
OBS: 52105.27 h NULL 14818.3552 870.816 17.073 0.062
OBS: 52107.26 e NULL 10139.1139 293.665 17.485 0.031
OBS: 52107.26 f NULL 17442.1493 307.9178 16.896 0.019
OBS: 52107.26 g NULL 19733.3128 348.3652 16.762 0.019
OBS: 52107.26 h NULL 15660.2972 587.7061 17.013 0.04
OBS: 52109.28 e NULL 9111.7123 333.245 17.601 0.039
OBS: 52109.28 f NULL 15966.1425 341.8312 16.992 0.023
OBS: 52109.28 g NULL 18603.7288 328.424 16.826 0.019
OBS: 52109.28 h NULL 15863.5361 747.6254 16.999 0.05
OBS: 52111.25 e NULL 7297.9352 386.2886 17.842 0.056
OBS: 52111.25 f NULL 15689.1711 365.4477 17.011 0.025
OBS: 52111.25 g NULL 18484.172 360.9955 16.833 0.021
OBS: 52111.25 h NULL 18264.1725 1414.6904 16.846 0.081
OBS: 52113.26 e NULL 5807.6442 313.0404 18.09 0.057
OBS: 52113.26 f NULL 13564.3816 328.7452 17.169 0.026
OBS: 52113.26 g NULL 18706.8214 365.3438 16.82 0.021
OBS: 52113.26 h NULL 18603.7288 1147.7674 16.826 0.065
OBS: 52115.23 e NULL 4857.3567 347.3948 18.284 0.075
OBS: 52115.23 f NULL 12705.7411 295.9547 17.24 0.025
