SURVEY: KAITM
SNID: 2002dl 
IAUC: 2002dl
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   335.224830
DECL:    33.292690 
RA_HOST:   335.221330
DEC_HOST:    33.295330
SEARCH_PEAKMJD:    52452.46
REDSHIFT_HELIO: 0.016268 +- 7e-06 
REDSHIFT_CMB: 0.0151698 +- 7e-06 
VPEC: -44.5125 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 104
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 52444.46 A NULL 14229.8394 158.1463 17.117 0.012
OBS: 52444.46 B NULL 16565.3265 354.6595 16.952 0.023
OBS: 52444.46 C NULL 19733.3128 441.0581 16.762 0.024
OBS: 52444.46 D NULL 21203.1312 594.0332 16.684 0.03
OBS: 52446.46 A NULL 22019.1221 306.3165 16.643 0.015
OBS: 52446.46 B NULL 24547.0892 479.4041 16.525 0.021
OBS: 52446.46 C NULL 29566.5057 549.6824 16.323 0.02
OBS: 52446.46 D NULL 30563.2828 1117.7988 16.287 0.039
OBS: 52448.44 A NULL 29593.75 439.3388 16.322 0.016
OBS: 52448.44 B NULL 31390.6277 378.113 16.258 0.013
OBS: 52448.44 C NULL 38725.7645 574.9096 16.03 0.016
OBS: 52448.44 D NULL 39554.8735 624.2076 16.007 0.017
OBS: 52450.46 A NULL 34514.3739 319.3576 16.155 0.01
OBS: 52450.46 B NULL 38797.1657 431.1805 16.028 0.012
OBS: 52450.46 C NULL 45415.0713 674.2168 15.857 0.016
OBS: 52450.46 D NULL 43132.0401 923.4463 15.913 0.023
OBS: 52452.46 A NULL 35908.7262 466.0223 16.112 0.014
OBS: 52452.46 B NULL 41342.8108 497.9912 15.959 0.013
OBS: 52452.46 C NULL 48439.5389 764.4147 15.787 0.017
OBS: 52452.46 D NULL 42736.6031 914.9801 15.923 0.023
