SURVEY: KAITM
SNID: 2002fb 
IAUC: 2002fb
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:    29.453750
DECL:    36.340640 
RA_HOST:    29.459710
DEC_HOST:    36.343110
SEARCH_PEAKMJD:    52530.44
REDSHIFT_HELIO: 0.01529 +- 5e-05 
REDSHIFT_CMB: 0.0144517 +- 5e-05 
VPEC: 161.1736 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 127
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 52524.41 I NULL 8733.7348 154.1824 17.647 0.019
OBS: 52524.41 J NULL 11912.4201 132.3912 17.31 0.012
OBS: 52524.41 K NULL 14060.4752 169.3642 17.13 0.013
OBS: 52524.41 L NULL 16749.4288 154.9806 16.94 0.01
OBS: 52525.42 I NULL 10423.1743 96.4444 17.455 0.01
OBS: 52525.42 J NULL 14282.3608 132.1531 17.113 0.01
OBS: 52525.42 K NULL 17123.7942 158.4445 16.916 0.01
OBS: 52525.42 L NULL 20492.7386 265.9541 16.721 0.014
OBS: 52528.33 I NULL 13194.7146 122.0892 17.199 0.01
OBS: 52528.33 J NULL 19373.1392 215.3075 16.782 0.012
OBS: 52528.33 K NULL 24479.3567 226.5047 16.528 0.01
OBS: 52528.33 L NULL 28287.8539 288.0516 16.371 0.011
OBS: 52528.49 A NULL 13514.5005 225.9192 17.173 0.018
OBS: 52528.49 B NULL 19952.6231 277.5686 16.75 0.015
OBS: 52528.49 C NULL 24980.4352 370.8511 16.506 0.016
OBS: 52528.49 D NULL 27899.73 1503.8358 16.386 0.057
OBS: 52529.48 A NULL 13085.7916 218.7526 17.208 0.018
OBS: 52529.48 B NULL 21183.6114 196.0095 16.685 0.01
OBS: 52529.48 C NULL 26619.5065 519.8784 16.437 0.021
OBS: 52529.48 D NULL 29593.75 550.1889 16.322 0.02
OBS: 52530.44 A NULL 12589.2541 269.5328 17.25 0.023
OBS: 52530.44 B NULL 21047.4749 351.8464 16.692 0.018
OBS: 52530.44 C NULL 27848.3841 413.4277 16.388 0.016
OBS: 52530.44 D NULL 30902.9543 632.5659 16.275 0.022
OBS: 52531.42 A NULL 12000.5182 313.5059 17.302 0.028
OBS: 52531.42 B NULL 21222.669 295.2367 16.683 0.015
OBS: 52531.42 C NULL 27314.9242 405.5082 16.409 0.016
OBS: 52531.42 D NULL 30846.0814 893.4127 16.277 0.031
OBS: 52532.44 A NULL 12439.4162 2640.5372 17.263 0.209
OBS: 52532.44 B NULL 21938.1499 6480.2748 16.647 0.281
OBS: 52534.43 A NULL 7921.3645 162.1458 17.753 0.022
OBS: 52534.43 B NULL 19037.0653 211.5725 16.801 0.012
OBS: 52534.43 C NULL 26890.5695 248.8154 16.426 0.01
OBS: 52534.43 D NULL 29922.6464 416.2655 16.31 0.015
OBS: 52535.37 A NULL 6748.3873 279.0989 17.927 0.044
OBS: 52535.37 B NULL 17426.0919 405.9058 16.897 0.025
OBS: 52535.37 C NULL 26037.543 289.3738 16.461 0.012
OBS: 52535.37 D NULL 29026.8561 1061.6067 16.343 0.039
OBS: 52537.36 A NULL 4817.259 273.7047 18.293 0.06
OBS: 52537.36 B NULL 14321.879 347.1038 17.11 0.026
OBS: 52537.36 C NULL 22908.6765 361.5173 16.6 0.017
OBS: 52537.36 D NULL 27925.4384 597.8767 16.385 0.023
OBS: 52544.43 A NULL 1858.6602 183.0777 19.327 0.102
OBS: 52544.43 B NULL 6823.3869 243.0421 17.915 0.038
OBS: 52544.43 C NULL 12531.4117 482.2646 17.255 0.041
OBS: 52544.43 D NULL 20739.582 307.8928 16.708 0.016
OBS: 52547.42 A NULL 1924.8638 162.5089 19.289 0.088
OBS: 52547.42 B NULL 5282.0195 198.2258 18.193 0.04
OBS: 52547.42 C NULL 9745.4074 356.4213 17.528 0.039
OBS: 52547.42 D NULL 16054.6189 725.6919 16.986 0.048
OBS: 52549.41 A NULL 1614.3586 113.8653 19.48 0.074
OBS: 52549.41 B NULL 4902.3013 221.5911 18.274 0.048
OBS: 52549.41 C NULL 8527.0734 263.1518 17.673 0.033
OBS: 52549.41 D NULL 13931.568 390.311 17.14 0.03
OBS: 52551.39 B NULL 4345.1022 1206.2655 18.405 0.266
OBS: 52551.45 I NULL 1416.4459 72.2294 19.622 0.054
OBS: 52551.45 J NULL 4281.5399 91.6667 18.421 0.023
OBS: 52551.45 K NULL 7085.9813 85.3536 17.874 0.013
OBS: 52551.45 L NULL 11901.4534 243.616 17.311 0.022
OBS: 52552.5 I NULL 1415.1419 69.4257 19.623 0.052
OBS: 52552.5 J NULL 4092.6066 83.7733 18.47 0.022
OBS: 52552.5 K NULL 6534.314 158.3651 17.962 0.026
OBS: 52552.5 L NULL 11857.6875 354.6838 17.315 0.032
OBS: 52556.28 A NULL 1250.8349 113.1199 19.757 0.094
OBS: 52556.28 B NULL 3538.3436 183.859 18.628 0.055
OBS: 52556.28 C NULL 5834.451 269.3448 18.085 0.049
OBS: 52556.28 D NULL 8970.1561 632.6907 17.618 0.074
OBS: 52559.39 A NULL 1109.6857 109.3039 19.887 0.102
OBS: 52559.39 B NULL 2951.2092 156.2111 18.825 0.056
OBS: 52559.39 C NULL 5223.9619 146.3561 18.205 0.03
OBS: 52559.39 D NULL 7251.035 306.8452 17.849 0.045
OBS: 52562.33 A NULL 973.6436 112.7821 20.029 0.119
OBS: 52562.33 B NULL 2739.0503 126.447 18.906 0.049
OBS: 52562.33 C NULL 4579.3095 193.7846 18.348 0.045
OBS: 52562.33 D NULL 6982.324 376.3574 17.89 0.057
OBS: 52565.25 A NULL 1130.3163 195.2455 19.867 0.173
OBS: 52565.25 B NULL 2216.1543 335.3717 19.136 0.153
OBS: 52565.25 C NULL 3486.5829 290.8782 18.644 0.087
OBS: 52565.25 D NULL 5238.4162 967.4156 18.202 0.184
OBS: 52571.4 A NULL 1028.0163 367.7092 19.97 0.332
OBS: 52571.4 B NULL 1821.3776 296.9835 19.349 0.164
OBS: 52571.4 C NULL 2551.526 290.3165 18.983 0.117
OBS: 52571.4 D NULL 3564.5113 677.7752 18.62 0.189
OBS: 52574.28 A NULL 911.1712 98.0817 20.101 0.111
OBS: 52574.28 B NULL 1788.1337 134.958 19.369 0.079
OBS: 52574.28 C NULL 2342.0707 273.702 19.076 0.12
OBS: 52574.28 D NULL 3627.438 525.926 18.601 0.147
OBS: 52577.35 A NULL 655.2394 117.4412 20.459 0.179
OBS: 52577.35 B NULL 1851.8252 147.1159 19.331 0.083
OBS: 52577.35 C NULL 2689.057 187.0167 18.926 0.073
OBS: 52577.35 D NULL 3620.7622 1214.277 18.603 0.314
OBS: 52581.23 B NULL 1659.5869 385.9155 19.45 0.227
OBS: 52581.23 C NULL 1636.8165 556.9985 19.465 0.318
OBS: 52581.23 D NULL 3739.3834 1122.4491 18.568 0.285
OBS: 52582.35 I NULL 658.8704 31.0516 20.453 0.05
OBS: 52582.35 J NULL 1555.9656 59.8805 19.52 0.041
OBS: 52582.35 K NULL 1788.1337 89.453 19.369 0.053
OBS: 52582.35 L NULL 2280.3421 285.3232 19.105 0.128
OBS: 52583.24 I NULL 649.8304 58.1154 20.468 0.093
OBS: 52583.24 J NULL 1544.543 49.1329 19.528 0.034
OBS: 52583.24 K NULL 1661.1161 70.2942 19.449 0.045
OBS: 52583.24 L NULL 2445.6821 179.7452 19.029 0.077
OBS: 52589.28 A NULL 657.0524 97.3447 20.456 0.15
OBS: 52589.28 B NULL 1220.1128 155.1953 19.784 0.13
OBS: 52589.28 C NULL 1645.8869 134.0311 19.459 0.085
OBS: 52589.28 D NULL 2481.9898 318.2808 19.013 0.131
OBS: 52593.26 B NULL 848.0081 229.449 20.179 0.26
OBS: 52593.26 C NULL 1102.5543 177.4163 19.894 0.162
OBS: 52593.26 D NULL 2584.6396 525.644 18.969 0.201
OBS: 52600.26 B NULL 739.2648 244.2933 20.328 0.31
OBS: 52600.26 C NULL 1621.8101 473.267 19.475 0.278
OBS: 52604.27 B NULL 686.1199 271.5151 20.409 0.362
OBS: 52604.27 C NULL 794.3282 579.7137 20.25 0.595
OBS: 52604.27 D NULL 1503.8343 410.4216 19.557 0.262
OBS: 52608.29 B NULL 648.6344 124.7581 20.47 0.191
OBS: 52608.29 C NULL 995.4054 170.867 20.005 0.172
OBS: 52608.29 D NULL 1678.0311 394.0178 19.438 0.229
OBS: 52612.2 B NULL 586.6783 119.9646 20.579 0.202
OBS: 52612.2 C NULL 764.1876 256.2818 20.292 0.314
OBS: 52612.2 D NULL 1206.7019 327.9151 19.796 0.261
OBS: 52613.27 I NULL 356.123 37.9712 21.121 0.11
OBS: 52613.27 J NULL 732.4871 36.6433 20.338 0.053
OBS: 52613.27 K NULL 511.4463 78.4831 20.728 0.155
