SURVEY: KAITM
SNID: 2003W 
IAUC: 2003W
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   146.706170
DECL:    16.043780 
RA_HOST:   146.706330
DEC_HOST:    16.042860
SEARCH_PEAKMJD:    52682.33
REDSHIFT_HELIO: 0.020067 +- 2e-06 
REDSHIFT_CMB: 0.021145 +- 2e-06 
VPEC: 14.6045 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 111
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 52669.44 A NULL 13982.9885 632.0512 17.136 0.048
OBS: 52669.44 B NULL 15473.9076 551.1648 17.026 0.038
OBS: 52669.44 C NULL 18845.1674 350.3578 16.812 0.02
OBS: 52669.44 D NULL 13995.8732 605.7117 17.135 0.046
OBS: 52670.36 A NULL 18552.3958 379.757 16.829 0.022
OBS: 52670.36 B NULL 20026.2669 866.6944 16.746 0.046
OBS: 52670.36 C NULL 22782.4277 876.7693 16.606 0.041
OBS: 52670.36 D NULL 19462.5616 508.4471 16.777 0.028
OBS: 52671.33 A NULL 22552.7757 954.3755 16.617 0.045
OBS: 52671.33 C NULL 28787.2381 1804.2075 16.352 0.066
OBS: 52671.33 D NULL 24569.7083 2246.6624 16.524 0.095
OBS: 52672.35 A NULL 23988.3292 694.7877 16.55 0.031
OBS: 52672.35 B NULL 25211.5763 946.1505 16.496 0.04
OBS: 52672.35 C NULL 30116.188 644.7801 16.303 0.023
OBS: 52672.35 D NULL 26472.8074 791.8472 16.443 0.032
OBS: 52673.4 I NULL 28734.2589 615.1934 16.354 0.023
OBS: 52673.4 J NULL 30931.4301 343.763 16.274 0.012
OBS: 52673.4 K NULL 36041.2629 771.6345 16.108 0.023
OBS: 52673.4 L NULL 35974.9335 3982.7221 16.11 0.114
OBS: 52673.47 A NULL 28313.92 473.3182 16.37 0.018
OBS: 52673.47 B NULL 29950.2188 277.126 16.309 0.01
OBS: 52673.47 C NULL 34072.1862 442.1878 16.169 0.014
OBS: 52673.47 D NULL 31506.4883 585.7494 16.254 0.02
OBS: 52675.39 A NULL 34419.1388 866.6638 16.158 0.027
OBS: 52675.39 B NULL 36982.818 1036.1217 16.08 0.03
OBS: 52675.39 C NULL 41533.6405 461.5929 15.954 0.012
OBS: 52675.39 D NULL 34546.1775 837.2582 16.154 0.026
OBS: 52676.35 A NULL 37222.0253 483.0663 16.073 0.014
OBS: 52676.35 B NULL 41342.8108 575.1358 15.959 0.015
OBS: 52676.35 C NULL 45582.6952 890.229 15.853 0.021
OBS: 52676.35 D NULL 38194.4271 1070.0665 16.045 0.03
OBS: 52677.36 A NULL 38335.4001 748.6895 16.041 0.021
OBS: 52678.38 A NULL 37153.5229 343.7773 16.075 0.01
OBS: 52678.38 B NULL 42072.6628 467.5835 15.94 0.012
OBS: 52678.38 C NULL 46816.614 520.3064 15.824 0.012
OBS: 52678.38 D NULL 33915.6387 440.1561 16.174 0.014
OBS: 52679.4 A NULL 36408.2664 336.8815 16.097 0.01
OBS: 52679.4 B NULL 42894.341 436.7875 15.919 0.011
OBS: 52679.4 C NULL 48305.8802 762.3055 15.79 0.017
OBS: 52679.4 D NULL 33884.4156 629.9583 16.175 0.02
OBS: 52680.35 A NULL 35908.7262 399.0792 16.112 0.012
OBS: 52680.35 B NULL 43171.7844 399.4636 15.912 0.01
OBS: 52680.35 C NULL 48842.7378 588.3309 15.778 0.013
OBS: 52680.35 D NULL 33174.165 461.4986 16.198 0.015
OBS: 52682.33 A NULL 34135.0073 347.5924 16.167 0.011
OBS: 52682.33 B NULL 44258.8372 1072.6534 15.885 0.026
OBS: 52682.33 C NULL 49113.4 454.4407 15.772 0.01
OBS: 52682.33 D NULL 32598.6789 697.9296 16.217 0.023
OBS: 52691.34 A NULL 17996.9952 300.8522 16.862 0.018
OBS: 52691.34 B NULL 32478.8019 482.1693 16.221 0.016
OBS: 52691.34 C NULL 32359.3657 1152.6075 16.225 0.038
OBS: 52691.34 D NULL 21242.2248 615.2507 16.682 0.031
OBS: 52692.31 A NULL 16534.8401 307.4056 16.954 0.02
OBS: 52692.31 B NULL 30338.9118 535.5929 16.295 0.019
OBS: 52692.31 C NULL 31304.0119 640.7753 16.261 0.022
OBS: 52692.31 D NULL 20342.2974 493.0142 16.729 0.026
OBS: 52693.33 A NULL 15191.477 268.1852 17.046 0.019
OBS: 52693.33 B NULL 28734.2589 588.174 16.354 0.022
OBS: 52693.33 C NULL 29349.4522 298.8617 16.331 0.011
OBS: 52693.33 D NULL 20118.704 374.0346 16.741 0.02
OBS: 52698.3 A NULL 8495.7163 318.8308 17.677 0.04
OBS: 52698.3 B NULL 20720.489 1116.8643 16.709 0.057
OBS: 52698.3 C NULL 26085.5501 558.4852 16.459 0.023
OBS: 52698.3 D NULL 22366.6015 626.6294 16.626 0.03
OBS: 52700.31 A NULL 7318.128 218.8978 17.839 0.032
OBS: 52700.31 B NULL 20044.7203 222.7712 16.745 0.012
OBS: 52700.31 C NULL 26767.0186 397.3741 16.431 0.016
OBS: 52700.31 D NULL 24277.2785 542.62 16.537 0.024
OBS: 52702.34 A NULL 5937.4505 285.5524 18.066 0.051
OBS: 52702.34 B NULL 18080.0655 285.3179 16.857 0.017
OBS: 52702.34 C NULL 25989.6242 361.5517 16.463 0.015
OBS: 52704.28 A NULL 5286.8867 148.119 18.192 0.03
OBS: 52704.28 B NULL 17426.0919 438.7839 16.897 0.027
OBS: 52704.28 C NULL 26133.6458 584.1115 16.457 0.024
OBS: 52704.28 D NULL 27848.3841 465.5359 16.388 0.018
OBS: 52706.26 A NULL 4647.2924 187.7468 18.332 0.043
OBS: 52706.26 B NULL 14845.6768 289.9357 17.071 0.021
OBS: 52706.26 C NULL 24076.8685 402.4882 16.546 0.018
OBS: 52706.26 D NULL 27643.9437 565.8558 16.396 0.022
OBS: 52708.31 A NULL 3944.573 243.3626 18.51 0.065
OBS: 52708.31 B NULL 13219.0425 496.0897 17.197 0.04
OBS: 52708.31 C NULL 21958.365 824.0627 16.646 0.04
OBS: 52708.31 D NULL 24911.507 323.3008 16.509 0.014
OBS: 52711.27 A NULL 3101.7015 221.8315 18.771 0.075
OBS: 52711.27 B NULL 10854.2545 365.93 17.411 0.036
OBS: 52711.27 C NULL 17426.0919 804.4677 16.897 0.049
OBS: 52711.27 D NULL 21183.6114 1431.5661 16.685 0.071
OBS: 52717.36 A NULL 2441.1811 385.0001 19.031 0.159
OBS: 52717.36 B NULL 7987.3001 500.595 17.744 0.066
OBS: 52717.36 C NULL 12577.6643 800.607 17.251 0.067
OBS: 52717.36 D NULL 14441.0908 820.5068 17.101 0.06
OBS: 52720.23 A NULL 2412.1261 165.3818 19.044 0.072
OBS: 52720.23 B NULL 7053.4241 144.3796 17.879 0.022
OBS: 52720.23 C NULL 10884.2874 274.0631 17.408 0.027
OBS: 52720.23 D NULL 13219.0425 407.9494 17.197 0.033
OBS: 52723.23 A NULL 2918.7708 123.5149 18.837 0.045
OBS: 52723.23 B NULL 6637.4307 192.2437 17.945 0.031
OBS: 52723.23 C NULL 10232.9299 199.8489 17.475 0.021
OBS: 52723.23 D NULL 11271.9746 552.9941 17.37 0.052
OBS: 52726.25 A NULL 2390.0116 163.8656 19.054 0.072
OBS: 52726.25 B NULL 7105.5876 501.1774 17.871 0.074
OBS: 52726.25 C NULL 8953.6477 116.2002 17.62 0.014
OBS: 52726.25 D NULL 9963.2264 316.9366 17.504 0.034
OBS: 52729.22 A NULL 2242.8488 107.8663 19.123 0.051
OBS: 52729.22 B NULL 5775.6385 156.3459 18.096 0.029
OBS: 52729.22 C NULL 8016.7806 179.1826 17.74 0.024
OBS: 52729.22 D NULL 8590.1352 421.4252 17.665 0.052
OBS: 52749.19 A NULL 1851.8252 171.1939 19.331 0.096
OBS: 52749.19 B NULL 3600.8083 322.0263 18.609 0.093
OBS: 52749.19 C NULL 4058.8219 179.5591 18.479 0.047
OBS: 52749.19 D NULL 3451.4374 353.9599 18.655 0.106
END:
