SURVEY: KAITM
SNID: 2003cq 
IAUC: 2003cq
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   179.059040
DECL:    60.521970 
RA_HOST:   179.043000
DEC_HOST:    60.522530
SEARCH_PEAKMJD:    52743.3
REDSHIFT_HELIO: 0.033194 +- 1.6e-05 
REDSHIFT_CMB: 0.0336697 +- 1.6e-05 
VPEC: -159.4157 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 56
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 52738.31 A NULL 13816.5623 651.1545 17.149 0.05
OBS: 52738.31 B NULL 14112.3715 235.9137 17.126 0.018
OBS: 52738.31 C NULL 17815.5814 431.7769 16.873 0.026
OBS: 52738.31 D NULL 12659.0175 378.653 17.244 0.032
OBS: 52739.31 A NULL 13182.5674 507.3239 17.2 0.041
OBS: 52739.31 B NULL 14321.879 306.6279 17.11 0.023
OBS: 52739.31 C NULL 17442.1493 422.7264 16.896 0.026
OBS: 52739.31 D NULL 12799.7062 517.0976 17.232 0.043
OBS: 52743.3 A NULL 11502.7055 788.6563 17.348 0.072
OBS: 52743.3 B NULL 13880.3367 375.7393 17.144 0.029
OBS: 52743.3 C NULL 17914.3065 467.9999 16.867 0.028
OBS: 52743.3 D NULL 11365.7997 546.6203 17.361 0.051
OBS: 52748.3 A NULL 7264.4042 272.6216 17.847 0.04
OBS: 52748.3 B NULL 11523.9138 355.6365 17.346 0.033
OBS: 52748.3 C NULL 13146.1929 256.7449 17.203 0.021
OBS: 52748.3 D NULL 8511.3804 450.5177 17.675 0.056
OBS: 52749.28 A NULL 6861.1988 310.1361 17.909 0.048
OBS: 52749.28 B NULL 10944.6027 265.2525 17.402 0.026
OBS: 52749.28 C NULL 12416.5231 277.5209 17.265 0.024
OBS: 52749.28 D NULL 8053.7844 418.4897 17.735 0.055
OBS: 52755.32 A NULL 2934.9452 259.5335 18.831 0.092
OBS: 52755.32 B NULL 7461.0509 511.5496 17.818 0.072
OBS: 52755.32 C NULL 9781.377 442.1323 17.524 0.048
OBS: 52755.32 D NULL 8256.5763 888.7667 17.708 0.111
OBS: 52769.27 A NULL 497.5079 195.5986 20.758 0.36
OBS: 52769.27 B NULL 2940.3566 260.012 18.829 0.092
OBS: 52769.27 C NULL 6086.9537 363.6446 18.039 0.063
OBS: 52769.27 D NULL 7413.1024 515.5613 17.825 0.073
OBS: 52770.17 B NULL 2826.1812 244.2545 18.872 0.09
OBS: 52770.17 C NULL 5701.6427 296.268 18.11 0.055
OBS: 52770.17 D NULL 7131.8139 391.341 17.867 0.058
OBS: 52772.22 B NULL 2649.7201 258.3174 18.942 0.101
OBS: 52772.22 C NULL 5035.0061 330.3679 18.245 0.069
OBS: 52772.22 D NULL 6171.6317 502.5804 18.024 0.085
OBS: 52776.19 C NULL 4826.1409 807.6406 18.291 0.168
OBS: 52776.19 D NULL 4857.3567 473.5367 18.284 0.101
OBS: 52780.2 B NULL 1527.5661 244.174 19.54 0.161
OBS: 52780.2 C NULL 3522.0864 238.0189 18.633 0.071
OBS: 52780.2 D NULL 3531.8317 515.7908 18.63 0.148
OBS: 52784.22 B NULL 1206.7019 238.7379 19.796 0.196
OBS: 52784.22 C NULL 3746.278 558.9881 18.566 0.151
OBS: 52784.22 D NULL 3722.2025 458.0258 18.573 0.126
OBS: 52788.21 B NULL 1319.4715 498.5542 19.699 0.348
OBS: 52788.21 C NULL 2173.702 399.0623 19.157 0.183
OBS: 52788.21 D NULL 2240.784 889.6172 19.124 0.363
OBS: 52791.29 I NULL 618.3011 55.9164 20.522 0.094
OBS: 52791.29 J NULL 1444.1091 96.1721 19.601 0.07
OBS: 52791.29 K NULL 2589.4051 87.2967 18.967 0.036
OBS: 52791.29 L NULL 2948.4923 490.2529 18.826 0.167
OBS: 52792.21 B NULL 1234.8096 154.5031 19.771 0.128
OBS: 52792.21 C NULL 2292.9786 218.9078 19.099 0.099
OBS: 52792.21 D NULL 2147.8305 371.0062 19.17 0.173
OBS: 52816.21 I NULL 464.3014 65.362 20.833 0.143
OBS: 52816.21 J NULL 859.8051 58.1047 20.164 0.071
OBS: 52816.21 K NULL 1261.2466 116.5973 19.748 0.096
OBS: 52816.21 L NULL 1194.5381 185.8462 19.807 0.157
END:
