SURVEY: KAITM
SNID: 2003hv 
IAUC: 2003hv
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:    46.038830
DECL:   -26.085420 
RA_HOST:    46.033250
DEC_HOST:   -26.069640
SEARCH_PEAKMJD:    52892.47
REDSHIFT_HELIO: 0.0055 +- 0.00015 
REDSHIFT_CMB: 0.004984 +- 0.00015 
VPEC: -174.465 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 165
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 52892.47 A NULL 979941.1611 9067.2839 12.522 0.01
OBS: 52892.47 B NULL 945366.046 8747.3643 12.561 0.01
OBS: 52892.47 C NULL 1006468.0664 9312.7344 12.493 0.01
OBS: 52892.47 D NULL 739264.7527 17916.7571 12.828 0.026
OBS: 52893.41 A NULL 901156.0443 8338.2942 12.613 0.01
OBS: 52893.41 B NULL 907820.5302 8399.9599 12.605 0.01
OBS: 52893.41 C NULL 994489.0372 9201.8938 12.506 0.01
OBS: 52893.41 D NULL 718455.7088 15381.9585 12.859 0.023
OBS: 52896.52 A NULL 798730.0061 8876.8552 12.744 0.012
OBS: 52896.52 B NULL 862978.5478 10394.9314 12.66 0.013
OBS: 52896.52 C NULL 844889.6695 18088.8783 12.683 0.023
OBS: 52896.52 D NULL 604783.5919 12948.2667 13.046 0.023
OBS: 52897.51 A NULL 707945.7844 6550.5417 12.875 0.01
OBS: 52897.51 B NULL 794328.2347 9568.0101 12.75 0.013
OBS: 52897.51 C NULL 754397.0822 6980.3503 12.806 0.01
OBS: 52897.51 D NULL 534564.3594 10440.0299 13.18 0.021
OBS: 52898.52 A NULL 647440.7046 5990.6951 12.972 0.01
OBS: 52898.52 B NULL 753702.5767 8376.4333 12.807 0.012
OBS: 52898.52 C NULL 691830.9709 6401.4332 12.9 0.01
OBS: 52898.52 D NULL 494766.1737 10592.8211 13.264 0.023
OBS: 52899.52 A NULL 587218.866 5433.4693 13.078 0.01
OBS: 52899.52 B NULL 715154.7047 6617.245 12.864 0.01
OBS: 52899.52 C NULL 632703.1549 5854.3302 12.997 0.01
OBS: 52899.52 D NULL 483503.9206 11262.2531 13.289 0.025
OBS: 52901.44 A NULL 443404.4016 4102.7704 13.383 0.01
OBS: 52901.44 B NULL 600343.7587 5554.9124 13.054 0.01
OBS: 52901.44 C NULL 569114.9576 5265.9559 13.112 0.01
OBS: 52901.44 D NULL 465586.0935 8655.8917 13.33 0.02
OBS: 52902.48 A NULL 404017.3354 3738.3264 13.484 0.01
OBS: 52902.48 B NULL 564416.8882 7324.9847 13.121 0.014
OBS: 52902.48 C NULL 542500.3216 5019.6937 13.164 0.01
OBS: 52902.48 D NULL 468597.5353 9151.6994 13.323 0.021
OBS: 52903.46 A NULL 352208.6356 3258.9464 13.633 0.01
OBS: 52903.46 B NULL 549540.8739 5084.8391 13.15 0.01
OBS: 52903.46 C NULL 531618.3951 4919.0044 13.186 0.01
OBS: 52903.46 D NULL 471194.2694 8318.3047 13.317 0.019
OBS: 52904.49 A NULL 314195.5285 2907.2154 13.757 0.01
OBS: 52904.49 B NULL 494766.1737 4578.015 13.264 0.01
OBS: 52904.49 C NULL 510035.024 4719.296 13.231 0.01
OBS: 52904.49 D NULL 488877.4439 9088.9103 13.277 0.02
OBS: 52906.48 A NULL 237028.1899 2193.1948 14.063 0.01
OBS: 52906.48 B NULL 453732.6169 4198.3362 13.358 0.01
OBS: 52906.48 C NULL 510035.024 4719.296 13.231 0.01
OBS: 52906.48 D NULL 515703.4063 8620.9109 13.219 0.018
OBS: 52910.47 A NULL 149416.9957 1382.5384 14.564 0.01
OBS: 52910.47 B NULL 348658.2934 3226.0955 13.644 0.01
OBS: 52910.47 C NULL 446272.3708 4129.3074 13.376 0.01
OBS: 52910.47 D NULL 556160.3196 10861.7986 13.137 0.021
OBS: 52912.47 A NULL 124508.7864 1383.7548 14.762 0.012
OBS: 52912.47 B NULL 289467.6264 3756.7018 13.846 0.014
OBS: 52912.47 C NULL 398841.1869 3690.4321 13.498 0.01
OBS: 52912.47 D NULL 531618.3951 11381.818 13.186 0.023
OBS: 52914.46 A NULL 103466.5576 1053.5866 14.963 0.011
OBS: 52914.46 B NULL 246150.0906 2277.5987 14.022 0.01
OBS: 52914.46 C NULL 341979.4425 3164.2968 13.665 0.01
OBS: 52914.46 D NULL 475554.1763 10181.497 13.307 0.023
OBS: 52916.46 A NULL 91117.1233 843.0964 15.101 0.01
OBS: 52916.46 B NULL 213796.209 1978.232 14.175 0.01
OBS: 52916.46 C NULL 285233.1512 2639.2299 13.862 0.01
OBS: 52916.46 D NULL 393731.3537 8059.4571 13.512 0.022
OBS: 52919.42 A NULL 76771.4954 853.2163 15.287 0.012
OBS: 52919.42 B NULL 169980.8513 1730.893 14.424 0.011
OBS: 52919.42 C NULL 230993.628 2137.3577 14.091 0.01
OBS: 52919.42 D NULL 320922.3768 7172.9163 13.734 0.024
OBS: 52921.4 A NULL 69566.4754 902.8315 15.394 0.014
OBS: 52921.4 B NULL 156602.9721 1594.6678 14.513 0.011
OBS: 52921.4 C NULL 207586.927 1920.7782 14.207 0.01
OBS: 52921.4 D NULL 272144.7746 6595.6774 13.913 0.026
OBS: 52925.43 A NULL 58290.7979 1138.418 15.586 0.021
OBS: 52925.43 B NULL 132922.9588 2720.8575 14.691 0.022
OBS: 52925.43 C NULL 172504.3297 3207.0949 14.408 0.02
OBS: 52925.43 D NULL 220191.2211 6377.5244 14.143 0.031
OBS: 52928.42 A NULL 55924.2283 987.2675 15.631 0.019
OBS: 52928.42 B NULL 122461.6199 1133.1234 14.78 0.01
OBS: 52928.42 C NULL 151774.9156 1404.356 14.547 0.01
OBS: 52928.42 D NULL 183147.0805 3233.2168 14.343 0.019
OBS: 52930.42 A NULL 54250.0322 501.9694 15.664 0.01
OBS: 52930.42 B NULL 116198.3604 1183.2329 14.837 0.011
OBS: 52930.42 C NULL 143879.8578 1331.3039 14.605 0.01
OBS: 52930.42 D NULL 169355.7709 4104.4919 14.428 0.026
OBS: 52932.37 A NULL 53112.8982 491.4476 15.687 0.01
OBS: 52932.37 B NULL 109647.8196 1014.5588 14.9 0.01
OBS: 52932.37 C NULL 133905.9886 1239.0169 14.683 0.01
OBS: 52932.37 D NULL 149142.0128 3193.0935 14.566 0.023
OBS: 52934.41 A NULL 49842.5209 507.5399 15.756 0.011
OBS: 52934.41 B NULL 105196.1874 973.3683 14.945 0.01
OBS: 52934.41 C NULL 124508.7864 1152.0656 14.762 0.01
OBS: 52934.41 D NULL 140734.3138 2352.6274 14.629 0.018
OBS: 52936.4 A NULL 48039.6683 578.6576 15.796 0.013
OBS: 52936.4 B NULL 95940.0632 1066.2502 15.045 0.012
