SURVEY: KAITM
SNID: 2004E 
IAUC: 2004E
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   199.214170
DECL:    31.586610 
RA_HOST:   199.213170
DEC_HOST:    31.581220
SEARCH_PEAKMJD:    53023.49
REDSHIFT_HELIO: 0.029834 +- 6.7e-05 
REDSHIFT_CMB: 0.0306703 +- 6.7e-05 
VPEC: -256.7412 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 68
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 53023.49 A NULL 23056.8514 256.2472 16.593 0.012
OBS: 53023.49 B NULL 25822.6019 238.9336 16.47 0.01
OBS: 53023.49 C NULL 24911.507 300.0693 16.509 0.013
OBS: 53023.49 D NULL 14099.3795 341.7114 17.127 0.026
OBS: 53025.54 A NULL 20587.3288 228.8016 16.716 0.012
OBS: 53025.54 B NULL 23442.2882 216.9088 16.575 0.01
OBS: 53025.54 C NULL 21677.041 321.81 16.66 0.016
OBS: 53025.54 D NULL 11857.6875 399.7588 17.315 0.036
OBS: 53026.49 A NULL 19177.8536 248.8896 16.793 0.014
OBS: 53026.49 B NULL 21897.7756 263.7677 16.649 0.013
OBS: 53026.49 C NULL 20323.5701 282.729 16.73 0.015
OBS: 53026.49 D NULL 11587.7736 423.8026 17.34 0.039
OBS: 53029.49 A NULL 14190.5752 210.6685 17.12 0.016
OBS: 53029.49 B NULL 18264.1725 442.6489 16.846 0.026
OBS: 53032.49 A NULL 10157.808 188.8478 17.483 0.02
OBS: 53032.49 B NULL 15674.7275 218.0572 17.012 0.015
OBS: 53032.49 C NULL 14387.9858 200.1568 17.105 0.015
OBS: 53032.49 D NULL 9204.4957 310.3116 17.59 0.036
OBS: 53035.54 A NULL 7211.0748 202.0276 17.855 0.03
OBS: 53035.54 B NULL 13639.5487 292.0194 17.163 0.023
OBS: 53035.54 C NULL 13664.6968 369.9019 17.161 0.029
OBS: 53035.54 D NULL 9772.3722 507.7908 17.525 0.055
OBS: 53040.49 A NULL 5039.6456 291.2478 18.244 0.061
OBS: 53040.49 B NULL 10984.9985 464.8569 17.398 0.045
OBS: 53040.49 C NULL 13689.8913 344.7074 17.159 0.027
OBS: 53040.49 D NULL 11015.3931 615.1501 17.395 0.059
OBS: 53043.46 A NULL 3209.2238 319.3565 18.734 0.103
OBS: 53043.46 B NULL 8937.1696 258.8524 17.622 0.031
OBS: 53043.46 C NULL 12033.7227 371.3696 17.299 0.033
OBS: 53043.46 D NULL 11684.2274 494.4465 17.331 0.045
OBS: 53046.49 A NULL 2627.8465 272.1668 18.951 0.107
OBS: 53046.49 B NULL 6552.3939 346.8262 17.959 0.056
OBS: 53046.49 C NULL 8904.3044 479.9549 17.626 0.057
OBS: 53046.49 D NULL 9471.0908 1019.5013 17.559 0.111
OBS: 53049.48 A NULL 2261.5177 159.5113 19.114 0.074
OBS: 53049.48 B NULL 6183.0107 179.0821 18.022 0.031
OBS: 53049.48 C NULL 6867.5211 781.3968 17.908 0.117
OBS: 53064.44 A NULL 1958.8447 109.3909 19.27 0.059
OBS: 53064.44 B NULL 3577.6677 158.2732 18.616 0.047
OBS: 53064.44 C NULL 4929.4674 156.8095 18.268 0.034
OBS: 53064.44 D NULL 4664.4453 287.7755 18.328 0.065
OBS: 53068.44 A NULL 1882.7818 437.8166 19.313 0.227
OBS: 53068.44 B NULL 2826.1812 272.6649 18.872 0.1
OBS: 53068.44 C NULL 3584.2641 444.7613 18.614 0.127
OBS: 53068.44 D NULL 4499.8703 493.5715 18.367 0.113
OBS: 53075.45 A NULL 1510.7757 247.9576 19.552 0.165
OBS: 53075.45 B NULL 2565.6653 193.6416 18.977 0.079
OBS: 53075.45 C NULL 3525.3318 259.094 18.632 0.077
OBS: 53075.45 D NULL 2876.0736 262.9891 18.853 0.095
OBS: 53078.4 A NULL 1452.1116 135.7037 19.595 0.097
OBS: 53078.4 B NULL 2613.3646 138.3286 18.957 0.056
OBS: 53078.4 C NULL 3311.3112 152.8652 18.7 0.049
OBS: 53078.4 D NULL 2671.7757 228.2376 18.933 0.089
OBS: 53080.37 I NULL 1494.17 200.9483 19.564 0.137
OBS: 53080.37 J NULL 2372.466 64.2224 19.062 0.029
OBS: 53080.37 K NULL 3518.8439 85.2824 18.634 0.026
OBS: 53080.37 L NULL 3110.2837 464.0904 18.768 0.151
OBS: 53081.46 I NULL 1477.7467 218.9335 19.576 0.15
OBS: 53081.46 J NULL 2201.9122 67.9526 19.143 0.033
OBS: 53081.46 K NULL 3382.2056 94.7569 18.677 0.03
OBS: 53081.46 L NULL 2918.7708 444.7955 18.837 0.154
OBS: 53087.39 A NULL 1158.7774 60.2122 19.84 0.055
OBS: 53087.39 B NULL 2108.6281 134.2207 19.19 0.067
OBS: 53087.39 C NULL 2348.551 149.4925 19.073 0.067
OBS: 53092.4 A NULL 945.366 137.0644 20.061 0.147
OBS: 53092.4 B NULL 1770.109 130.094 19.38 0.077
OBS: 53096.36 A NULL 966.4959 207.3201 20.037 0.211
OBS: 53096.36 D NULL 1258.9254 355.4331 19.75 0.27
END:
