SURVEY: KAITM
SNID: 2004as 
IAUC: 2004as
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   171.413250
DECL:    22.830390 
RA_HOST:   171.411750
DEC_HOST:    22.831170
SEARCH_PEAKMJD:    53086.32
REDSHIFT_HELIO: 0.031394 +- 1.5e-05 
REDSHIFT_CMB: 0.0324961 +- 1.5e-05 
VPEC: -136.0736 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 91
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 53078.33 A NULL 11261.5975 188.2579 17.371 0.018
OBS: 53078.33 B NULL 11355.3363 232.4373 17.362 0.022
OBS: 53078.33 C NULL 13601.9132 355.3413 17.166 0.028
OBS: 53078.33 D NULL 11857.6875 388.4745 17.315 0.035
OBS: 53079.32 A NULL 12858.7869 251.1318 17.227 0.021
OBS: 53079.32 B NULL 12647.3635 294.5949 17.245 0.025
OBS: 53079.32 C NULL 14467.7168 282.5542 17.099 0.021
OBS: 53079.32 D NULL 12246.162 401.2015 17.28 0.035
OBS: 53080.3 A NULL 14308.6941 266.0185 17.111 0.02
OBS: 53080.3 I NULL 14229.8394 171.4043 17.117 0.013
OBS: 53080.3 B NULL 13931.568 324.5079 17.14 0.025
OBS: 53080.3 J NULL 13829.2937 179.4761 17.148 0.014
OBS: 53080.3 C NULL 16054.6189 283.4228 16.986 0.019
OBS: 53080.3 K NULL 16795.7731 155.4094 16.937 0.01
OBS: 53080.3 D NULL 13316.8038 335.3132 17.189 0.027
OBS: 53080.3 L NULL 13539.4181 239.0203 17.171 0.019
OBS: 53081.32 A NULL 14521.1162 242.7466 17.095 0.018
OBS: 53081.32 B NULL 14561.295 270.7147 17.092 0.02
OBS: 53081.32 C NULL 17202.8341 303.693 16.911 0.019
OBS: 53081.32 D NULL 13576.8806 367.5247 17.168 0.029
OBS: 53081.38 I NULL 15066.0707 153.4158 17.055 0.011
OBS: 53081.38 J NULL 14859.3564 206.7142 17.07 0.015
OBS: 53081.38 K NULL 17701.0896 180.2479 16.88 0.011
OBS: 53081.38 L NULL 14060.4752 235.0462 17.13 0.018
OBS: 53083.29 A NULL 16010.3195 327.7221 16.989 0.022
OBS: 53083.29 B NULL 16128.7236 360.4921 16.981 0.024
OBS: 53083.29 C NULL 18348.4761 238.1259 16.841 0.014
OBS: 53083.29 D NULL 14269.2123 494.6505 17.114 0.037
OBS: 53084.3 A NULL 15602.7087 260.8274 17.017 0.018
OBS: 53084.3 B NULL 16951.1825 235.8144 16.927 0.015
OBS: 53084.3 C NULL 19570.4134 308.8368 16.771 0.017
OBS: 53084.3 D NULL 13365.9552 273.5935 17.185 0.022
OBS: 53085.28 A NULL 15848.9319 324.4186 17.0 0.022
OBS: 53085.28 B NULL 17298.1636 289.1699 16.905 0.018
OBS: 53085.28 C NULL 19606.4967 364.512 16.769 0.02
OBS: 53085.28 D NULL 12729.1675 465.5471 17.238 0.039
OBS: 53086.32 A NULL 15431.2107 476.2186 17.029 0.033
OBS: 53086.32 B NULL 16935.5771 896.4206 16.928 0.056
OBS: 53086.32 C NULL 21183.6114 1556.8882 16.685 0.077
OBS: 53087.32 A NULL 15038.3435 293.6985 17.057 0.021
OBS: 53087.32 B NULL 17996.9952 334.5891 16.862 0.02
OBS: 53087.32 C NULL 19426.7432 234.0031 16.779 0.013
OBS: 53087.32 D NULL 11978.4328 449.5316 17.304 0.04
OBS: 53090.4 A NULL 13526.9536 914.1373 17.172 0.071
OBS: 53090.4 B NULL 15107.7573 653.8317 17.052 0.046
OBS: 53090.4 C NULL 17701.0896 462.4297 16.88 0.028
OBS: 53090.4 D NULL 13170.4314 1979.1279 17.201 0.152
OBS: 53092.29 A NULL 12145.0694 237.1929 17.289 0.021
OBS: 53092.29 B NULL 15488.1662 302.4835 17.025 0.021
OBS: 53092.29 C NULL 17996.9952 351.4809 16.862 0.021
OBS: 53092.29 D NULL 10725.0667 484.7885 17.424 0.048
OBS: 53093.29 A NULL 10725.0667 290.3264 17.424 0.029
OBS: 53093.29 B NULL 14574.7126 284.6438 17.091 0.021
OBS: 53093.29 C NULL 16292.9603 364.163 16.97 0.024
OBS: 53093.29 D NULL 9375.6201 432.8213 17.57 0.049
OBS: 53094.29 A NULL 9272.5674 356.8497 17.582 0.041
OBS: 53094.29 B NULL 14216.7393 357.9733 17.118 0.027
OBS: 53094.29 C NULL 16873.2989 472.7274 16.932 0.03
OBS: 53094.29 D NULL 9221.4667 443.492 17.588 0.051
OBS: 53095.27 A NULL 8863.3929 265.1193 17.631 0.032
OBS: 53095.27 B NULL 13715.1323 319.4665 17.157 0.025
OBS: 53095.27 C NULL 14177.5112 491.4716 17.121 0.037
OBS: 53095.27 D NULL 8887.9172 1102.8767 17.628 0.127
OBS: 53101.37 B NULL 9691.7008 1202.616 17.534 0.127
OBS: 53101.37 C NULL 11015.3931 766.091 17.395 0.073
OBS: 53101.37 D NULL 7331.6209 1016.7166 17.837 0.141
OBS: 53103.22 A NULL 3840.6082 214.4772 18.539 0.059
OBS: 53103.22 B NULL 8135.7951 243.3556 17.724 0.032
OBS: 53103.22 C NULL 10083.2376 320.7542 17.491 0.034
OBS: 53103.22 D NULL 8340.652 457.673 17.697 0.058
OBS: 53107.26 A NULL 2145.8532 408.024 19.171 0.189
OBS: 53107.26 B NULL 6842.2667 362.1695 17.912 0.056
OBS: 53107.26 C NULL 9162.2049 387.721 17.595 0.045
OBS: 53107.26 D NULL 9567.5337 779.1221 17.548 0.085
OBS: 53109.3 A NULL 2197.8599 220.9404 19.145 0.104
OBS: 53109.3 B NULL 5866.7827 396.471 18.079 0.071
OBS: 53109.3 C NULL 9044.8215 391.4407 17.609 0.046
OBS: 53109.3 D NULL 9264.031 671.704 17.583 0.076
OBS: 53111.27 A NULL 2132.0628 110.786 19.178 0.055
OBS: 53111.27 B NULL 5395.1062 187.0245 18.17 0.037
OBS: 53111.27 C NULL 9153.7701 187.3725 17.596 0.022
OBS: 53111.27 D NULL 8661.6374 366.5382 17.656 0.045
OBS: 53116.26 D NULL 8053.7844 576.0011 17.735 0.075
OBS: 53119.26 A NULL 1074.4841 108.0128 19.922 0.104
OBS: 53119.26 B NULL 3256.8668 197.7509 18.718 0.064
OBS: 53119.26 C NULL 5904.7294 244.207 18.072 0.044
OBS: 53119.26 D NULL 6748.3873 529.4107 17.927 0.082
OBS: 53123.24 A NULL 989.0084 157.0321 20.012 0.16
OBS: 53123.24 B NULL 2713.9385 384.9076 18.916 0.144
OBS: 53123.24 C NULL 5119.1753 295.8439 18.227 0.061
OBS: 53123.24 D NULL 4673.0454 667.6769 18.326 0.145
END:
