SURVEY: KAITM
SNID: 2004bv 
IAUC: 2004bv
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   306.276420
DECL:   -24.814920 
RA_HOST:   306.277620
DEC_HOST:   -24.809170
SEARCH_PEAKMJD:    53164.46
REDSHIFT_HELIO: 0.010691 +- 0.00015 
REDSHIFT_CMB: 0.0099142 +- 0.00015 
VPEC: -90.7583 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 130
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 53151.45 A NULL 137530.8097 1272.5569 14.654 0.01
OBS: 53151.45 B NULL 149279.441 1381.2657 14.565 0.01
OBS: 53151.45 C NULL 163530.9652 1513.1334 14.466 0.01
OBS: 53151.45 D NULL 157036.2804 1453.0388 14.51 0.01
OBS: 53152.47 A NULL 154028.1148 1425.2046 14.531 0.01
OBS: 53152.47 B NULL 165196.1798 1528.5414 14.455 0.01
OBS: 53152.47 C NULL 182473.5831 1688.4073 14.347 0.01
OBS: 53152.47 D NULL 172822.3873 1599.1059 14.406 0.01
OBS: 53154.46 A NULL 184501.5419 1707.1717 14.335 0.01
OBS: 53154.46 B NULL 201187.0395 2048.6616 14.241 0.011
OBS: 53154.46 C NULL 215973.2681 1998.376 14.164 0.01
OBS: 53154.46 D NULL 206442.9232 1910.1928 14.213 0.01
OBS: 53155.46 A NULL 198792.5021 1839.4044 14.254 0.01
OBS: 53155.46 B NULL 213599.386 1976.4108 14.176 0.01
OBS: 53155.46 C NULL 231206.479 2139.3272 14.09 0.01
OBS: 53155.46 D NULL 209893.9884 1942.1252 14.195 0.01
OBS: 53157.42 A NULL 211836.1135 3739.6833 14.185 0.019
OBS: 53157.42 B NULL 226360.164 3996.086 14.113 0.019
OBS: 53157.42 C NULL 242772.7848 3377.3059 14.037 0.015
OBS: 53157.42 D NULL 216570.8495 2003.9054 14.161 0.01
OBS: 53158.43 A NULL 216770.4105 5458.215 14.16 0.027
OBS: 53158.43 B NULL 234207.0695 3039.532 14.076 0.014
OBS: 53158.43 C NULL 239441.8173 2215.5279 14.052 0.01
OBS: 53158.43 D NULL 213993.2132 3777.764 14.174 0.019
OBS: 53159.42 A NULL 217770.9772 5895.0377 14.155 0.029
OBS: 53159.42 B NULL 239883.2919 5361.6167 14.05 0.024
OBS: 53159.42 C NULL 251188.6432 3963.9579 14.0 0.017
OBS: 53159.42 D NULL 213993.2132 2777.1972 14.174 0.014
OBS: 53164.46 A NULL 195164.13 1805.8315 14.274 0.01
OBS: 53164.46 B NULL 247286.2678 2288.1117 14.017 0.01
OBS: 53164.46 C NULL 263026.7992 2433.757 13.95 0.01
OBS: 53164.46 D NULL 196426.4646 1817.5117 14.267 0.01
OBS: 53166.47 A NULL 185523.9576 1716.632 14.329 0.01
OBS: 53166.47 B NULL 242996.4898 2248.4188 14.036 0.01
OBS: 53166.47 C NULL 250957.3964 2322.0802 14.001 0.01
OBS: 53166.47 D NULL 183992.449 3939.2327 14.338 0.023
OBS: 53169.46 A NULL 161287.2362 1492.3724 14.481 0.01
OBS: 53169.46 B NULL 213796.209 1978.232 14.175 0.01
OBS: 53169.46 C NULL 221615.4326 2050.5824 14.136 0.01
OBS: 53169.46 D NULL 162629.7521 1504.7946 14.472 0.01
