SURVEY: KAITM
SNID: 2005bl 
IAUC: 2005bl
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   181.051080
DECL:    20.406890 
RA_HOST:   181.047080
DEC_HOST:    20.409830
SEARCH_PEAKMJD:    53486.31
REDSHIFT_HELIO: 0.023917 +- 6e-06 
REDSHIFT_CMB: 0.0250078 +- 6e-06 
VPEC: -279.7702 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 31
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 53476.32 A NULL 2036.1042 198.4969 19.228 0.101
OBS: 53476.32 B NULL 3107.4203 302.9379 18.769 0.101
OBS: 53476.32 C NULL 3597.4934 314.517 18.61 0.091
OBS: 53476.32 D NULL 4698.9411 373.3013 18.32 0.083
OBS: 53477.29 A NULL 2089.2961 235.581 19.2 0.116
OBS: 53477.29 B NULL 3212.1809 220.2357 18.733 0.072
OBS: 53477.29 C NULL 4454.5106 274.8235 18.378 0.065
OBS: 53477.29 D NULL 5738.5213 359.6553 18.103 0.066
OBS: 53478.32 A NULL 3045.0891 324.6789 18.791 0.11
OBS: 53478.32 B NULL 4524.8064 341.5062 18.361 0.079
OBS: 53478.32 C NULL 5311.2898 464.3486 18.187 0.091
OBS: 53478.32 D NULL 6257.4876 416.7244 18.009 0.07
OBS: 53486.31 C NULL 8863.3929 890.9945 17.631 0.104
OBS: 53486.31 D NULL 12519.8752 2041.4198 17.256 0.164
OBS: 53490.26 B NULL 5355.4997 631.3727 18.178 0.121
OBS: 53490.26 C NULL 6835.9677 876.618 17.913 0.131
OBS: 53490.26 D NULL 11271.9746 1317.2796 17.37 0.12
OBS: 53492.29 B NULL 3311.3112 582.7251 18.7 0.176
OBS: 53492.29 C NULL 7461.0509 402.1614 17.818 0.057
OBS: 53492.29 D NULL 9170.6475 728.5503 17.594 0.083
OBS: 53501.29 B NULL 1531.7927 323.4469 19.537 0.208
OBS: 53501.29 C NULL 3124.6401 282.5785 18.763 0.094
OBS: 53501.29 D NULL 5415.0192 397.9765 18.166 0.077
OBS: 53504.22 C NULL 3076.0968 315.4671 18.78 0.106
OBS: 53504.22 D NULL 3372.8731 589.9073 18.68 0.175
OBS: 53515.19 C NULL 1422.9839 107.3986 19.617 0.079
OBS: 53515.19 D NULL 2642.4088 374.7628 18.945 0.144
OBS: 53524.27 I NULL 445.8615 151.1738 20.877 0.317
OBS: 53524.27 J NULL 1022.3509 203.3937 19.976 0.197
OBS: 53524.27 K NULL 978.1377 183.8459 20.024 0.187
OBS: 53524.27 L NULL 1394.4405 433.6597 19.639 0.294
END:
