SURVEY: KAITM
SNID: 2005cc 
IAUC: 2005cc
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   209.270210
DECL:    41.844940 
RA_HOST:   209.270720
DEC_HOST:    41.846260
SEARCH_PEAKMJD:    53523.31
REDSHIFT_HELIO: 0.00726 +- 5e-05 
REDSHIFT_CMB: 0.0078479 +- 5e-05 
VPEC: -175.1904 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 100
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 53518.29 A NULL 21301.0004 316.2275 16.679 0.016
OBS: 53518.29 B NULL 28183.8293 392.0761 16.375 0.015
OBS: 53518.29 C NULL 40068.2154 782.5313 15.993 0.021
OBS: 53518.29 D NULL 45164.7905 839.6761 15.863 0.02
OBS: 53520.29 A NULL 19534.3966 290.0011 16.773 0.016
OBS: 53520.29 B NULL 30199.5172 307.5178 16.3 0.011
OBS: 53520.29 C NULL 42033.9303 624.0216 15.941 0.016
OBS: 53520.29 D NULL 50164.9057 604.2569 15.749 0.013
OBS: 53521.3 A NULL 19002.03 264.3446 16.803 0.015
OBS: 53521.3 B NULL 30676.0898 369.5061 16.283 0.013
OBS: 53521.3 C NULL 42422.8655 511.0009 15.931 0.013
OBS: 53521.3 D NULL 51999.5997 917.9834 15.71 0.019
OBS: 53522.28 A NULL 17378.0083 306.7855 16.9 0.019
OBS: 53522.28 B NULL 30535.1459 424.7862 16.288 0.015
OBS: 53522.28 C NULL 42033.9303 545.515 15.941 0.014
OBS: 53522.28 D NULL 52480.746 730.0799 15.7 0.015
OBS: 53523.31 A NULL 15388.6315 257.2487 17.032 0.018
OBS: 53523.31 B NULL 29730.3485 889.2858 16.317 0.032
OBS: 53523.31 C NULL 43171.7844 560.2821 15.912 0.014
OBS: 53523.31 D NULL 54954.0874 559.5904 15.65 0.011
OBS: 53524.33 A NULL 13854.7917 218.6397 17.146 0.017
OBS: 53524.33 B NULL 28183.8293 365.7689 16.375 0.014
OBS: 53524.33 C NULL 41039.3052 1149.7694 15.967 0.03
OBS: 53524.33 D NULL 53161.8395 689.9327 15.686 0.014
OBS: 53524.34 I NULL 13982.9885 286.2238 17.136 0.022
OBS: 53524.34 J NULL 27089.4383 250.6555 16.418 0.01
OBS: 53524.34 K NULL 40142.0918 371.4302 15.991 0.01
OBS: 53524.34 L NULL 40142.0918 371.4302 15.991 0.01
OBS: 53525.27 I NULL 11978.4328 301.6134 17.304 0.027
OBS: 53525.27 J NULL 26181.8301 242.2575 16.455 0.01
OBS: 53525.27 K NULL 39445.7302 364.9868 16.01 0.01
OBS: 53525.27 L NULL 39445.7302 364.9868 16.01 0.01
OBS: 53526.28 A NULL 10587.6603 306.6565 17.438 0.031
OBS: 53526.28 B NULL 25894.0511 360.2221 16.467 0.015
