SURVEY: KAITM
SNID: 2006ej 
IAUC: 2006ej
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:     9.749040
DECL:    -9.015720 
RA_HOST:     9.751000
DEC_HOST:    -9.014580
SEARCH_PEAKMJD:    53975.43
REDSHIFT_HELIO: 0.02038 +- 6e-06 
REDSHIFT_CMB: 0.01926 +- 6e-06 
VPEC: -285.871 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 50
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 53972.36 A NULL 39920.8702 443.6691 15.997 0.012
OBS: 53972.36 B NULL 37774.6109 419.8161 16.057 0.012
OBS: 53972.36 C NULL 44791.9531 497.8049 15.872 0.012
OBS: 53972.36 D NULL 38618.9089 645.5846 16.033 0.018
OBS: 53974.42 B NULL 44218.0921 780.6113 15.886 0.019
OBS: 53974.42 C NULL 49113.4 729.121 15.772 0.016
OBS: 53974.42 D NULL 37914.0344 990.4801 16.053 0.028
OBS: 53975.43 A NULL 44177.3845 532.1348 15.887 0.013
OBS: 53975.43 B NULL 43531.1359 443.2719 15.903 0.011
OBS: 53975.43 C NULL 49522.208 550.3756 15.763 0.012
OBS: 53975.43 D NULL 35579.5131 561.4732 16.122 0.017
OBS: 53984.4 A NULL 28418.4247 661.9501 16.366 0.025
OBS: 53984.4 B NULL 34801.6632 581.7725 16.146 0.018
OBS: 53984.4 C NULL 35743.7406 765.2646 16.117 0.023
OBS: 53984.4 D NULL 22615.1775 762.4267 16.614 0.036
OBS: 53995.34 A NULL 7488.5891 528.1916 17.814 0.074
OBS: 53995.34 B NULL 19444.6442 452.9239 16.778 0.025
OBS: 53995.34 C NULL 25751.3499 575.5668 16.473 0.024
OBS: 53995.34 D NULL 25351.2863 782.3595 16.49 0.033
OBS: 53999.32 A NULL 5395.1062 380.5322 18.17 0.074
OBS: 53999.32 B NULL 14295.5214 441.1704 17.112 0.033
OBS: 53999.32 D NULL 25444.8562 857.8238 16.486 0.036
OBS: 54002.35 A NULL 3904.8108 131.6431 18.521 0.036
OBS: 54002.35 B NULL 10834.2786 201.4243 17.413 0.02
OBS: 54002.35 C NULL 16188.2536 300.9621 16.977 0.02
OBS: 54002.35 D NULL 20379.8039 455.5077 16.727 0.024
OBS: 54005.3 A NULL 3070.4357 207.4968 18.782 0.071
OBS: 54005.3 B NULL 8879.7349 190.1129 17.629 0.023
OBS: 54005.3 C NULL 12894.3662 336.8571 17.224 0.028
OBS: 54005.3 D NULL 16054.6189 480.2213 16.986 0.032
OBS: 54008.38 A NULL 2847.0822 164.5366 18.864 0.061
OBS: 54008.38 B NULL 7059.9236 197.7929 17.878 0.03
OBS: 54008.38 C NULL 10626.7387 378.5136 17.434 0.038
OBS: 54008.38 D NULL 12450.8786 360.6219 17.262 0.031
OBS: 54017.32 A NULL 2355.0493 424.664 19.07 0.18
OBS: 54017.32 B NULL 5243.2432 272.4487 18.201 0.055
OBS: 54017.32 C NULL 7748.1853 239.1147 17.777 0.033
OBS: 54017.32 D NULL 7627.8123 418.5577 17.794 0.058
OBS: 54020.27 A NULL 1789.7814 240.7046 19.368 0.137
OBS: 54020.27 B NULL 5090.9637 191.0558 18.233 0.04
OBS: 54020.27 C NULL 7040.4432 277.6848 17.881 0.042
OBS: 54020.27 D NULL 5981.3608 410.0981 18.058 0.072
OBS: 54025.35 A NULL 1907.2165 162.9248 19.299 0.089
OBS: 54025.35 B NULL 4168.6938 265.3502 18.45 0.067
OBS: 54025.35 C NULL 5953.8789 240.5318 18.063 0.043
OBS: 54025.35 D NULL 5786.2874 362.649 18.094 0.066
OBS: 54030.25 A NULL 1942.6743 150.474 19.279 0.081
OBS: 54030.25 B NULL 3805.3973 197.7356 18.549 0.055
OBS: 54030.25 C NULL 5025.7398 241.7051 18.247 0.051
OBS: 54030.25 D NULL 4409.6082 315.3721 18.389 0.075
END:
