SURVEY: KAITM
SNID: 2006en 
IAUC: 2006en
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   347.521080
DECL:    30.223330 
RA_HOST:   347.519540
DEC_HOST:    30.224330
SEARCH_PEAKMJD:    53974.33
REDSHIFT_HELIO: 0.031981 +- 1e-05 
REDSHIFT_CMB: 0.0308119 +- 1e-05 
VPEC: -236.1537 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 65
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 53974.33 A NULL 15445.4299 520.7126 17.028 0.036
OBS: 53974.33 B NULL 17298.1636 566.7122 16.905 0.035
OBS: 53974.33 C NULL 22222.8625 791.5556 16.633 0.038
OBS: 53974.33 D NULL 16703.2123 1161.6635 16.943 0.073
OBS: 53975.4 A NULL 15177.4916 211.1399 17.047 0.015
OBS: 53975.4 B NULL 17506.5271 276.267 16.892 0.017
OBS: 53975.4 C NULL 20436.1932 437.5338 16.724 0.023
OBS: 53975.4 D NULL 14736.6918 510.8559 17.079 0.037
OBS: 53978.28 A NULL 14203.6512 397.9337 17.119 0.03
OBS: 53978.28 B NULL 16718.6036 901.1569 16.942 0.057
OBS: 53978.28 C NULL 19606.4967 567.8742 16.769 0.031
OBS: 53978.28 D NULL 13931.568 859.5159 17.14 0.065
OBS: 53980.28 A NULL 12314.0241 450.364 17.274 0.039
OBS: 53980.28 B NULL 15332.042 371.5861 17.036 0.026
OBS: 53980.28 C NULL 18949.5979 566.8151 16.806 0.032
OBS: 53980.28 D NULL 11209.8551 636.916 17.376 0.06
OBS: 53982.28 A NULL 10774.5713 706.9649 17.419 0.069
OBS: 53982.28 B NULL 13489.6288 493.3597 17.175 0.039
OBS: 53982.28 C NULL 15502.4379 493.1424 17.024 0.034
OBS: 53982.28 D NULL 10251.797 612.4592 17.473 0.063
OBS: 53984.31 A NULL 8645.6968 324.4593 17.658 0.04
OBS: 53984.31 B NULL 11934.3838 654.8703 17.308 0.058
OBS: 53984.31 C NULL 12989.7263 537.2273 17.216 0.044
OBS: 53984.31 D NULL 9128.5122 716.1314 17.599 0.082
OBS: 53988.33 A NULL 5685.9102 457.3654 18.113 0.084
OBS: 53988.33 B NULL 9935.735 516.2794 17.507 0.055
OBS: 53988.33 C NULL 11376.2729 329.4975 17.36 0.031
OBS: 53988.33 D NULL 9196.022 486.7566 17.591 0.056
OBS: 53990.28 A NULL 4884.2738 306.1163 18.278 0.066
OBS: 53990.28 B NULL 8371.4367 459.3623 17.693 0.058
OBS: 53990.28 C NULL 10577.9132 580.4373 17.439 0.058
OBS: 53990.28 D NULL 9187.556 424.1394 17.592 0.049
OBS: 53992.26 A NULL 4203.393 482.5823 18.441 0.118
OBS: 53992.26 B NULL 7523.1548 680.3606 17.809 0.094
OBS: 53992.26 C NULL 10500.2587 404.0967 17.447 0.041
OBS: 53992.26 D NULL 9917.4496 660.4637 17.509 0.07
OBS: 53994.34 B NULL 7177.9429 366.0279 17.86 0.054
OBS: 53994.34 C NULL 10083.2376 397.6968 17.491 0.042
OBS: 53994.34 D NULL 11481.5362 821.1515 17.35 0.075
OBS: 53996.3 A NULL 2470.5861 366.0263 19.018 0.15
OBS: 53996.3 B NULL 6498.3036 312.5257 17.968 0.051
OBS: 53996.3 C NULL 10000.0 432.7788 17.5 0.046
OBS: 53996.3 D NULL 11598.4512 557.8093 17.339 0.051
OBS: 53998.27 A NULL 2676.7019 447.9382 18.931 0.168
OBS: 53998.27 B NULL 6075.7515 440.5325 18.041 0.076
OBS: 53998.27 C NULL 9410.2248 507.2247 17.566 0.057
OBS: 53998.27 D NULL 11566.4477 736.24 17.342 0.067
OBS: 54000.24 A NULL 2058.7329 311.549 19.216 0.153
OBS: 54000.24 B NULL 5072.2424 243.9416 18.237 0.051
OBS: 54000.24 C NULL 9298.2239 420.2931 17.579 0.048
OBS: 54000.24 D NULL 12033.7227 660.3213 17.299 0.058
OBS: 54003.29 A NULL 1717.1174 195.3762 19.413 0.117
OBS: 54003.29 B NULL 4242.2865 208.1232 18.431 0.052
OBS: 54003.29 C NULL 7698.3916 215.6804 17.784 0.03
OBS: 54003.29 D NULL 10480.9343 343.3701 17.449 0.035
OBS: 54006.24 A NULL 1495.5468 199.5715 19.563 0.136
OBS: 54006.24 B NULL 3538.3436 207.9344 18.628 0.062
OBS: 54006.24 C NULL 6367.9552 208.6232 17.99 0.035
OBS: 54006.24 D NULL 8749.8378 677.7373 17.645 0.081
OBS: 54017.2 B NULL 2598.9624 229.823 18.963 0.092
OBS: 54017.2 D NULL 5888.4366 532.524 18.075 0.094
OBS: 54022.23 B NULL 2205.972 223.9929 19.141 0.105
OBS: 54022.23 D NULL 4821.6979 653.5022 18.292 0.138
OBS: 54027.24 B NULL 1667.2472 227.7126 19.445 0.139
OBS: 54027.24 D NULL 2932.2433 285.8602 18.832 0.101
END:
