SURVEY: KAITM
SNID: 2006gr 
IAUC: 2006gr
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   338.094460
DECL:    30.828690 
RA_HOST:   338.102080
DEC_HOST:    30.835560
SEARCH_PEAKMJD:    54016.25
REDSHIFT_HELIO: 0.03467 +- 9e-06 
REDSHIFT_CMB: 0.0335188 +- 9e-06 
VPEC: -220.6368 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 72
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 54000.34 A NULL 4085.0747 353.0551 18.472 0.09
OBS: 54000.34 B NULL 4032.7379 292.4004 18.486 0.076
OBS: 54000.34 C NULL 4716.2846 346.623 18.316 0.077
OBS: 54000.34 D NULL 4861.8326 628.517 18.283 0.132
OBS: 54002.28 A NULL 5888.4366 153.8317 18.075 0.028
OBS: 54002.28 B NULL 6064.5698 192.9178 18.043 0.034
OBS: 54002.28 C NULL 7284.5042 197.1908 17.844 0.029
OBS: 54002.28 D NULL 7447.3197 372.5587 17.82 0.053
OBS: 54004.2 A NULL 8053.7844 164.8564 17.735 0.022
OBS: 54004.2 B NULL 8135.7951 204.8569 17.724 0.027
OBS: 54004.2 C NULL 10157.808 303.8375 17.483 0.032
OBS: 54004.2 D NULL 10529.3121 285.0274 17.444 0.029
OBS: 54006.22 A NULL 10129.7797 207.3508 17.486 0.022
OBS: 54006.22 B NULL 10375.2842 134.6501 17.46 0.014
OBS: 54006.22 C NULL 12508.3493 209.0996 17.257 0.018
OBS: 54006.22 D NULL 12542.9589 363.2889 17.254 0.031
OBS: 54008.29 A NULL 11770.6379 152.759 17.323 0.014
OBS: 54008.29 B NULL 12089.2679 134.3566 17.294 0.012
OBS: 54008.29 C NULL 14628.5069 271.9642 17.087 0.02
OBS: 54008.29 D NULL 12589.2541 508.5955 17.25 0.043
OBS: 54016.25 A NULL 11045.8718 456.8336 17.392 0.044
OBS: 54016.25 B NULL 14295.5214 441.1704 17.112 0.033
OBS: 54016.25 C NULL 18365.3834 324.2163 16.84 0.019
OBS: 54016.25 D NULL 11271.9746 498.6633 17.37 0.047
OBS: 54018.21 A NULL 10490.5921 254.2491 17.448 0.026
OBS: 54018.21 B NULL 13341.3568 160.7021 17.187 0.013
OBS: 54018.21 C NULL 16368.1652 350.4384 16.965 0.023
OBS: 54018.21 D NULL 9745.4074 754.8513 17.528 0.081
OBS: 54020.23 A NULL 9541.1341 258.2775 17.551 0.029
OBS: 54020.23 B NULL 12740.8969 236.871 17.237 0.02
OBS: 54020.23 C NULL 15488.1662 244.4157 17.025 0.017
OBS: 54020.23 D NULL 9532.3504 776.257 17.552 0.085
OBS: 54022.21 A NULL 8511.3804 214.314 17.675 0.027
OBS: 54022.21 B NULL 12011.5762 200.7951 17.301 0.018
OBS: 54022.21 C NULL 14034.5987 353.3871 17.132 0.027
OBS: 54022.21 D NULL 8749.8378 336.7327 17.645 0.041
OBS: 54024.18 A NULL 6600.8521 141.3226 17.951 0.023
OBS: 54024.18 B NULL 9926.5881 240.5799 17.508 0.026
OBS: 54024.18 C NULL 11220.1845 250.7817 17.375 0.024
OBS: 54024.18 D NULL 6886.523 304.6544 17.905 0.047
OBS: 54026.23 A NULL 5926.5234 177.2725 18.068 0.032
OBS: 54026.23 B NULL 9401.5617 157.164 17.567 0.018
OBS: 54026.23 C NULL 10695.4731 208.8823 17.427 0.021
OBS: 54026.23 D NULL 6558.4317 540.6145 17.958 0.086
OBS: 54028.16 A NULL 4934.0097 110.2797 18.267 0.024
OBS: 54028.16 B NULL 8090.959 158.0162 17.73 0.021
OBS: 54028.16 C NULL 8887.9172 215.4068 17.628 0.026
OBS: 54028.16 D NULL 5495.4087 296.2105 18.15 0.057
OBS: 54030.17 A NULL 4176.3799 132.8533 18.448 0.034
OBS: 54030.17 B NULL 7684.2237 171.7496 17.786 0.024
OBS: 54030.17 C NULL 8542.7953 207.0425 17.671 0.026
OBS: 54030.17 D NULL 6205.8318 340.5299 18.018 0.058
OBS: 54033.18 A NULL 3194.4787 175.2893 18.739 0.058
OBS: 54033.18 B NULL 6415.0493 222.3814 17.982 0.037
OBS: 54033.18 C NULL 8098.4145 366.06 17.729 0.048
OBS: 54033.18 D NULL 6373.823 306.539 17.989 0.051
OBS: 54036.18 A NULL 2647.2807 152.9899 18.943 0.061
OBS: 54036.18 B NULL 6115.0498 200.3376 18.034 0.035
OBS: 54036.18 C NULL 8317.6377 209.4357 17.7 0.027
OBS: 54036.18 D NULL 6823.3869 494.741 17.915 0.076
OBS: 54039.14 A NULL 1773.3726 212.7223 19.378 0.123
OBS: 54039.14 B NULL 5190.3901 184.8764 18.212 0.038
OBS: 54039.14 C NULL 7599.7621 177.0212 17.798 0.025
OBS: 54039.14 D NULL 7523.1548 398.2097 17.809 0.056
OBS: 54043.22 A NULL 1801.3579 376.3519 19.361 0.206
OBS: 54043.22 B NULL 4764.3099 326.6538 18.305 0.072
OBS: 54043.22 C NULL 8241.3812 254.3351 17.71 0.033
OBS: 54043.22 D NULL 7834.2964 560.3034 17.765 0.075
OBS: 54046.15 A NULL 1492.7944 240.2113 19.565 0.162
OBS: 54046.15 B NULL 3992.087 421.5844 18.497 0.109
OBS: 54046.15 C NULL 7144.9633 426.8518 17.865 0.063
OBS: 54046.15 D NULL 8495.7163 751.2655 17.677 0.092
END:
