SURVEY: KAITM
SNID: 2007ca 
IAUC: 2007ca
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   202.774210
DECL:   -15.101830 
RA_HOST:   202.766000
DEC_HOST:   -15.101190
SEARCH_PEAKMJD:    54232.3
REDSHIFT_HELIO: 0.014066 +- 1e-05 
REDSHIFT_CMB: 0.0150888 +- 1e-05 
VPEC: 197.3176 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 51
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 54230.32 A NULL 34833.7315 419.5866 16.145 0.013
OBS: 54230.32 B NULL 44874.539 498.7227 15.87 0.012
OBS: 54230.32 C NULL 55207.7439 510.831 15.645 0.01
OBS: 54230.32 D NULL 49068.1857 4044.7125 15.773 0.086
OBS: 54232.3 A NULL 32092.2377 566.5455 16.234 0.019
OBS: 54232.3 B NULL 44299.6199 533.6071 15.884 0.013
OBS: 54232.3 C NULL 56234.1325 624.97 15.625 0.012
OBS: 54232.3 D NULL 47032.7096 1006.9586 15.819 0.023
OBS: 54234.32 A NULL 29000.1337 566.372 16.344 0.021
OBS: 54234.32 B NULL 40105.1366 708.0026 15.992 0.019
OBS: 54234.32 C NULL 49934.4189 648.0473 15.754 0.014
OBS: 54234.32 D NULL 39192.2322 1771.5454 16.017 0.048
OBS: 54236.32 A NULL 25234.8077 469.1501 16.495 0.02
OBS: 54236.32 B NULL 38904.5145 396.1596 16.025 0.011
OBS: 54236.32 C NULL 43331.1285 441.2353 15.908 0.011
OBS: 54236.32 D NULL 34197.9443 1710.782 16.165 0.053
OBS: 54238.34 A NULL 22120.7578 390.5124 16.638 0.019
OBS: 54238.34 B NULL 34578.0104 642.8532 16.153 0.02
OBS: 54238.34 C NULL 38159.2649 1286.4653 16.046 0.036
OBS: 54241.31 E NULL 18080.0655 506.5365 16.857 0.03
OBS: 54241.31 F NULL 28497.0563 556.5469 16.363 0.021
OBS: 54241.31 G NULL 31651.9157 558.7722 16.249 0.019
OBS: 54241.31 H NULL 30704.3565 5171.3118 16.282 0.169
OBS: 54243.31 E NULL 15951.4439 446.9004 16.993 0.03
OBS: 54243.31 F NULL 25751.3499 478.7533 16.473 0.02
OBS: 54243.31 G NULL 28549.5982 557.573 16.361 0.021
OBS: 54243.31 H NULL 25095.7396 2446.5474 16.501 0.101
OBS: 54246.31 E NULL 12370.8631 476.0859 17.269 0.041
OBS: 54246.31 F NULL 21998.8511 553.9246 16.644 0.027
OBS: 54246.31 G NULL 25822.6019 699.0151 16.47 0.029
OBS: 54246.31 H NULL 25538.7714 1575.6287 16.482 0.065
OBS: 54255.19 F NULL 14736.6918 623.6189 17.079 0.045
OBS: 54255.19 G NULL 24774.2206 811.6383 16.515 0.035
OBS: 54255.19 H NULL 32151.4082 5588.427 16.232 0.174
OBS: 54259.28 E NULL 4405.5486 194.898 18.39 0.047
OBS: 54259.28 F NULL 12462.3516 290.2855 17.261 0.025
OBS: 54259.28 G NULL 19952.6231 615.7527 16.75 0.033
OBS: 54259.28 H NULL 29349.4522 1724.7509 16.331 0.062
OBS: 54262.22 E NULL 3912.0104 295.2559 18.519 0.079
OBS: 54262.22 F NULL 10607.1815 408.2116 17.436 0.041
OBS: 54262.22 G NULL 18213.7764 407.095 16.849 0.024
OBS: 54262.22 H NULL 28106.062 3487.6024 16.378 0.127
OBS: 54265.27 F NULL 8605.9734 257.4195 17.663 0.032
OBS: 54265.27 G NULL 14441.0908 459.3803 17.101 0.034
OBS: 54265.27 H NULL 25165.1776 2301.1123 16.498 0.095
OBS: 54267.22 F NULL 8031.5617 440.7124 17.738 0.058
OBS: 54267.22 G NULL 14269.2123 521.8716 17.114 0.039
OBS: 54267.22 H NULL 22141.1411 3163.4894 16.637 0.145
OBS: 54268.23 F NULL 7884.9692 280.8545 17.758 0.038
OBS: 54268.23 G NULL 12694.044 464.2625 17.241 0.039
OBS: 54268.23 H NULL 19934.2546 4343.0239 16.751 0.214
END:
