SURVEY: KAITM
SNID: 2007ci 
IAUC: 2007ci
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   176.441040
DECL:    19.770530 
RA_HOST:   176.442080
DEC_HOST:    19.773940
SEARCH_PEAKMJD:    54250.23
REDSHIFT_HELIO: 0.017954 +- 8e-06 
REDSHIFT_CMB: 0.0190625 +- 8e-06 
VPEC: 356.9526 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 53
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 54238.24 A NULL 15545.3319 376.7553 17.021 0.026
OBS: 54238.24 B NULL 15703.628 544.3753 17.01 0.037
OBS: 54238.24 C NULL 18810.4853 491.412 16.814 0.028
OBS: 54238.24 D NULL 19462.5616 823.6056 16.777 0.045
OBS: 54241.24 E NULL 28340.0101 580.1039 16.369 0.022
OBS: 54241.24 F NULL 27694.9127 645.0974 16.394 0.025
OBS: 54241.24 G NULL 31390.6277 938.9476 16.258 0.032
OBS: 54241.24 H NULL 29895.0993 1150.4966 16.311 0.041
OBS: 54243.21 E NULL 34546.1775 480.5852 16.154 0.015
OBS: 54243.21 F NULL 32749.1476 762.8256 16.212 0.025
OBS: 54243.21 G NULL 35809.6437 498.1618 16.115 0.015
OBS: 54243.21 H NULL 29757.7438 1003.2244 16.316 0.036
OBS: 54246.21 E NULL 40438.9621 1556.2714 15.983 0.041
OBS: 54246.21 F NULL 39409.4161 2315.935 16.011 0.062
OBS: 54248.19 E NULL 36509.0052 1092.0471 16.094 0.032
OBS: 54248.19 F NULL 38547.8358 1043.4859 16.035 0.029
OBS: 54248.19 G NULL 41304.7502 1471.2329 15.96 0.038
OBS: 54248.19 H NULL 30507.035 1378.962 16.289 0.048
OBS: 54250.23 E NULL 33419.504 589.9766 16.19 0.019
OBS: 54250.23 F NULL 39518.4589 808.9204 16.008 0.022
OBS: 54250.23 G NULL 42815.3994 795.9977 15.921 0.02
OBS: 54250.23 H NULL 31856.6424 983.1196 16.242 0.033
OBS: 54252.19 E NULL 28028.5093 600.0834 16.381 0.023
OBS: 54252.19 F NULL 38797.1657 903.7021 16.028 0.025
OBS: 54252.19 G NULL 39554.8735 921.3514 16.007 0.025
OBS: 54252.19 H NULL 29566.5057 968.6403 16.323 0.035
OBS: 54254.22 E NULL 22202.404 685.1826 16.634 0.033
OBS: 54254.22 F NULL 34482.5997 1031.4338 16.156 0.032
OBS: 54254.22 G NULL 35974.9335 905.8382 16.11 0.027
OBS: 54259.21 E NULL 10587.6603 286.6069 17.438 0.029
OBS: 54259.21 F NULL 22929.7859 555.7243 16.599 0.026
OBS: 54259.21 G NULL 28760.7363 561.6965 16.353 0.021
OBS: 54259.21 H NULL 31535.5202 853.6633 16.253 0.029
OBS: 54262.23 E NULL 7311.3908 267.4014 17.84 0.039
OBS: 54262.23 F NULL 17766.4231 598.9604 16.876 0.036
OBS: 54262.23 G NULL 24911.507 603.7531 16.509 0.026
OBS: 54262.23 H NULL 29895.0993 1236.3974 16.311 0.044
OBS: 54265.21 E NULL 4956.7841 238.3888 18.262 0.051
OBS: 54265.21 F NULL 14151.4193 450.1656 17.123 0.034
OBS: 54265.21 G NULL 21757.0495 465.813 16.656 0.023
OBS: 54265.21 H NULL 28497.0563 906.5095 16.363 0.034
OBS: 54269.22 E NULL 3865.4495 257.4239 18.532 0.07
OBS: 54269.22 F NULL 9826.5258 228.8892 17.519 0.025
OBS: 54269.22 G NULL 15747.0788 381.6448 17.007 0.026
OBS: 54269.22 H NULL 23334.5806 875.7098 16.58 0.04
OBS: 54273.22 E NULL 2815.7883 337.7637 18.876 0.123
OBS: 54273.22 F NULL 8053.7844 364.0427 17.735 0.048
OBS: 54273.22 G NULL 11365.7997 480.9714 17.361 0.045
OBS: 54273.22 H NULL 17298.1636 1118.0354 16.905 0.068
OBS: 54277.2 E NULL 2774.5976 370.2529 18.892 0.136
OBS: 54277.2 F NULL 6327.0315 213.3035 17.997 0.036
OBS: 54277.2 G NULL 9890.0845 428.0219 17.512 0.046
OBS: 54277.2 H NULL 13502.059 584.3405 17.174 0.046
END:
