SURVEY: KAITM
SNID: 2007le 
IAUC: 2007le
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   354.701710
DECL:    -6.522580 
RA_HOST:   354.702710
DEC_HOST:    -6.517860
SEARCH_PEAKMJD:    54400.21
REDSHIFT_HELIO: 0.006721 +- 1e-05 
REDSHIFT_CMB: 0.005523 +- 1e-05 
VPEC: -230.4006 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 111
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 54388.29 E NULL 84023.3514 3394.4742 15.189 0.043
OBS: 54388.29 F NULL 107547.4209 3728.1933 14.921 0.037
OBS: 54388.29 G NULL 133659.5517 1236.7366 14.685 0.01
OBS: 54388.29 H NULL 119784.3278 2564.5528 14.804 0.023
OBS: 54391.21 E NULL 162330.4528 7493.9125 14.474 0.049
OBS: 54391.21 F NULL 196607.4634 8319.9225 14.266 0.045
OBS: 54391.21 G NULL 241657.3451 2236.0279 14.042 0.01
OBS: 54391.21 H NULL 220800.4733 6604.5218 14.14 0.032
OBS: 54394.17 I NULL 223254.3862 2065.7474 14.128 0.01
OBS: 54394.17 J NULL 269153.4804 2490.4465 13.925 0.01
OBS: 54394.17 K NULL 329003.1075 3044.2283 13.707 0.01
OBS: 54394.17 L NULL 306196.3434 2833.1999 13.785 0.01
OBS: 54398.23 E NULL 266685.8665 2467.6139 13.935 0.01
OBS: 54398.23 F NULL 360080.8292 7370.65 13.609 0.022
OBS: 54400.21 I NULL 240990.5429 7895.189 14.045 0.035
OBS: 54400.21 J NULL 326287.1721 4234.5447 13.716 0.014
OBS: 54400.21 K NULL 394094.1607 3646.5084 13.511 0.01
OBS: 54400.21 L NULL 306478.4905 3406.1137 13.784 0.012
OBS: 54401.25 I NULL 243220.4009 2250.4907 14.035 0.01
OBS: 54401.25 J NULL 322998.1241 2988.6648 13.727 0.01
OBS: 54401.25 K NULL 387971.6573 3589.8575 13.528 0.01
OBS: 54401.25 L NULL 303948.4969 2812.4008 13.793 0.01
OBS: 54402.19 E NULL 241880.0223 15870.7647 14.041 0.069
OBS: 54402.19 F NULL 335428.5308 17754.639 13.686 0.056
OBS: 54402.19 G NULL 375664.3646 13022.6215 13.563 0.037
OBS: 54402.19 H NULL 269649.7364 7554.5874 13.923 0.03
OBS: 54404.25 E NULL 217770.9772 8589.1868 14.155 0.042
OBS: 54404.25 F NULL 316810.8159 12798.8962 13.748 0.043
OBS: 54404.25 G NULL 350590.3839 3243.9729 13.638 0.01
OBS: 54404.25 H NULL 247970.4899 4610.1156 14.014 0.02
OBS: 54406.21 E NULL 203235.7011 4733.9676 14.23 0.025
OBS: 54406.21 F NULL 296756.3358 10853.3457 13.819 0.039
OBS: 54406.21 G NULL 329609.7122 3663.1874 13.705 0.012
OBS: 54406.21 H NULL 227614.5393 5301.8237 14.107 0.025
OBS: 54408.22 E NULL 170137.4816 10164.2925 14.423 0.063
OBS: 54408.22 F NULL 272646.5459 10753.5547 13.911 0.042
OBS: 54408.22 G NULL 278483.8408 2576.7793 13.888 0.01
OBS: 54408.22 H NULL 201001.8247 3925.5611 14.242 0.021
OBS: 54410.21 E NULL 155453.3194 6727.6903 14.521 0.046
