SURVEY: KAITM
SNID: 2007qe 
IAUC: 2007qe
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   358.554080
DECL:    27.409280 
RA_HOST:   358.550380
DEC_HOST:    27.408970
SEARCH_PEAKMJD:    54431.13
REDSHIFT_HELIO: 0.02396 +- 5e-05 
REDSHIFT_CMB: 0.0227964 +- 5e-05 
VPEC: -227.1405 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 49
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 54419.2 E NULL 14628.5069 258.2467 17.087 0.019
OBS: 54419.2 F NULL 15445.4299 258.1982 17.028 0.018
OBS: 54419.2 G NULL 17619.7605 493.6405 16.885 0.03
OBS: 54419.2 H NULL 15093.849 408.5889 17.053 0.029
OBS: 54420.17 E NULL 18146.7978 594.5146 16.853 0.035
OBS: 54420.17 F NULL 18163.5193 286.6349 16.852 0.017
OBS: 54420.17 G NULL 20989.3988 488.9059 16.695 0.025
OBS: 54420.17 H NULL 17881.3375 467.1386 16.869 0.028
OBS: 54422.17 E NULL 24479.3567 455.1052 16.528 0.02
OBS: 54422.17 F NULL 24501.9134 340.8556 16.527 0.015
OBS: 54422.17 G NULL 28054.3364 627.0407 16.38 0.024
OBS: 54422.17 H NULL 22181.9642 454.0522 16.635 0.022
OBS: 54424.18 E NULL 29484.9231 742.4217 16.326 0.027
OBS: 54424.18 G NULL 29566.5057 1081.3434 16.323 0.039
OBS: 54424.18 H NULL 25165.1776 2992.7054 16.498 0.122
OBS: 54427.17 E NULL 33790.9187 407.0255 16.178 0.013
OBS: 54427.17 F NULL 34260.9972 412.6878 16.163 0.013
OBS: 54427.17 G NULL 37635.7002 629.1485 16.061 0.018
OBS: 54427.17 H NULL 27745.9756 567.9444 16.392 0.022
OBS: 54431.13 E NULL 33357.9997 620.1715 16.192 0.02
OBS: 54431.13 F NULL 37462.7798 521.1592 16.066 0.015
OBS: 54431.13 G NULL 40401.7335 1246.8274 15.984 0.033
OBS: 54431.13 H NULL 25468.3025 545.27 16.485 0.023
OBS: 54435.18 E NULL 27797.1327 699.9236 16.39 0.027
OBS: 54435.18 G NULL 36008.0829 838.736 16.109 0.025
OBS: 54440.18 E NULL 19284.1278 540.2699 16.787 0.03
OBS: 54440.18 F NULL 26890.5695 298.854 16.426 0.012
OBS: 54440.18 G NULL 26890.5695 399.2083 16.426 0.016
OBS: 54440.18 H NULL 15052.2007 435.9655 17.056 0.031
OBS: 54443.19 E NULL 14818.3552 345.1638 17.073 0.025
OBS: 54443.19 F NULL 23163.277 322.2333 16.588 0.015
OBS: 54443.19 G NULL 21938.1499 573.1202 16.647 0.028
OBS: 54443.19 H NULL 13639.5487 854.8432 17.163 0.066
OBS: 54446.12 E NULL 11470.9662 278.0094 17.351 0.026
OBS: 54446.12 F NULL 19642.6465 273.2564 16.767 0.015
OBS: 54446.12 G NULL 19989.4111 446.7821 16.748 0.024
OBS: 54446.12 H NULL 12977.7678 586.6138 17.217 0.048
OBS: 54449.14 E NULL 8590.1352 200.09 17.665 0.025
OBS: 54449.14 F NULL 17410.0493 225.9471 16.898 0.014
OBS: 54449.14 G NULL 19160.1983 446.2984 16.794 0.025
OBS: 54449.14 H NULL 13765.7539 268.8449 17.153 0.021
OBS: 54458.14 E NULL 3919.2232 437.9016 18.517 0.115
OBS: 54458.14 F NULL 11770.6379 498.1031 17.323 0.045
OBS: 54458.14 G NULL 16795.7731 486.4656 16.937 0.031
OBS: 54458.14 H NULL 19534.3966 770.4635 16.773 0.042
OBS: 54466.11 E NULL 2769.4913 209.0252 18.894 0.079
OBS: 54466.11 F NULL 7138.3855 179.7424 17.866 0.027
OBS: 54466.11 G NULL 11630.5432 325.8448 17.336 0.03
OBS: 54466.11 H NULL 14507.7479 447.7198 17.096 0.033
END:
