SURVEY: KAITM
SNID: 2008A 
IAUC: 2008A
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:    24.572420
DECL:    35.370470 
RA_HOST:    24.577750
DEC_HOST:    35.364830
SEARCH_PEAKMJD:    54485.1
REDSHIFT_HELIO: 0.016455 +- 7e-06 
REDSHIFT_CMB: 0.015554 +- 7e-06 
VPEC: -21.2326 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 89
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 54477.27 I NULL 27593.0686 255.3155 16.398 0.01
OBS: 54477.27 J NULL 27618.4944 255.5508 16.397 0.01
OBS: 54477.27 L NULL 43052.661 398.3614 15.915 0.01
OBS: 54478.24 I NULL 27694.9127 256.2579 16.394 0.01
OBS: 54478.24 J NULL 32121.8093 297.2194 16.233 0.01
OBS: 54478.24 K NULL 40068.2154 370.7466 15.993 0.01
OBS: 54478.24 L NULL 44750.7172 622.5445 15.873 0.015
OBS: 54479.15 E NULL 27951.1705 310.6413 16.384 0.012
OBS: 54479.15 F NULL 33113.1121 429.7409 16.2 0.014
OBS: 54479.15 G NULL 41725.3511 502.599 15.949 0.013
OBS: 54481.13 E NULL 25798.8294 845.2059 16.471 0.035
OBS: 54481.13 F NULL 36677.5232 958.177 16.089 0.028
OBS: 54481.13 G NULL 47774.9235 1747.2845 15.802 0.039
OBS: 54481.13 H NULL 49431.0687 2808.5502 15.765 0.06
OBS: 54483.19 E NULL 23399.1456 522.9929 16.577 0.024
OBS: 54483.19 F NULL 35448.6744 725.6142 16.126 0.022
OBS: 54483.19 G NULL 45415.0713 886.9553 15.857 0.021
OBS: 54483.19 H NULL 52143.4785 1214.5776 15.707 0.025
OBS: 54484.19 E NULL 21498.0961 399.6794 16.669 0.02
OBS: 54484.19 F NULL 34387.4522 382.1722 16.159 0.012
OBS: 54484.19 G NULL 44874.539 415.219 15.87 0.01
OBS: 54484.19 H NULL 51191.7528 855.7623 15.727 0.018
OBS: 54485.1 E NULL 20323.5701 339.7451 16.73 0.018
OBS: 54485.1 F NULL 34072.1862 473.9913 16.169 0.015
OBS: 54485.1 G NULL 44750.7172 539.0408 15.873 0.013
OBS: 54485.1 H NULL 53505.6938 594.6469 15.679 0.012
OBS: 54501.17 E NULL 4040.1734 300.9287 18.484 0.078
OBS: 54501.17 F NULL 12473.8351 515.8911 17.26 0.044
OBS: 54501.17 G NULL 24366.8842 361.7425 16.533 0.016
OBS: 54501.17 H NULL 39084.0896 800.0291 16.02 0.022
OBS: 54503.11 E NULL 3580.9644 196.4967 18.615 0.058
OBS: 54503.11 F NULL 11439.3145 234.1563 17.354 0.022
OBS: 54503.11 G NULL 21897.7756 325.087 16.649 0.016
OBS: 54503.11 H NULL 35677.9588 429.7557 16.119 0.013
OBS: 54505.17 E NULL 3988.4119 281.3141 18.498 0.074
OBS: 54505.17 F NULL 11015.3931 339.9432 17.395 0.033
OBS: 54505.17 G NULL 20492.7386 380.9885 16.721 0.02
OBS: 54505.17 H NULL 33759.8105 1106.0188 16.179 0.035
OBS: 54505.19 I NULL 2889.349 80.9489 18.848 0.03
OBS: 54505.19 J NULL 9890.0845 305.2153 17.512 0.033
OBS: 54505.19 K NULL 19160.1983 177.2871 16.794 0.01
OBS: 54505.19 L NULL 36509.0052 644.5177 16.094 0.019
OBS: 54508.11 E NULL 2615.7727 429.3164 18.956 0.165
OBS: 54508.11 F NULL 8855.2331 374.7307 17.632 0.045
OBS: 54508.11 H NULL 28470.8216 2064.3243 16.364 0.076
OBS: 54509.16 I NULL 2608.555 82.9798 18.959 0.034
OBS: 54509.16 J NULL 8417.8271 77.8892 17.687 0.01
OBS: 54509.16 K NULL 16338.0417 151.174 16.967 0.01
OBS: 54509.16 L NULL 29241.5238 434.1098 16.335 0.016
OBS: 54511.12 E NULL 2610.9587 267.7651 18.958 0.106
OBS: 54511.12 F NULL 8685.6035 476.6014 17.653 0.058
OBS: 54511.12 G NULL 15848.9319 564.5227 17.0 0.038
OBS: 54511.12 H NULL 27466.2899 769.5038 16.403 0.03
OBS: 54512.16 I NULL 2316.3277 89.1426 19.088 0.041
OBS: 54512.16 J NULL 7564.8444 112.3051 17.803 0.016
OBS: 54512.16 K NULL 14295.5214 132.2748 17.112 0.01
OBS: 54512.16 L NULL 26109.5869 241.589 16.458 0.01
OBS: 54514.12 E NULL 2518.8366 470.6733 18.997 0.186
OBS: 54514.12 F NULL 7791.1219 435.092 17.771 0.059
OBS: 54514.12 G NULL 13292.2959 486.1426 17.191 0.039
OBS: 54514.12 H NULL 24076.8685 2444.7486 16.546 0.105
OBS: 54522.15 F NULL 5618.2363 491.184 18.126 0.091
OBS: 54522.15 G NULL 11313.5786 865.0952 17.366 0.08
OBS: 54530.16 I NULL 1770.109 112.6729 19.38 0.067
OBS: 54530.16 J NULL 5011.8723 168.9655 18.25 0.036
OBS: 54530.16 K NULL 9011.5604 125.3633 17.613 0.015
OBS: 54530.16 L NULL 14387.9858 430.3694 17.105 0.032
OBS: 54653.46 I NULL 445.4511 87.6383 20.878 0.195
OBS: 54653.46 J NULL 837.1437 85.003 20.193 0.105
OBS: 54653.46 K NULL 1166.2724 22.7773 19.833 0.021
OBS: 54653.46 L NULL 2728.9778 450.8236 18.91 0.166
OBS: 54655.46 I NULL 376.357 61.77 21.061 0.165
OBS: 54655.46 J NULL 681.7105 76.1687 20.416 0.115
OBS: 54655.46 K NULL 897.8422 38.8567 20.117 0.046
OBS: 54655.46 L NULL 2056.8376 194.2894 19.217 0.098
OBS: 54658.46 I NULL 364.7539 34.8226 21.095 0.099
OBS: 54658.46 J NULL 713.8386 79.0278 20.366 0.114
OBS: 54658.46 K NULL 939.2907 65.3251 20.068 0.073
OBS: 54658.46 L NULL 2551.526 223.0715 18.983 0.091
OBS: 54672.44 I NULL 365.4265 95.4664 21.093 0.252
OBS: 54672.44 J NULL 704.0443 120.8532 20.381 0.172
OBS: 54672.44 L NULL 1975.1496 452.5782 19.261 0.224
OBS: 54677.44 I NULL 438.9348 59.4904 20.894 0.138
OBS: 54677.44 J NULL 684.8572 107.2793 20.411 0.158
OBS: 54677.44 K NULL 1083.4279 46.8885 19.913 0.046
OBS: 54677.44 L NULL 2047.3873 480.7462 19.222 0.229
OBS: 54686.45 I NULL 392.6449 73.3702 21.015 0.186
OBS: 54686.45 J NULL 614.3276 105.4528 20.529 0.172
OBS: 54686.45 L NULL 2563.3033 347.4138 18.978 0.138
END:
