SURVEY: KAITM
SNID: 2008bf 
IAUC: 2008bf
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   181.012080
DECL:    20.245170 
RA_HOST:   181.014987
DEC_HOST:    20.237854
SEARCH_PEAKMJD:    54553.33
REDSHIFT_HELIO: 0.022615 +- 0.000989 
REDSHIFT_CMB: 0.0237063 +- 0.000989 
VPEC: -30.0449 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 79
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 54544.46 E NULL 20492.7386 1485.8601 16.721 0.076
OBS: 54544.46 F NULL 17831.9977 618.1565 16.872 0.037
OBS: 54549.45 E NULL 38053.9725 564.9364 16.049 0.016
OBS: 54549.45 F NULL 34166.4613 539.1741 16.166 0.017
OBS: 54549.45 G NULL 37462.7798 626.2578 16.066 0.018
OBS: 54549.45 H NULL 33419.504 652.6822 16.19 0.021
OBS: 54551.34 E NULL 42383.8106 589.6175 15.932 0.015
OBS: 54551.34 F NULL 38264.8487 354.0603 16.043 0.01
OBS: 54551.34 G NULL 40813.1392 605.8981 15.973 0.016
OBS: 54551.34 H NULL 32930.627 953.7886 16.206 0.031
OBS: 54553.33 E NULL 46773.5141 694.3838 15.825 0.016
OBS: 54553.33 F NULL 41802.2829 581.5277 15.947 0.015
OBS: 54553.33 G NULL 44177.3845 738.5045 15.887 0.018
OBS: 54553.33 H NULL 33113.1121 677.8066 16.2 0.022
OBS: 54556.39 E NULL 46644.4525 736.0868 15.828 0.017
OBS: 54556.39 F NULL 41533.6405 539.0223 15.954 0.014
OBS: 54556.39 G NULL 45081.6705 711.4249 15.865 0.017
OBS: 54556.39 H NULL 29376.4965 684.2665 16.33 0.025
OBS: 54558.4 E NULL 41152.8578 1036.2168 15.964 0.027
OBS: 54558.4 F NULL 40142.0918 1315.1114 15.991 0.035
OBS: 54560.39 E NULL 37948.9706 634.3854 16.052 0.018
OBS: 54560.39 F NULL 39591.3217 736.0576 16.006 0.02
OBS: 54560.39 G NULL 40700.5239 794.8803 15.976 0.021
OBS: 54560.39 H NULL 26668.5866 1051.8457 16.435 0.042
OBS: 54564.36 E NULL 29812.6101 807.0243 16.314 0.029
OBS: 54564.36 F NULL 32270.0769 873.5476 16.228 0.029
OBS: 54564.36 G NULL 32658.7832 822.3385 16.215 0.027
OBS: 54566.39 E NULL 26205.9555 610.4151 16.454 0.025
OBS: 54566.39 F NULL 29268.4686 461.8799 16.334 0.017
OBS: 54566.39 G NULL 28628.5927 802.0672 16.358 0.03
OBS: 54566.39 H NULL 17266.3285 697.5455 16.907 0.043
OBS: 54568.34 E NULL 22532.0134 461.2175 16.618 0.022
OBS: 54568.34 G NULL 26668.5866 346.1041 16.435 0.014
OBS: 54568.34 H NULL 16474.0356 321.7375 16.958 0.021
OBS: 54570.29 E NULL 19213.2131 1431.0792 16.791 0.078
OBS: 54570.29 F NULL 23377.6041 743.6564 16.578 0.034
OBS: 54570.29 G NULL 21797.1644 528.2742 16.654 0.026
OBS: 54570.29 H NULL 14547.8897 407.578 17.093 0.03
OBS: 54572.36 F NULL 21105.7116 1718.7215 16.689 0.085
OBS: 54572.36 G NULL 23485.5102 702.492 16.573 0.032
