SURVEY: KAITM
SNID: 2008cl 
IAUC: 2008cl
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   242.768120
DECL:    52.452220 
RA_HOST:   242.766970
DEC_HOST:    52.450330
SEARCH_PEAKMJD:    54603.42
REDSHIFT_HELIO: 0.06333 +- 1.3e-05 
REDSHIFT_CMB: 0.0634095 +- 1.3e-05 
VPEC: -39.9957 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 23
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 54603.42 E NULL 5072.2424 283.2573 18.237 0.059
OBS: 54603.42 F NULL 5044.2895 306.2799 18.243 0.064
OBS: 54603.42 G NULL 5209.5475 471.1283 18.208 0.094
OBS: 54603.42 H NULL 4587.7527 912.7198 18.346 0.197
OBS: 54616.38 E NULL 1593.6759 110.8359 19.494 0.073
OBS: 54616.38 F NULL 2943.066 164.3543 18.828 0.059
OBS: 54616.38 G NULL 2841.8425 194.8443 18.866 0.072
OBS: 54616.38 H NULL 2516.5178 383.4956 18.998 0.154
OBS: 54619.37 E NULL 1023.293 104.9431 19.975 0.106
OBS: 54619.37 F NULL 2226.3836 219.2984 19.131 0.102
OBS: 54619.37 G NULL 3087.4505 288.5306 18.776 0.097
OBS: 54619.37 H NULL 2553.8771 269.7022 18.982 0.109
OBS: 54622.33 E NULL 748.8589 201.7459 20.314 0.259
OBS: 54622.33 F NULL 1946.2562 237.4792 19.277 0.125
OBS: 54622.33 G NULL 2642.4088 196.8175 18.945 0.078
OBS: 54622.33 H NULL 2839.2262 475.1362 18.867 0.168
OBS: 54625.38 E NULL 786.3212 126.53 20.261 0.162
OBS: 54625.38 F NULL 1356.4382 175.3546 19.669 0.132
OBS: 54625.38 G NULL 2072.0489 360.1551 19.209 0.174
OBS: 54625.38 H NULL 2642.4088 557.9598 18.945 0.208
OBS: 54628.35 E NULL 556.1603 120.5456 20.637 0.213
OBS: 54628.35 G NULL 1995.2623 266.2554 19.25 0.136
OBS: 54628.35 H NULL 2739.0503 449.5494 18.906 0.165
END:
