SURVEY: KAITM
SNID: 2008dt 
IAUC: 2008dt
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   254.127330
DECL:    27.975890 
RA_HOST:   254.127170
DEC_HOST:    27.977500
SEARCH_PEAKMJD:    54650.28
REDSHIFT_HELIO: 0.035184 +- 1.1e-05 
REDSHIFT_CMB: 0.0351831 +- 1.1e-05 
VPEC: -94.2535 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 47
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 54648.33 E NULL 4924.9293 180.1207 18.269 0.039
OBS: 54648.33 F NULL 8105.8768 343.0199 17.728 0.045
OBS: 54648.33 G NULL 9908.3194 230.7944 17.51 0.025
OBS: 54648.33 H NULL 8928.942 700.4752 17.623 0.082
OBS: 54650.28 E NULL 4638.7397 205.2142 18.334 0.047
OBS: 54650.28 F NULL 8203.5154 229.8321 17.715 0.03
OBS: 54650.28 G NULL 10064.6807 301.0519 17.493 0.032
OBS: 54652.33 E NULL 4533.1491 135.5943 18.359 0.032
OBS: 54652.33 F NULL 7741.0523 260.9745 17.778 0.036
OBS: 54652.33 G NULL 9315.3677 208.2072 17.577 0.024
OBS: 54652.33 H NULL 7769.624 247.1567 17.774 0.034
OBS: 54654.27 E NULL 3739.3834 158.2411 18.568 0.045
OBS: 54654.27 F NULL 6842.2667 243.7145 17.912 0.038
OBS: 54654.27 G NULL 8790.2252 221.3353 17.64 0.027
OBS: 54654.27 H NULL 8090.959 459.7081 17.73 0.06
OBS: 54656.29 E NULL 3212.1809 306.663 18.733 0.099
OBS: 54656.29 F NULL 6631.3202 338.1537 17.946 0.054
OBS: 54656.29 G NULL 8425.5838 388.9633 17.686 0.049
OBS: 54656.29 H NULL 7798.3011 519.3366 17.77 0.07
OBS: 54658.33 E NULL 2860.2237 184.8654 18.859 0.068
OBS: 54658.33 F NULL 6098.1766 205.5881 18.037 0.036
OBS: 54658.33 G NULL 7419.9333 221.943 17.824 0.032
OBS: 54658.33 H NULL 6303.7648 278.8736 18.001 0.047
OBS: 54660.26 E NULL 2577.5079 272.1978 18.972 0.109
OBS: 54660.26 F NULL 5505.541 201.3556 18.148 0.039
OBS: 54660.26 G NULL 7447.3197 173.4704 17.82 0.025
OBS: 54660.26 H NULL 6092.5626 459.8313 18.038 0.079
OBS: 54663.3 E NULL 1831.4708 318.3388 19.343 0.174
OBS: 54663.3 F NULL 4238.3811 324.0887 18.432 0.08
OBS: 54663.3 G NULL 6848.5716 395.788 17.911 0.061
OBS: 54663.3 H NULL 6606.9345 446.4897 17.95 0.071
OBS: 54666.31 E NULL 1914.2559 393.5538 19.295 0.203
OBS: 54666.31 F NULL 3385.3221 413.0718 18.676 0.125
OBS: 54666.31 G NULL 6251.7269 312.7481 18.01 0.053
OBS: 54666.31 H NULL 6823.3869 447.7111 17.915 0.069
OBS: 54669.26 G NULL 5649.3697 206.6159 18.12 0.039
OBS: 54669.26 H NULL 6674.212 340.3409 17.939 0.054
OBS: 54672.25 F NULL 2558.5859 231.3871 18.98 0.094
OBS: 54672.25 G NULL 5450.0439 267.3748 18.159 0.052
OBS: 54672.25 H NULL 6409.1436 382.8928 17.983 0.063
OBS: 54675.27 F NULL 2301.4418 254.7886 19.095 0.114
OBS: 54675.27 G NULL 4421.8092 272.806 18.386 0.065
OBS: 54675.27 H NULL 5791.6192 460.1077 18.093 0.083
OBS: 54678.24 F NULL 2034.2297 325.1617 19.229 0.161
OBS: 54678.24 G NULL 4006.8215 354.3182 18.493 0.092
OBS: 54678.24 H NULL 5123.8924 562.0179 18.226 0.113
OBS: 54681.19 F NULL 1617.3351 200.6906 19.478 0.127
END:
