SURVEY: KAITM
SNID: 2008ec 
IAUC: 2008ec
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   345.819000
DECL:     8.872170 
RA_HOST:   345.815080
DEC_HOST:     8.874000
SEARCH_PEAKMJD:    54675.4
REDSHIFT_HELIO: 0.01626 +- 6e-05 
REDSHIFT_CMB: 0.0150086 +- 6e-05 
VPEC: -166.1574 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 96
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 54662.38 E NULL 9781.377 460.9821 17.524 0.05
OBS: 54662.38 F NULL 11738.1593 273.4169 17.326 0.025
OBS: 54662.38 G NULL 15346.1698 444.4799 17.035 0.031
OBS: 54662.38 H NULL 17282.2387 931.5376 16.906 0.057
OBS: 54664.44 E NULL 18949.5979 387.8875 16.806 0.022
OBS: 54664.44 F NULL 21340.2744 356.7411 16.677 0.018
OBS: 54664.44 G NULL 27466.2899 562.2194 16.403 0.022
OBS: 54664.44 H NULL 31448.5047 791.8641 16.256 0.027
OBS: 54667.39 E NULL 33666.6574 847.7165 16.182 0.027
OBS: 54667.39 F NULL 37153.5229 412.9136 16.075 0.012
OBS: 54667.39 G NULL 46773.5141 607.0252 15.825 0.014
OBS: 54667.39 H NULL 48707.9666 859.874 15.781 0.019
OBS: 54671.41 E NULL 46472.9242 951.2744 15.832 0.022
OBS: 54671.41 F NULL 50072.5836 1260.8129 15.751 0.027
OBS: 54671.41 G NULL 60645.6982 1469.8039 15.543 0.026
OBS: 54671.41 H NULL 59047.294 3011.0239 15.572 0.054
OBS: 54673.4 E NULL 49294.6741 777.9094 15.768 0.017
OBS: 54673.4 F NULL 57016.4272 580.5909 15.61 0.011
OBS: 54673.4 G NULL 65162.8394 1028.3218 15.465 0.017
OBS: 54673.4 H NULL 57756.3846 1399.7788 15.596 0.026
OBS: 54675.4 E NULL 47336.9203 438.0031 15.812 0.01
OBS: 54675.4 F NULL 56389.728 521.7677 15.622 0.01
OBS: 54675.4 G NULL 65343.14 604.6126 15.462 0.01
OBS: 54675.4 H NULL 52239.6189 1167.6045 15.705 0.024
OBS: 54677.37 E NULL 44463.1267 411.4122 15.88 0.01
OBS: 54677.37 F NULL 54954.0874 508.4839 15.65 0.01
OBS: 54677.37 G NULL 64983.0363 601.2806 15.468 0.01
OBS: 54677.37 H NULL 49888.4487 927.4955 15.755 0.02
OBS: 54679.42 E NULL 38976.2453 505.8325 16.023 0.014
OBS: 54679.42 F NULL 52384.1619 484.7047 15.702 0.01
OBS: 54679.42 G NULL 58992.9345 545.8549 15.573 0.01
OBS: 54679.42 H NULL 44463.1267 1203.6122 15.88 0.029
OBS: 54681.39 E NULL 34387.4522 318.1832 16.159 0.01
OBS: 54681.39 F NULL 49613.5154 459.0682 15.761 0.01
OBS: 54681.39 G NULL 52480.746 485.5984 15.7 0.01
OBS: 54681.39 H NULL 40068.2154 857.8506 15.993 0.023
OBS: 54683.38 E NULL 28444.6111 395.704 16.365 0.015
OBS: 54683.38 F NULL 43691.8063 404.2753 15.899 0.01
OBS: 54683.38 G NULL 45040.1678 416.7515 15.866 0.01
OBS: 54683.38 H NULL 34260.9972 895.0468 16.163 0.028
OBS: 54685.39 E NULL 22573.5571 250.876 16.616 0.012
OBS: 54685.39 F NULL 37325.0158 658.9232 16.07 0.019
OBS: 54685.39 G NULL 40216.1044 372.115 15.989 0.01
OBS: 54685.39 H NULL 34009.4807 1211.3829 16.171 0.038
OBS: 54692.38 E NULL 10442.3922 421.8641 17.453 0.043
OBS: 54692.38 F NULL 25515.2601 714.8431 16.483 0.03
OBS: 54692.38 G NULL 33853.2213 565.9175 16.176 0.018
OBS: 54692.38 H NULL 39264.4935 1062.8858 16.015 0.029
OBS: 54699.32 E NULL 5475.2002 311.0872 18.154 0.06
OBS: 54699.32 F NULL 17139.5731 254.4483 16.915 0.016
OBS: 54699.32 G NULL 26915.348 324.2064 16.425 0.013
OBS: 54699.32 H NULL 38229.6217 746.6237 16.044 0.021
OBS: 54707.34 E NULL 3445.0855 246.3901 18.657 0.075
OBS: 54707.34 F NULL 10452.0144 164.9412 17.452 0.017
OBS: 54707.34 G NULL 16687.8351 216.5742 16.944 0.014
OBS: 54707.34 H NULL 22866.516 575.7721 16.602 0.027
OBS: 54711.28 E NULL 3235.9366 212.3234 18.725 0.069
OBS: 54711.28 F NULL 8725.6944 236.2036 17.648 0.029
OBS: 54711.28 G NULL 13085.7916 329.4964 17.208 0.027
OBS: 54711.28 H NULL 17506.5271 523.6503 16.892 0.032
OBS: 54715.28 E NULL 3076.0968 150.9109 18.78 0.052
OBS: 54715.28 F NULL 7627.8123 228.161 17.794 0.032
OBS: 54715.28 G NULL 11303.1632 370.3075 17.367 0.035
OBS: 54715.28 H NULL 14348.2852 347.7438 17.108 0.026
OBS: 54719.26 E NULL 2436.6884 289.777 19.033 0.122
OBS: 54719.26 F NULL 6937.4521 326.952 17.897 0.05
OBS: 54719.26 G NULL 10289.6357 504.8014 17.469 0.052
OBS: 54719.26 H NULL 14021.6783 674.3507 17.133 0.051
OBS: 54726.34 E NULL 2498.0435 752.8295 19.006 0.286
OBS: 54726.34 F NULL 6426.8772 607.0845 17.98 0.098
OBS: 54726.34 G NULL 8669.6188 375.2027 17.655 0.046
