SURVEY: KAITM
SNID: SNF20080514-002 
IAUC: UNKNOWN
FILTERS:    ABCDEFGHIJKLMNOPabcdefgh
FAKE:    0
TYPE:    1
PHOTOMETRY_VERSION:    LOSS
RA:   202.303420
DECL:    11.272390 
RA_HOST:   202.306840
DEC_HOST:    11.275820
SEARCH_PEAKMJD:    54613.32
REDSHIFT_HELIO: 0.021938 +- 1.1e-05 
REDSHIFT_CMB: 0.0229199 +- 1.1e-05 
VPEC: 212.7182 +- 250.0

# ======================================
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS: 67
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 54608.31 E NULL 34135.0073 1021.0368 16.167 0.032
OBS: 54608.31 F NULL 30817.6842 1068.3128 16.278 0.037
OBS: 54608.31 G NULL 34514.3739 1130.7394 16.155 0.035
OBS: 54613.32 E NULL 40476.2249 942.8124 15.982 0.025
OBS: 54613.32 F NULL 36982.818 1071.1545 16.08 0.031
OBS: 54613.32 G NULL 38124.1351 601.6294 16.047 0.017
OBS: 54613.32 H NULL 27164.3927 864.1166 16.415 0.034
OBS: 54615.26 E NULL 38053.9725 958.1878 16.049 0.027
OBS: 54615.26 F NULL 37359.4092 975.9909 16.069 0.028
OBS: 54615.26 G NULL 39591.3217 661.8402 16.006 0.018
OBS: 54615.26 H NULL 25703.9578 842.0978 16.475 0.035
OBS: 54617.24 E NULL 33759.8105 659.3283 16.179 0.021
OBS: 54617.24 G NULL 36408.2664 574.5516 16.097 0.017
OBS: 54617.24 H NULL 24389.3373 1102.4332 16.532 0.048
OBS: 54619.24 E NULL 28840.315 428.1536 16.35 0.016
OBS: 54619.24 F NULL 30704.3565 427.1401 16.282 0.015
OBS: 54619.24 G NULL 31361.7292 524.2678 16.259 0.018
OBS: 54619.24 H NULL 20007.8305 579.4982 16.747 0.031
OBS: 54621.27 E NULL 24774.2206 811.6383 16.515 0.035
OBS: 54621.27 F NULL 28366.1242 875.3996 16.368 0.033
OBS: 54621.27 G NULL 25965.6979 974.4515 16.464 0.04
OBS: 54621.27 H NULL 16626.468 3252.7822 16.948 0.194
OBS: 54623.22 E NULL 20950.7705 488.0061 16.697 0.025
OBS: 54623.22 F NULL 23550.4928 526.3756 16.57 0.024
OBS: 54623.22 G NULL 22803.4207 574.1834 16.605 0.027
OBS: 54623.22 H NULL 14588.1426 871.5196 17.09 0.063
OBS: 54625.2 E NULL 15966.1425 462.4365 16.992 0.031
OBS: 54625.2 F NULL 20873.727 624.3691 16.701 0.032
OBS: 54625.2 G NULL 20230.1918 509.3903 16.735 0.027
OBS: 54625.2 H NULL 13880.3367 574.061 17.144 0.044
OBS: 54627.2 E NULL 12370.8631 370.0338 17.269 0.032
OBS: 54627.2 F NULL 18230.5596 579.9257 16.848 0.034
OBS: 54627.2 G NULL 19444.6442 379.7535 16.778 0.021
OBS: 54627.2 H NULL 15645.8802 438.3396 17.014 0.03
OBS: 54629.23 E NULL 10027.6692 677.6593 17.497 0.071
OBS: 54629.23 G NULL 20379.8039 3388.599 16.727 0.167
OBS: 54632.23 E NULL 6480.3729 566.5577 17.971 0.091
OBS: 54632.23 F NULL 13677.2883 644.5907 17.16 0.05
OBS: 54632.23 H NULL 18655.2039 969.3594 16.823 0.055
OBS: 54634.25 E NULL 6003.4376 465.0091 18.054 0.081
OBS: 54634.25 F NULL 11651.9872 504.2733 17.334 0.046
OBS: 54634.25 G NULL 17442.1493 455.6651 16.896 0.028
OBS: 54634.25 H NULL 17963.874 811.993 16.864 0.048
OBS: 54636.21 E NULL 4716.2846 365.3099 18.316 0.081
OBS: 54636.21 F NULL 10646.3319 318.4501 17.432 0.032
OBS: 54636.21 G NULL 14859.3564 304.1626 17.07 0.022
OBS: 54636.21 H NULL 18655.2039 717.9354 16.823 0.041
OBS: 54638.26 E NULL 3787.913 392.3153 18.554 0.107
OBS: 54638.26 F NULL 8741.7826 344.7879 17.646 0.042
OBS: 54638.26 G NULL 12566.0852 568.0052 17.252 0.048
OBS: 54638.26 H NULL 17013.7482 752.6749 16.923 0.047
OBS: 54643.22 E NULL 2953.9286 456.4296 18.824 0.156
OBS: 54643.22 F NULL 6403.2432 173.3351 17.984 0.029
OBS: 54643.22 G NULL 9078.2053 340.6907 17.605 0.04
OBS: 54643.22 H NULL 11673.4708 471.5986 17.332 0.043
OBS: 54646.22 E NULL 2865.4973 219.1109 18.857 0.08
OBS: 54646.22 F NULL 5365.374 232.202 18.176 0.046
OBS: 54646.22 G NULL 8076.0686 233.9118 17.732 0.031
OBS: 54646.22 H NULL 9506.0479 484.746 17.555 0.054
OBS: 54649.22 E NULL 2679.1683 272.0409 18.93 0.105
OBS: 54649.22 F NULL 4764.3099 187.9109 18.305 0.042
OBS: 54649.22 G NULL 6848.5716 250.4746 17.911 0.039
OBS: 54649.22 H NULL 8287.0508 279.3818 17.704 0.036
OBS: 54653.22 E NULL 2011.8704 188.0147 19.241 0.097
OBS: 54653.22 F NULL 4729.3341 195.5951 18.313 0.044
OBS: 54653.22 G NULL 5834.451 213.3849 18.085 0.039
OBS: 54653.22 H NULL 6263.2536 398.6754 18.008 0.067
END:
