SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNID: 2002cs 
IAUC: 2002cs
RA:   281.749830 deg
DECL:    45.705470 deg 
RA_HOST:   281.739920
DEC_HOST:    45.705670
MWEBV:  0.092 MW E(B-V) 
REDSHIFT_HELIO: 0.015838 +- 3e-05 
REDSHIFT_CMB: 0.0153767 +- 3e-05 
VPEC: -154.7994 +- 250.0
SEARCH_PEAKMJD: 52409.0
FILTERS: ABCDEFGHIJKLMNOP
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
NOBS:   136
NVAR:   7
VARLIST: MJD FIELD FLT FLUXCAL FLUXCALERR MAG MAGERR
OBS: 52400.0 NULL A 31390.628 375.763 16.258 0.013 
OBS: 52401.0 NULL A 37948.971 419.326 16.052 0.012 
OBS: 52403.0 NULL A 47687.000 395.196 15.804 0.009 
OBS: 52405.0 NULL A 56963.937 472.077 15.611 0.009 
OBS: 52407.0 NULL A 61489.364 509.580 15.528 0.009 
OBS: 52409.0 NULL A 62632.536 519.054 15.508 0.009 
OBS: 52410.9 NULL A 60255.959 499.359 15.550 0.009 
OBS: 52416.0 NULL A 48172.590 399.220 15.793 0.009 
OBS: 52418.0 NULL A 43411.021 399.733 15.906 0.010 
OBS: 52419.9 NULL A 36341.262 401.561 16.099 0.012 
OBS: 52421.9 NULL A 29840.081 274.771 16.313 0.010 
OBS: 52424.9 NULL A 22552.776 269.969 16.617 0.013 
OBS: 52427.9 NULL A 16054.619 133.049 16.986 0.009 
OBS: 52430.9 NULL A 11716.557 248.141 17.328 0.023 
OBS: 52435.0 NULL A 8701.618 152.238 17.651 0.019 
OBS: 52435.8 NULL A 8120.822 119.644 17.726 0.016 
OBS: 52439.9 NULL A 6723.571 154.778 17.931 0.025 
OBS: 52443.9 NULL A 5480.245 126.157 18.153 0.025 
OBS: 52447.9 NULL A 4866.313 237.490 18.282 0.053 
OBS: 52451.9 NULL A 4621.681 187.250 18.338 0.044 
OBS: 52456.9 NULL A 4222.795 233.304 18.436 0.060 
OBS: 52461.8 NULL A 3819.443 126.611 18.545 0.036 
OBS: 52466.9 NULL A 3732.502 140.914 18.570 0.041 
OBS: 52471.8 NULL A 3460.987 82.860 18.652 0.026 
OBS: 52476.8 NULL A 3185.664 176.004 18.742 0.060 
OBS: 52481.8 NULL A 2876.074 177.437 18.853 0.067 
OBS: 52486.8 NULL A 2797.693 82.437 18.883 0.032 
OBS: 52491.7 NULL A 2479.705 109.600 19.014 0.048 
OBS: 52496.7 NULL A 2463.769 97.553 19.021 0.043 
OBS: 52501.7 NULL A 2379.030 138.010 19.059 0.063 
OBS: 52510.8 NULL A 2008.168 114.647 19.243 0.062 
OBS: 52519.7 NULL A 1856.949 109.433 19.328 0.064 
OBS: 52528.7 NULL A 1662.647 137.788 19.448 0.090 
OBS: 52539.6 NULL A 1693.558 229.238 19.428 0.147 
OBS: 52400.0 NULL B 34040.819 595.558 16.170 0.019 
OBS: 52401.0 NULL B 40142.092 369.633 15.991 0.010 
OBS: 52403.0 NULL B 49750.792 458.110 15.758 0.010 
OBS: 52405.0 NULL B 58559.856 539.225 15.581 0.010 
OBS: 52407.0 NULL B 63328.616 583.136 15.496 0.010 
OBS: 52409.0 NULL B 65584.317 603.907 15.458 0.010 
OBS: 52410.9 NULL B 66069.345 608.373 15.450 0.010 
OBS: 52416.0 NULL B 61546.024 566.722 15.527 0.010 
OBS: 52418.0 NULL B 58721.887 540.717 15.578 0.010 
OBS: 52419.9 NULL B 53752.665 544.456 15.674 0.011 
OBS: 52421.9 NULL B 48932.792 811.041 15.776 0.018 
OBS: 52424.9 NULL B 41610.219 383.151 15.952 0.010 
OBS: 52427.9 NULL B 34609.873 350.560 16.152 0.011 
OBS: 52430.9 NULL B 29053.603 267.529 16.342 0.010 
OBS: 52435.0 NULL B 24076.868 288.213 16.546 0.013 
OBS: 52435.8 NULL B 23377.604 215.263 16.578 0.010 
OBS: 52439.9 NULL B 19751.496 200.061 16.761 0.011 
OBS: 52443.9 NULL B 16703.212 261.468 16.943 0.017 
OBS: 52447.9 NULL B 13727.770 303.376 17.156 0.024 
OBS: 52451.9 NULL B 13206.873 218.898 17.198 0.018 
OBS: 52456.9 NULL B 11923.397 197.625 17.309 0.018 
OBS: 52461.8 NULL B 10471.285 318.188 17.450 0.033 
OBS: 52466.9 NULL B 9853.715 317.569 17.516 0.035 
OBS: 52471.8 NULL B 9289.664 145.418 17.580 0.017 
OBS: 52476.8 NULL B 8317.638 536.128 17.700 0.070 
OBS: 52481.8 NULL B 7543.971 277.863 17.806 0.040 
OBS: 52486.8 NULL B 6643.547 152.936 17.944 0.025 
OBS: 52491.7 NULL B 6148.936 158.536 18.028 0.028 
OBS: 52496.7 NULL B 5780.960 165.018 18.095 0.031 
OBS: 52501.7 NULL B 5233.594 144.574 18.203 0.030 
OBS: 52510.8 NULL B 4707.605 177.727 18.318 0.041 
OBS: 52519.7 NULL B 3805.397 150.674 18.549 0.043 
OBS: 52528.7 NULL B 3067.609 234.449 18.783 0.083 
OBS: 52539.6 NULL B 2691.535 262.710 18.925 0.106 
OBS: 52400.0 NULL C 40068.215 516.533 15.993 0.014 
OBS: 52401.0 NULL C 47076.048 520.177 15.818 0.012 
OBS: 52403.0 NULL C 57438.091 476.006 15.602 0.009 
OBS: 52405.0 NULL C 66496.686 551.078 15.443 0.009 
OBS: 52407.0 NULL C 72044.362 597.053 15.356 0.009 
