SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2005ki 
IAUC: 2005ki
RA:   160.117580 deg
DECL:     9.202330 deg 
RA_HOST:   160.118210
DEC_HOST:     9.182560
MWEBV: 0.027000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.019458 +- 8e-06 
REDSHIFT_CMB: 0.0206554 +- 8e-06 
VPEC: 88.401 +- 250.0
HOSTGAL_LOGMASS: 11.0820 +- 0.002
FILTERS: ABCDEFGHIJKLMNOP
SEARCH_PEAKMJD: 53707.4
NOBS: 99
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 53694.6 A NULL 12977.8 657.413 17.217 0.055
OBS: 53696.5 A NULL 24165.7 934.813 16.542 0.042
OBS: 53698.5 A NULL 34737.6 1247.79 16.148 0.039
OBS: 53700.6 A NULL 44463.1 1105.71 15.88 0.027
OBS: 53709.6 A NULL 44792 1196.39 15.872 0.029
OBS: 53711.5 A NULL 41152.9 1175 15.964 0.031
OBS: 53716.5 A NULL 25304.6 745.806 16.492 0.032
OBS: 53718.5 A NULL 19769.7 910.428 16.76 0.05
OBS: 53720.5 A NULL 15388.6 737.02 17.032 0.052
OBS: 53733.4 A NULL 4401.49 372.961 18.391 0.092
OBS: 53736.5 A NULL 3454.62 1756.36 18.654 0.552
OBS: 53740.5 A NULL 3262.87 273.475 18.716 0.091
OBS: 53743.6 A NULL 2726.47 208.427 18.911 0.083
OBS: 53745.5 A NULL 3133.29 305.901 18.76 0.106
OBS: 53747.4 A NULL 2659.5 1048.38 18.938 0.428
OBS: 53755.4 A NULL 2718.94 433.233 18.914 0.173
OBS: 53758.5 A NULL 2226.38 168.147 19.131 0.082
OBS: 53760.4 A NULL 2286.65 254.836 19.102 0.121
OBS: 53765.4 A NULL 2073.96 127.982 19.208 0.067
OBS: 53770.4 A NULL 1845.02 278.689 19.335 0.164
OBS: 53774.4 A NULL 1919.55 312.931 19.292 0.177
OBS: 53787.4 A NULL 1503.83 120.502 19.557 0.087
OBS: 53790.4 A NULL 1428.24 263.091 19.613 0.2
OBS: 53813.3 A NULL 1005.54 270.432 19.994 0.292
OBS: 53694.6 B NULL 13158.3 1224.04 17.202 0.101
OBS: 53696.5 B NULL 23615.7 1261.55 16.567 0.058
OBS: 53698.5 B NULL 33790.9 1742.86 16.178 0.056
OBS: 53700.6 B NULL 43772.4 1935.16 15.897 0.048
OBS: 53707.4 B NULL 54500.4 2208.66 15.659 0.044
OBS: 53709.6 B NULL 51144.6 1695.81 15.728 0.036
OBS: 53711.5 B NULL 47249.8 1784.27 15.814 0.041
OBS: 53713.6 B NULL 41610.2 2031.19 15.952 0.053
OBS: 53716.5 B NULL 34705.6 1406.46 16.149 0.044
OBS: 53718.5 B NULL 30199.5 1279.48 16.3 0.046
OBS: 53720.5 B NULL 27365.3 1411.44 16.407 0.056
OBS: 53733.4 B NULL 11178.9 1132.58 17.379 0.11
OBS: 53740.5 B NULL 8180.88 632.929 17.718 0.084
OBS: 53743.6 B NULL 7634.84 337.534 17.793 0.048
OBS: 53745.5 B NULL 6905.58 597.866 17.902 0.094
OBS: 53755.4 B NULL 5465.12 966.444 18.156 0.192
OBS: 53758.5 B NULL 4852.89 312.877 18.285 0.07
OBS: 53760.4 B NULL 4893.28 536.318 18.276 0.119
OBS: 53765.4 B NULL 4211.14 224.959 18.439 0.058
OBS: 53770.4 B NULL 3767.04 492.679 18.56 0.142
OBS: 53774.4 B NULL 3432.42 477.367 18.661 0.151
OBS: 53787.4 B NULL 2255.28 255.494 19.117 0.123
OBS: 53790.4 B NULL 2305.69 193.249 19.093 0.091
OBS: 53813.3 B NULL 1205.59 396.409 19.797 0.357
OBS: 53694.6 C NULL 14216.7 1833.17 17.118 0.14
OBS: 53696.5 C NULL 26915.3 1884.04 16.425 0.076
OBS: 53698.5 C NULL 41342.8 2665.47 15.959 0.07
OBS: 53700.6 C NULL 48932.8 2884.4 15.776 0.064
OBS: 53707.4 C NULL 58559.9 3236.14 15.581 0.06
OBS: 53709.6 C NULL 54651.2 2063.76 15.656 0.041
OBS: 53711.5 C NULL 48752.8 2424.76 15.78 0.054
OBS: 53713.6 C NULL 40068.2 2140.44 15.993 0.058
OBS: 53716.5 C NULL 32092.2 1832.6 16.234 0.062
OBS: 53718.5 C NULL 29484.9 1439.3 16.326 0.053
OBS: 53720.5 C NULL 29053.6 2167.51 16.342 0.081
OBS: 53733.4 C NULL 16951.2 1733 16.927 0.111
OBS: 53740.5 C NULL 11220.2 651.053 17.375 0.063
OBS: 53743.6 C NULL 10413.6 393.242 17.456 0.041
OBS: 53745.5 C NULL 9638.29 994.246 17.54 0.112
OBS: 53747.4 C NULL 8271.8 1310.4 17.706 0.172
OBS: 53755.4 C NULL 6109.42 1282.95 18.035 0.228
OBS: 53758.5 C NULL 5992.39 408.42 18.056 0.074
OBS: 53760.4 C NULL 5899.29 923.687 18.073 0.17
OBS: 53765.4 C NULL 4651.57 261.34 18.331 0.061
OBS: 53770.4 C NULL 4289.43 205.437 18.419 0.052
OBS: 53774.4 C NULL 3701.69 231.838 18.579 0.068
OBS: 53777.4 C NULL 3171.03 332.951 18.747 0.114
OBS: 53787.4 C NULL 2075.87 231.345 19.207 0.121
