SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2007fs 
IAUC: 2007fs
RA:   330.418500 deg
DECL:   -21.508220 deg 
RA_HOST:   330.408210
DEC_HOST:   -21.511170
MWEBV: 0.029000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.017375 +- 0.00015 
REDSHIFT_CMB: 0.0163257 +- 0.00015 
VPEC: -98.053 +- 250.0
HOSTGAL_LOGMASS: -9.0000 +- -9.000
FILTERS: ABCDEFGHIJKLMNOP
SEARCH_PEAKMJD: 54297.4
NOBS: 154
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 54297.4 E NULL 74954.9 2416.26 15.313 0.035
OBS: 54299.4 E NULL 69630.6 1795.7 15.393 0.028
OBS: 54301.4 E NULL 66680.7 1781.04 15.44 0.029
OBS: 54303.4 E NULL 55924.2 1236.19 15.631 0.024
OBS: 54306.4 E NULL 45582.7 1049.58 15.853 0.025
OBS: 54308.3 E NULL 38618.9 2383.15 16.033 0.067
OBS: 54315.4 E NULL 21517.9 1070.21 16.668 0.054
OBS: 54316.1 I NULL 19054.6 421.199 16.8 0.024
OBS: 54317.1 I NULL 17394 464.594 16.899 0.029
OBS: 54318.3 E NULL 15617.1 690.426 17.016 0.048
OBS: 54321.3 E NULL 12450.9 366.966 17.262 0.032
OBS: 54323.1 I NULL 10404 268.308 17.457 0.028
OBS: 54324.1 I NULL 9763.38 179.848 17.526 0.02
OBS: 54324.3 E NULL 9808.44 352.322 17.521 0.039
OBS: 54327.3 E NULL 8113.35 343.743 17.727 0.046
OBS: 54330.3 E NULL 6350.38 292.446 17.993 0.05
OBS: 54332 I NULL 6143.28 147.112 18.029 0.026
OBS: 54333 I NULL 5910.17 141.53 18.071 0.026
OBS: 54333.3 E NULL 6092.56 252.516 18.038 0.045
OBS: 54336 I NULL 5147.54 346.098 18.221 0.073
OBS: 54336.3 E NULL 5044.29 566.807 18.243 0.122
OBS: 54344.1 I NULL 4655.86 244.428 18.33 0.057
OBS: 54345.3 E NULL 5109.75 498.863 18.229 0.106
OBS: 54348.3 E NULL 4533.15 430.044 18.359 0.103
OBS: 54353.3 E NULL 3805.4 238.333 18.549 0.068
OBS: 54357 I NULL 3763.57 277.31 18.561 0.08
OBS: 54357.3 E NULL 3787.91 268.637 18.554 0.077
OBS: 54358 I NULL 3677.9 149.049 18.586 0.044
OBS: 54360.2 E NULL 3590.87 377.034 18.612 0.114
OBS: 54363.9 I NULL 3830.01 423.308 18.542 0.12
OBS: 54364.2 E NULL 3476.96 624.468 18.647 0.195
OBS: 54370.3 E NULL 3259.87 834.681 18.717 0.278
OBS: 54373.2 E NULL 2908.04 535.68 18.841 0.2
OBS: 54376.2 E NULL 2769.49 385.17 18.894 0.151
OBS: 54379.2 E NULL 2772.04 1013.6 18.893 0.397
OBS: 54380 I NULL 2828.79 187.589 18.871 0.072
OBS: 54382.2 E NULL 2900.01 221.694 18.844 0.083
OBS: 54387.2 E NULL 2312.06 332.2 19.09 0.156
OBS: 54297.4 F NULL 79946.6 1325.4 15.243 0.018
OBS: 54299.4 F NULL 78995.1 1018.6 15.256 0.014
OBS: 54301.4 F NULL 77054.9 1277.46 15.283 0.018
OBS: 54303.4 F NULL 69374.5 958.444 15.397 0.015
OBS: 54306.4 F NULL 60422.7 1335.63 15.547 0.024
OBS: 54308.3 F NULL 53901.4 1191.48 15.671 0.024
OBS: 54315.4 F NULL 38976.2 897.461 16.023 0.025
OBS: 54316.1 J NULL 37325 412.531 16.07 0.012
OBS: 54317.1 J NULL 36008.1 663.293 16.109 0.02
OBS: 54318.3 F NULL 33635.7 1022.33 16.183 0.033
OBS: 54321.3 F NULL 29430.7 542.133 16.328 0.02
OBS: 54323.1 J NULL 27014.7 348.34 16.421 0.014
OBS: 54324.1 J NULL 25585.9 282.785 16.48 0.012
OBS: 54324.3 F NULL 24592.3 588.91 16.523 0.026
OBS: 54327.3 F NULL 21301 490.474 16.679 0.025
OBS: 54330.3 F NULL 18416.2 424.049 16.837 0.025
OBS: 54332 J NULL 16158.5 267.885 16.979 0.018
OBS: 54333 J NULL 15588.3 258.433 17.018 0.018
OBS: 54333.3 F NULL 15346.2 607.777 17.035 0.043
OBS: 54336 J NULL 13893.1 601.414 17.143 0.047
OBS: 54336.3 F NULL 13842 624.7 17.147 0.049
OBS: 54344.1 J NULL 10461.6 337.244 17.451 0.035
OBS: 54345.3 F NULL 10204.7 535.736 17.478 0.057
OBS: 54348.3 F NULL 9954.05 412.561 17.505 0.045
OBS: 54353.3 F NULL 8511.38 344.928 17.675 0.044
OBS: 54357 J NULL 7841.52 346.671 17.764 0.048
OBS: 54357.3 F NULL 7627.81 372.35 17.794 0.053
OBS: 54358 J NULL 7392.65 217.884 17.828 0.032
OBS: 54360.2 F NULL 7509.31 670.884 17.811 0.097
OBS: 54363.9 J NULL 8774.05 1648.56 17.642 0.204
OBS: 54364.2 F NULL 6643.55 722.034 17.944 0.118
OBS: 54370.3 F NULL 5834.45 773.817 18.085 0.144
OBS: 54373.2 F NULL 5100.35 460.364 18.231 0.098
OBS: 54376.2 F NULL 4956.78 337.837 18.262 0.074
OBS: 54379.2 F NULL 5301.52 722.666 18.189 0.148
OBS: 54380 J NULL 4742.42 305.755 18.31 0.07
OBS: 54382.2 F NULL 4246.2 387.178 18.43 0.099
OBS: 54387.2 F NULL 4021.61 463.005 18.489 0.125
OBS: 54297.4 G NULL 83406.5 1305.94 15.197 0.017
OBS: 54299.4 G NULL 81358 1049.07 15.224 0.014
OBS: 54301.4 G NULL 74954.9 1104.58 15.313 0.016
OBS: 54303.4 G NULL 68422.7 1071.33 15.412 0.017
OBS: 54306.4 G NULL 55309.5 967.897 15.643 0.019
OBS: 54308.3 G NULL 47467.9 1136.71 15.809 0.026
OBS: 54315.4 G NULL 38476.9 885.963 16.037 0.025
OBS: 54316.1 K NULL 40401.7 409.325 15.984 0.011
OBS: 54317.1 K NULL 40550.9 485.533 15.98 0.013
OBS: 54318.3 G NULL 37051 1057.88 16.078 0.031
OBS: 54321.3 G NULL 36041.3 763.49 16.108 0.023
OBS: 54323.1 K NULL 36307.8 501.611 16.1 0.015
OBS: 54324.1 K NULL 26865.8 4503.47 16.427 0.182
OBS: 54324.3 G NULL 33235.3 795.883 16.196 0.026
OBS: 54327.3 G NULL 29703 766.009 16.318 0.028
OBS: 54330.3 G NULL 24865.7 709.966 16.511 0.031
