SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2008fu 
IAUC: 2008fu
RA:    45.618750 deg
DECL:   -24.455970 deg 
RA_HOST:    45.619540
DEC_HOST:   -24.455830
MWEBV: 0.019000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.052016 +- 0.00015 
REDSHIFT_CMB: 0.0514568 +- 0.00015 
VPEC: 14.8071 +- 250.0
HOSTGAL_LOGMASS: -9.0000 +- -9.000
FILTERS: ABCDEFGHIJKLMNOP
SEARCH_PEAKMJD: 54747.2
NOBS: 34
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 54740.2 I NULL 5243.24 111.072 18.201 0.023
OBS: 54747.2 I NULL 2251.13 99.5215 19.119 0.048
OBS: 54754.1 I NULL 2267.78 933.648 19.111 0.447
OBS: 54765.1 I NULL 483.059 121.461 20.79 0.273
OBS: 54784 I NULL 1200.05 1109.71 19.802 1.004
OBS: 54786 I NULL 794.328 160.221 20.25 0.219
OBS: 54788 I NULL 554.115 131.162 20.641 0.257
OBS: 54790 I NULL 906.15 576.705 20.107 0.691
OBS: 54812 I NULL 1015.78 402.295 19.983 0.43
OBS: 54830.9 I NULL 964.717 74.6371 20.039 0.084
OBS: 54740.2 J NULL 5981.36 126.708 18.058 0.023
OBS: 54747.2 J NULL 3688.08 146.064 18.583 0.043
OBS: 54754.1 J NULL 2836.61 851.713 18.868 0.326
OBS: 54784 J NULL 1545.97 598.033 19.527 0.42
OBS: 54786 J NULL 869.361 192.171 20.152 0.24
OBS: 54788 J NULL 757.182 149.241 20.302 0.214
OBS: 54790 J NULL 1215.63 785.982 19.788 0.702
OBS: 54812 J NULL 806.121 406.871 20.234 0.548
OBS: 54740.2 K NULL 5025.74 171.268 18.247 0.037
OBS: 54747.2 K NULL 2886.69 571.629 18.849 0.215
OBS: 54754.1 K NULL 1567.47 1032.24 19.512 0.715
OBS: 54761.1 K NULL 2100.87 404.41 19.194 0.209
OBS: 54765.1 K NULL 1617.34 157.9 19.478 0.106
OBS: 54784 K NULL 1002.77 843.231 19.997 0.913
OBS: 54786 K NULL 915.377 644.123 20.096 0.764
OBS: 54788 K NULL 973.644 206.255 20.029 0.23
OBS: 54830.9 K NULL 538.518 186.493 20.672 0.376
OBS: 54740.2 L NULL 4218.91 283.66 18.437 0.073
OBS: 54747.2 L NULL 6792.04 738.172 17.92 0.118
OBS: 54754.1 L NULL 4111.5 2063.82 18.465 0.545
OBS: 54761.1 L NULL 3025.52 2000.78 18.798 0.718
OBS: 54765.1 L NULL 2689.06 292.252 18.926 0.118
OBS: 54784 L NULL 3454.62 2351.37 18.654 0.739
OBS: 54786 L NULL 1352.7 1138.73 19.672 0.914
END:
