SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2008gg 
IAUC: 2008gg
RA:    21.346000 deg
DECL:   -18.172440 deg 
RA_HOST:    21.340540
DEC_HOST:   -18.163860
MWEBV: 0.021000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.032025 +- 0.00015 
REDSHIFT_CMB: 0.0310728 +- 0.00015 
VPEC: -18.6955 +- 250.0
HOSTGAL_LOGMASS: -9.0000 +- -9.000
FILTERS: ABCDEFGHIJKLMNOP
SEARCH_PEAKMJD: 54751.3
NOBS: 55
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 54749.3 E NULL 19879.3 659.141 16.754 0.036
OBS: 54751.3 E NULL 20587.3 1061.85 16.716 0.056
OBS: 54755.4 E NULL 16550.1 1356.64 16.953 0.089
OBS: 54757.3 E NULL 15402.8 595.834 17.031 0.042
OBS: 54761.3 E NULL 11684.2 624.171 17.331 0.058
OBS: 54777.3 E NULL 2967.56 426.383 18.819 0.156
OBS: 54784 I NULL 2112.52 589.547 19.188 0.303
OBS: 54787.3 E NULL 1978.79 382.732 19.259 0.21
OBS: 54794.3 E NULL 1284.69 351.425 19.728 0.297
OBS: 54802.2 E NULL 1358.94 235.306 19.667 0.188
OBS: 54806.2 E NULL 1247.38 541.124 19.76 0.471
OBS: 54811.9 I NULL 1509.38 424.009 19.553 0.305
OBS: 54749.3 F NULL 22304.9 677.937 16.629 0.033
OBS: 54751.3 F NULL 23593.9 1086.54 16.568 0.05
OBS: 54755.4 F NULL 21657.1 1077.13 16.661 0.054
OBS: 54757.3 F NULL 21125.2 719.909 16.688 0.037
OBS: 54761.3 F NULL 17571.1 534.059 16.888 0.033
OBS: 54767.3 F NULL 8487.9 3611.75 17.678 0.462
OBS: 54777.3 F NULL 7935.97 562.816 17.751 0.077
OBS: 54784 J NULL 5176.07 977.304 18.215 0.205
OBS: 54787.3 F NULL 5161.79 351.809 18.218 0.074
OBS: 54790.3 F NULL 4742.42 1869.47 18.31 0.428
OBS: 54794.3 F NULL 3760.11 779.217 18.562 0.225
OBS: 54802.2 F NULL 2797.69 391.669 18.883 0.152
OBS: 54806.2 F NULL 3110.28 621.635 18.768 0.217
OBS: 54810.3 F NULL 2097.01 772.566 19.196 0.4
OBS: 54811.9 J NULL 2068.24 495.278 19.211 0.26
OBS: 54818.1 F NULL 1655.01 942.029 19.453 0.618
OBS: 54827.1 F NULL 2708.94 1357.3 18.918 0.544
OBS: 54749.3 G NULL 23291.6 858.096 16.582 0.04
OBS: 54751.3 G NULL 24728.6 956.588 16.517 0.042
OBS: 54755.4 G NULL 23550.5 1518.36 16.57 0.07
OBS: 54757.3 G NULL 21897.8 806.744 16.649 0.04
OBS: 54761.3 G NULL 16734 878.518 16.941 0.057
OBS: 54777.3 G NULL 11803.2 815.337 17.32 0.075
OBS: 54784 K NULL 9549.93 712.46 17.55 0.081
OBS: 54787.3 G NULL 7805.49 460.104 17.769 0.064
OBS: 54790.3 G NULL 9349.75 1963.41 17.573 0.228
OBS: 54794.3 G NULL 3476.96 1130.45 18.647 0.353
OBS: 54802.2 G NULL 4277.6 484.597 18.422 0.123
OBS: 54806.2 G NULL 3999.45 618.849 18.495 0.168
OBS: 54810.3 G NULL 3274.91 748.044 18.712 0.248
OBS: 54811.9 K NULL 3345.03 341.978 18.689 0.111
OBS: 54827.1 G NULL 3729.07 1648.61 18.571 0.48
OBS: 54749.3 H NULL 14521.1 1217.07 17.095 0.091
OBS: 54751.3 H NULL 13957.3 1555.47 17.138 0.121
OBS: 54755.4 H NULL 13085.8 1807.87 17.208 0.15
OBS: 54757.3 H NULL 10413.6 2464.95 17.456 0.257
OBS: 54761.3 H NULL 7848.74 1481.94 17.763 0.205
OBS: 54777.3 H NULL 9120.11 1226.39 17.6 0.146
OBS: 54784 L NULL 8717.66 2657.69 17.649 0.331
OBS: 54787.3 H NULL 8448.9 638.101 17.683 0.082
OBS: 54806.2 H NULL 3922.83 1033.34 18.516 0.286
OBS: 54810.3 H NULL 2625.43 1230.82 18.952 0.509
OBS: 54811.9 L NULL 3419.79 604.751 18.665 0.192
END:
