SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2009eu 
IAUC: 2009eu
RA:   247.171370 deg
DECL:    39.553470 deg 
RA_HOST:   247.161692
DEC_HOST:    39.551826
MWEBV: 0.010000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.029831 +- 0.001555 
REDSHIFT_CMB: 0.0299123 +- 0.001555 
VPEC: 287.0627 +- 250.0
HOSTGAL_LOGMASS: 11.2951 +- 0.002
FILTERS: ABCDEFGHIJKLMNOP
SEARCH_PEAKMJD: 54984.4
NOBS: 97
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 54978.4 E NULL 5214.35 216.117 18.207 0.045
OBS: 54980.4 E NULL 6760.83 927.816 17.925 0.149
OBS: 54984.4 E NULL 8757.9 572.709 17.644 0.071
OBS: 54986.3 E NULL 8256.58 699.622 17.708 0.092
OBS: 54991.4 E NULL 3977.41 589.796 18.501 0.161
OBS: 54993.4 E NULL 3647.54 416.579 18.595 0.124
OBS: 54996.3 E NULL 2104.75 257.826 19.192 0.133
OBS: 55002.3 E NULL 1287.06 241.828 19.726 0.204
OBS: 55005.3 E NULL 1315.83 375.697 19.702 0.31
OBS: 55008.3 E NULL 1228 270.317 19.777 0.239
OBS: 55015.3 E NULL 852.707 364.413 20.173 0.464
OBS: 55025.1 M NULL 482.614 146.686 20.791 0.33
OBS: 55029.3 E NULL 551.061 247.683 20.647 0.488
OBS: 55032.1 M NULL 446.684 62.123 20.875 0.151
OBS: 55032.2 E NULL 529.663 232.211 20.69 0.476
OBS: 55035.3 E NULL 490.23 146.744 20.774 0.325
OBS: 55038.2 E NULL 434.51 216.908 20.905 0.542
OBS: 55040 M NULL 433.711 110.252 20.907 0.276
OBS: 55042 M NULL 315.355 86.2645 21.253 0.297
OBS: 55047 M NULL 306.196 198.258 21.285 0.703
OBS: 54978.4 F NULL 5855.99 302.039 18.081 0.056
OBS: 54980.4 F NULL 9558.73 2544.33 17.549 0.289
OBS: 54984.4 F NULL 9488.55 620.489 17.557 0.071
OBS: 54986.3 F NULL 10185.9 525.368 17.48 0.056
OBS: 54989.4 F NULL 9196.02 736.877 17.591 0.087
OBS: 54991.4 F NULL 7620.79 505.369 17.795 0.072
OBS: 54993.4 F NULL 7244.36 480.406 17.85 0.072
OBS: 54996.3 F NULL 5582.13 385.6 18.133 0.075
OBS: 55002.3 F NULL 3594.18 288.002 18.611 0.087
OBS: 55005.3 F NULL 2632.69 310.374 18.949 0.128
OBS: 55008.3 F NULL 2037.98 319.098 19.227 0.17
OBS: 55015.3 F NULL 1570.36 348.572 19.51 0.241
OBS: 55019.1 N NULL 1302.57 249.539 19.713 0.208
OBS: 55022.3 F NULL 962.942 374.273 20.041 0.422
OBS: 55025.1 N NULL 1452.11 271.501 19.595 0.203
OBS: 55025.2 F NULL 1248.53 303.585 19.759 0.264
OBS: 55026.3 F NULL 1328.01 283.768 19.692 0.232
OBS: 55032.1 N NULL 869.361 112.1 20.152 0.14
OBS: 55032.2 F NULL 1113.78 526.251 19.883 0.513
OBS: 55034 N NULL 1021.41 131.705 19.977 0.14
OBS: 55035.3 F NULL 834.834 253.74 20.196 0.33
OBS: 55038.2 F NULL 985.372 262.285 20.016 0.289
OBS: 55041.2 F NULL 855.855 400.442 20.169 0.508
OBS: 55042 N NULL 624.597 119.657 20.511 0.208
OBS: 55044.2 F NULL 818.088 268.995 20.218 0.357
OBS: 55047 N NULL 686.752 265.659 20.408 0.42
OBS: 54978.4 G NULL 7426.77 417.259 17.823 0.061
OBS: 54980.4 G NULL 9594.01 812.949 17.545 0.092
OBS: 54984.4 G NULL 12531.4 981.058 17.255 0.085
OBS: 54986.3 G NULL 12044.8 565.778 17.298 0.051
OBS: 54989.4 G NULL 10587.7 867.892 17.438 0.089
OBS: 54991.4 G NULL 9264.03 750.859 17.583 0.088
OBS: 54993.4 G NULL 9289.66 547.59 17.58 0.064
OBS: 54996.3 G NULL 7841.52 483.894 17.764 0.067
OBS: 55002.3 G NULL 5727.96 453.706 18.105 0.086
OBS: 55005.3 G NULL 4434.04 502.32 18.383 0.123
OBS: 55008.3 G NULL 3369.77 350.715 18.681 0.113
OBS: 55015.3 G NULL 2644.84 684.513 18.944 0.281
OBS: 55019.1 O NULL 2301.44 250.125 19.095 0.118
OBS: 55022.3 G NULL 2032.36 370.63 19.23 0.198
OBS: 55025.1 O NULL 1855.24 205.049 19.329 0.12
OBS: 55025.2 G NULL 1924.86 381.166 19.289 0.215
OBS: 55026.3 G NULL 1862.09 258.972 19.325 0.151
OBS: 55029.3 G NULL 1488.68 272.853 19.568 0.199
OBS: 55032.1 O NULL 1465.55 136.332 19.585 0.101
OBS: 55032.2 G NULL 1226.87 306.228 19.778 0.271
OBS: 55035.3 G NULL 1290.62 199.703 19.723 0.168
OBS: 55038.2 G NULL 912.851 278.294 20.099 0.331
OBS: 55040 O NULL 1152.39 186.805 19.846 0.176
OBS: 55041.2 G NULL 859.805 326.267 20.164 0.412
OBS: 55042 O NULL 1077.46 145.879 19.919 0.147
OBS: 55044.2 G NULL 1166.27 334.069 19.833 0.311
OBS: 55047 O NULL 993.574 237.015 20.007 0.259
OBS: 54978.4 H NULL 7755.32 571.433 17.776 0.08
OBS: 54980.4 H NULL 9341.14 688.281 17.574 0.08
OBS: 54984.4 H NULL 11673.5 1128.92 17.332 0.105
OBS: 54986.3 H NULL 12033.7 1008.6 17.299 0.091
OBS: 54989.4 H NULL 8325.3 1364.88 17.699 0.178
OBS: 54991.4 H NULL 8806.43 640.771 17.638 0.079
OBS: 54993.4 H NULL 7935.97 935.59 17.751 0.128
OBS: 54996.3 H NULL 8425.58 636.34 17.686 0.082
OBS: 55002.3 H NULL 8068.63 728.286 17.733 0.098
OBS: 55005.3 H NULL 6552.39 814.722 17.959 0.135
OBS: 55008.3 H NULL 4677.35 512.652 18.325 0.119
OBS: 55015.1 P NULL 3404.08 322.933 18.67 0.103
OBS: 55019.1 P NULL 2826.18 380.039 18.872 0.146
OBS: 55022.3 H NULL 2116.41 709.54 19.186 0.364
OBS: 55025.1 P NULL 2257.36 332.656 19.116 0.16
OBS: 55026.3 H NULL 2344.23 667.166 19.075 0.309
OBS: 55029.3 H NULL 2193.81 759.737 19.147 0.376
OBS: 55032.1 P NULL 1276.44 280.979 19.735 0.239
OBS: 55032.2 H NULL 1460.16 546.011 19.589 0.406
OBS: 55035.3 H NULL 1955.24 452.011 19.272 0.251
OBS: 55038.2 H NULL 1695.12 594.841 19.427 0.381
OBS: 55040 P NULL 1207.81 421.614 19.795 0.379
OBS: 55042 P NULL 727.11 229.705 20.346 0.343
OBS: 55047 P NULL 776.247 356.045 20.275 0.498
END:
