SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2010ao 
IAUC: 2010ao
RA:   205.920790 deg
DECL:     3.900030 deg 
RA_HOST:   205.917500
DEC_HOST:     3.896000
MWEBV: 0.023000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.023197 +- 1.3e-05 
REDSHIFT_CMB: 0.0241706 +- 1.3e-05 
VPEC: 155.8499 +- 250.0
HOSTGAL_LOGMASS: 10.5756 +- 0.003
FILTERS: ABCDEFGHIJKLMNOP
SEARCH_PEAKMJD: 55288.5
NOBS: 48
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 55282.4 E NULL 30033.1 1272.43 16.306 0.046
OBS: 55288.5 E NULL 42697.3 2084.26 15.924 0.053
OBS: 55293.4 E NULL 37085.1 785.604 16.077 0.023
OBS: 55295.4 E NULL 32062.7 1299.36 16.235 0.044
OBS: 55304.4 E NULL 13134.1 762.107 17.204 0.063
OBS: 55309.3 E NULL 7979.95 411.589 17.745 0.056
OBS: 55317.4 E NULL 4130.48 399.452 18.46 0.105
OBS: 55319.4 E NULL 3861.89 426.832 18.533 0.12
OBS: 55322.4 E NULL 3448.26 1054.42 18.656 0.332
OBS: 55328.3 E NULL 2106.69 1360.17 19.191 0.701
OBS: 55330.4 E NULL 2698.98 350.505 18.922 0.141
OBS: 55337.4 E NULL 1763.6 458.063 19.384 0.282
OBS: 55282.4 F NULL 28080.2 1189.69 16.379 0.046
OBS: 55284.4 F NULL 37774.6 3548.75 16.057 0.102
OBS: 55288.5 F NULL 41077.1 1551.17 15.966 0.041
OBS: 55293.4 F NULL 38335.4 812.089 16.041 0.023
OBS: 55295.4 F NULL 35350.9 1302.37 16.129 0.04
OBS: 55304.4 F NULL 21086.3 1281.8 16.69 0.066
OBS: 55309.3 F NULL 16920 545.436 16.929 0.035
OBS: 55317.4 F NULL 11749 551.882 17.325 0.051
OBS: 55319.4 F NULL 10232.9 678.591 17.475 0.072
OBS: 55322.4 F NULL 8143.29 1717.56 17.723 0.229
OBS: 55328.3 F NULL 6269.02 519.659 18.007 0.09
OBS: 55330.4 F NULL 6234.48 539.764 18.013 0.094
OBS: 55337.4 F NULL 4333.11 969.799 18.408 0.243
OBS: 55282.4 G NULL 26989.8 3107.32 16.422 0.125
OBS: 55284.4 G NULL 37566.4 4048.2 16.063 0.117
OBS: 55293.4 G NULL 41995.2 1044.33 15.942 0.027
OBS: 55295.4 G NULL 37601.1 2354.97 16.062 0.068
OBS: 55304.4 G NULL 21677 1497.4 16.66 0.075
OBS: 55309.3 G NULL 21066.9 970.165 16.691 0.05
OBS: 55317.4 G NULL 16383.2 754.476 16.964 0.05
OBS: 55319.4 G NULL 15289.7 999.848 17.039 0.071
OBS: 55322.4 G NULL 8798.32 1774.68 17.639 0.219
OBS: 55328.3 G NULL 9019.86 664.608 17.612 0.08
OBS: 55330.4 G NULL 8542.8 1133.02 17.671 0.144
OBS: 55337.4 G NULL 4988.84 1167.1 18.255 0.254
OBS: 55288.5 H NULL 36982.8 3235.93 16.08 0.095
OBS: 55293.4 H NULL 30874.5 1763.06 16.276 0.062
OBS: 55295.4 H NULL 29812.6 4640.47 16.314 0.169
OBS: 55304.4 H NULL 20663.3 1636.72 16.712 0.086
OBS: 55309.3 H NULL 24254.9 2747.77 16.538 0.123
OBS: 55317.4 H NULL 23334.6 1955.77 16.58 0.091
OBS: 55319.4 H NULL 22428.5 2210.34 16.623 0.107
OBS: 55322.4 H NULL 14177.5 3747.64 17.121 0.287
OBS: 55328.3 H NULL 13219 1558.42 17.197 0.128
OBS: 55330.4 H NULL 14073.4 2903.51 17.129 0.224
OBS: 55337.4 H NULL 10529.3 1212.23 17.444 0.125
END:
