SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2010hs 
IAUC: 2010hs
RA:    36.413080 deg
DECL:    24.764890 deg 
RA_HOST:    36.406960
DEC_HOST:    24.766060
MWEBV: 0.100000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.076 +- 0.005 
REDSHIFT_CMB: 0.0751414 +- 0.005 
VPEC: -129.295613 +- 250.0
HOSTGAL_LOGMASS: 10.8246 +- 0.005
FILTERS: ABCDEFGHIJKLMNOP
SEARCH_PEAKMJD: 55458.5
NOBS: 35
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 55454.5 E NULL 2810.61 597.981 18.878 0.231
OBS: 55456.5 E NULL 3165.19 303.186 18.749 0.104
OBS: 55460.4 E NULL 2802.85 185.87 18.881 0.072
OBS: 55468.4 E NULL 1875.86 397.378 19.317 0.23
OBS: 55470.5 E NULL 1521.95 133.168 19.544 0.095
OBS: 55473.4 E NULL 1395.73 308.523 19.638 0.24
OBS: 55476.5 E NULL 914.534 181.098 20.097 0.215
OBS: 55479.4 E NULL 719.118 102.661 20.358 0.155
OBS: 55482.4 E NULL 428.549 92.3616 20.92 0.234
OBS: 55454.5 F NULL 3110.28 126.046 18.768 0.044
OBS: 55456.5 F NULL 3197.42 356.337 18.738 0.121
OBS: 55458.5 F NULL 3118.89 112.032 18.765 0.039
OBS: 55460.4 F NULL 3144.85 196.963 18.756 0.068
OBS: 55470.5 F NULL 2181.72 144.68 19.153 0.072
OBS: 55473.4 F NULL 1935.53 340.494 19.283 0.191
OBS: 55476.5 F NULL 1503.83 199.452 19.557 0.144
OBS: 55479.4 F NULL 1385.48 118.675 19.646 0.093
OBS: 55482.4 F NULL 980.844 131.895 20.021 0.146
OBS: 55454.5 G NULL 3496.23 144.907 18.641 0.045
OBS: 55456.5 G NULL 3448.26 603.433 18.656 0.19
OBS: 55458.5 G NULL 3705.1 156.976 18.578 0.046
OBS: 55460.4 G NULL 3577.67 207.595 18.616 0.063
OBS: 55468.4 G NULL 3113.15 825.787 18.767 0.288
OBS: 55470.5 G NULL 2472.86 138.933 19.017 0.061
OBS: 55473.4 G NULL 2054.94 728.679 19.218 0.385
OBS: 55476.5 G NULL 1768.48 208.49 19.381 0.128
OBS: 55479.4 G NULL 1855.24 141.825 19.329 0.083
OBS: 55482.4 G NULL 1753.88 235.846 19.39 0.146
OBS: 55454.5 H NULL 2447.94 383.287 19.028 0.17
OBS: 55458.5 H NULL 2558.59 365.264 18.98 0.155
OBS: 55460.4 H NULL 2189.78 451.777 19.149 0.224
OBS: 55470.5 H NULL 1505.22 327.181 19.556 0.236
OBS: 55476.5 H NULL 1204.48 303.967 19.798 0.274
OBS: 55479.4 H NULL 1205.59 274.266 19.797 0.247
OBS: 55482.4 H NULL 897.842 273.718 20.117 0.331
END:
