SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2011M 
IAUC: 2011M
RA:    75.173120 deg
DECL:    62.244060 deg 
RA_HOST:    75.182120
DEC_HOST:    62.244030
MWEBV: 0.352000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.017439 +- 4e-05 
REDSHIFT_CMB: 0.0172772 +- 4e-05 
VPEC: -370.7789 +- 250.0
HOSTGAL_LOGMASS: -9.0000 +- -9.000
FILTERS: ABCDEFGHIJKLMNOP
SEARCH_PEAKMJD: 55595.2
NOBS: 42
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 55585.3 E NULL 12462.4 206.609 17.261 0.018
OBS: 55587.2 E NULL 15907.4 600.703 16.996 0.041
OBS: 55589.3 E NULL 19915.9 1339.06 16.752 0.073
OBS: 55592.3 E NULL 21998.9 344.449 16.644 0.017
OBS: 55595.2 E NULL 21164.1 350.872 16.686 0.018
OBS: 55598.2 E NULL 18810.5 381.152 16.814 0.022
OBS: 55602.2 E NULL 14401.2 371.393 17.104 0.028
OBS: 55605.2 E NULL 11282.4 290.96 17.369 0.028
OBS: 55615.2 E NULL 4085.07 161.787 18.472 0.043
OBS: 55620.2 E NULL 2240.78 222.895 19.124 0.108
OBS: 55625.2 E NULL 1905.46 415.934 19.3 0.237
OBS: 55585.3 F NULL 15574 631.144 17.019 0.044
OBS: 55587.2 F NULL 21066.9 679.116 16.691 0.035
OBS: 55589.3 F NULL 24592.3 1834.68 16.523 0.081
OBS: 55592.3 F NULL 27390.5 327.959 16.406 0.013
OBS: 55595.2 F NULL 26595 1665.65 16.438 0.068
OBS: 55598.2 F NULL 26841.1 568.596 16.428 0.023
OBS: 55602.2 F NULL 22782.4 482.618 16.606 0.023
OBS: 55605.2 F NULL 19019.5 1348.86 16.802 0.077
OBS: 55615.2 F NULL 11868.6 437.256 17.314 0.04
OBS: 55620.2 F NULL 8685.6 391.987 17.653 0.049
OBS: 55585.3 G NULL 20816.1 1514.62 16.704 0.079
OBS: 55587.2 G NULL 26841.1 939.419 16.428 0.038
OBS: 55589.3 G NULL 29349.5 3081.63 16.331 0.114
OBS: 55592.3 G NULL 35123.7 873.453 16.136 0.027
OBS: 55595.2 G NULL 35285.8 877.484 16.131 0.027
OBS: 55598.2 G NULL 33790.9 840.31 16.178 0.027
OBS: 55602.2 G NULL 28707.8 1877.3 16.355 0.071
OBS: 55605.2 G NULL 22908.7 1603.57 16.6 0.076
OBS: 55615.2 G NULL 16084.2 1051.8 16.984 0.071
OBS: 55620.2 G NULL 15275.7 647.193 17.04 0.046
OBS: 55625.2 G NULL 11673.5 1053.66 17.332 0.098
OBS: 55585.3 H NULL 26230.1 1304.58 16.453 0.054
OBS: 55587.2 H NULL 33052.2 1156.8 16.202 0.038
OBS: 55589.3 H NULL 35285.8 3672.44 16.131 0.113
OBS: 55592.3 H NULL 34135 1477.66 16.167 0.047
OBS: 55595.2 H NULL 31419.6 3125.36 16.257 0.108
OBS: 55598.2 H NULL 30255.2 1281.84 16.298 0.046
OBS: 55602.2 H NULL 23768.4 1247.82 16.56 0.057
OBS: 55605.2 H NULL 20492.7 1151.35 16.721 0.061
OBS: 55615.2 H NULL 24683.1 2296.13 16.519 0.101
OBS: 55620.2 H NULL 25118.9 1480.66 16.5 0.064
END:
