SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2011df 
IAUC: 2011df
RA:   291.890170 deg
DECL:    54.386470 deg 
RA_HOST:   291.899210
DEC_HOST:    54.372890
MWEBV: 0.112000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.014547 +- 1.9e-05 
REDSHIFT_CMB: 0.0140178 +- 1.9e-05 
VPEC: -268.9507 +- 250.0
HOSTGAL_LOGMASS: -9.0000 +- -9.000
FILTERS: ABCDEFGHIJKLMNOP
SEARCH_PEAKMJD: 55720.1
NOBS: 39
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 55720.1 M NULL 64863.4 298.707 15.47 0.005
OBS: 55722.1 M NULL 59156.2 272.424 15.57 0.005
OBS: 55727.1 M NULL 41879.4 347.151 15.945 0.009
OBS: 55733.1 M NULL 22243.3 143.408 16.632 0.007
OBS: 55735.1 M NULL 18264.2 185.041 16.846 0.011
OBS: 55739.1 M NULL 12145.1 123.046 17.289 0.011
OBS: 55749.1 M NULL 5850.59 118.549 18.082 0.022
OBS: 55750.1 M NULL 5592.42 103.016 18.131 0.02
OBS: 55767 M NULL 3571.08 65.7818 18.618 0.02
OBS: 55720.1 N NULL 73994.6 477.061 15.327 0.007
OBS: 55722.1 N NULL 71779.4 264.445 15.36 0.004
OBS: 55727.1 N NULL 58721.9 324.509 15.578 0.006
OBS: 55733.1 N NULL 42228 194.467 15.936 0.005
OBS: 55735.1 N NULL 38868.7 357.994 16.026 0.01
OBS: 55739.1 N NULL 31535.5 232.362 16.253 0.008
OBS: 55743.1 N NULL 25751.3 260.897 16.473 0.011
OBS: 55749.1 N NULL 18163.5 117.105 16.852 0.007
OBS: 55750.1 N NULL 16687.8 122.961 16.944 0.008
OBS: 55767 N NULL 9229.96 119.016 17.587 0.014
OBS: 55720.1 O NULL 86616.4 478.66 15.156 0.006
OBS: 55722.1 O NULL 81884.2 301.672 15.217 0.004
OBS: 55727.1 O NULL 62402.2 517.271 15.512 0.009
OBS: 55733.1 O NULL 46902.9 215.996 15.822 0.005
OBS: 55735.1 O NULL 45081.7 539.783 15.865 0.013
OBS: 55739.1 O NULL 43411 359.847 15.906 0.009
OBS: 55743.1 O NULL 40476.2 260.96 15.982 0.007
OBS: 55749.1 O NULL 30591.4 169.055 16.286 0.006
OBS: 55750.1 O NULL 28707.8 158.645 16.355 0.006
OBS: 55767 O NULL 14361.5 145.502 17.107 0.011
OBS: 55720.1 P NULL 61659.5 511.114 15.525 0.009
OBS: 55722.1 P NULL 58076.4 320.942 15.59 0.006
OBS: 55727.1 P NULL 45919.8 296.056 15.845 0.007
OBS: 55733.1 P NULL 44422.2 286.4 15.881 0.007
OBS: 55735.1 P NULL 45206.4 1290.74 15.862 0.031
OBS: 55739.1 P NULL 49888.4 551.388 15.755 0.012
OBS: 55743.1 P NULL 51951.7 382.794 15.711 0.008
OBS: 55749.1 P NULL 45373.3 292.532 15.858 0.007
OBS: 55750.1 P NULL 42815.4 315.476 15.921 0.008
OBS: 55767 P NULL 17522.7 338.918 16.891 0.021
END:
