SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2013bs 
IAUC: 2013bs
RA:   259.341790 deg
DECL:    41.066720 deg 
RA_HOST:   259.317790
DEC_HOST:    41.052720
MWEBV: 0.025000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.027612 +- 0.000117 
REDSHIFT_CMB: 0.0274858 +- 0.000117 
VPEC: 116.9842 +- 250.0
HOSTGAL_LOGMASS: 11.0341 +- 0.002
FILTERS: ABCDEFGHIJKLMNOP
SEARCH_PEAKMJD: 56410.5
NOBS: 48
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 56402.4 M NULL 13854.8 5538.16 17.146 0.434
OBS: 56410.5 M NULL 16935.6 296.367 16.928 0.019
OBS: 56413.4 M NULL 13353.7 430.471 17.186 0.035
OBS: 56421.4 M NULL 4549.88 201.149 18.355 0.048
OBS: 56425.5 M NULL 3047.89 78.602 18.79 0.028
OBS: 56430.5 M NULL 2307.81 82.8973 19.092 0.039
OBS: 56437.5 M NULL 1366.47 192.56 19.661 0.153
OBS: 56443.4 M NULL 1114.81 57.4995 19.882 0.056
OBS: 56447.4 M NULL 862.979 133.532 20.16 0.168
OBS: 56449.4 M NULL 991.745 63.0267 20.009 0.069
OBS: 56454.4 M NULL 715.155 282.575 20.364 0.429
OBS: 56402.4 N NULL 16718.6 538.944 16.942 0.035
OBS: 56410.5 N NULL 21281.4 803.636 16.68 0.041
OBS: 56413.4 N NULL 18603.7 394.097 16.826 0.023
OBS: 56417.5 N NULL 14125.4 390.299 17.125 0.03
OBS: 56421.4 N NULL 10139.1 149.416 17.485 0.016
OBS: 56425.5 N NULL 7712.59 213.107 17.782 0.03
OBS: 56430.5 N NULL 5546.26 229.873 18.14 0.045
OBS: 56433.4 N NULL 4341.1 299.873 18.406 0.075
OBS: 56437.5 N NULL 3212.18 221.89 18.733 0.075
OBS: 56443.4 N NULL 2657.05 97.8894 18.939 0.04
OBS: 56447.4 N NULL 2418.8 115.845 19.041 0.052
OBS: 56449.4 N NULL 2269.86 110.803 19.11 0.053
OBS: 56454.4 N NULL 2006.32 543.279 19.244 0.294
OBS: 56402.4 O NULL 20530.5 302.549 16.719 0.016
OBS: 56410.5 O NULL 23014.4 190.774 16.595 0.009
OBS: 56413.4 O NULL 18932.2 2040.15 16.807 0.117
OBS: 56417.5 O NULL 14427.8 504.963 17.102 0.038
OBS: 56421.4 O NULL 12624.1 162.781 17.247 0.014
OBS: 56425.5 O NULL 11523.9 265.348 17.346 0.025
OBS: 56430.5 O NULL 9576.35 255.784 17.547 0.029
OBS: 56433.4 O NULL 7399.46 974.567 17.827 0.143
OBS: 56437.5 O NULL 5638.97 176.585 18.122 0.034
OBS: 56443.4 O NULL 4032.74 104 18.486 0.028
OBS: 56447.4 O NULL 3590.87 135.6 18.612 0.041
OBS: 56449.4 O NULL 3308.26 106.646 18.701 0.035
OBS: 56402.4 P NULL 20081.7 462.398 16.743 0.025
OBS: 56410.5 P NULL 17997 232.062 16.862 0.014
OBS: 56413.4 P NULL 15038.3 1980.67 17.057 0.143
OBS: 56417.5 P NULL 12257.4 530.608 17.279 0.047
OBS: 56421.4 P NULL 11912.4 362.068 17.31 0.033
OBS: 56425.5 P NULL 12823.3 188.971 17.23 0.016
OBS: 56430.5 P NULL 12942 488.719 17.22 0.041
OBS: 56433.4 P NULL 9853.72 3212.76 17.516 0.354
OBS: 56437.5 P NULL 7467.93 371.424 17.817 0.054
OBS: 56443.4 P NULL 4979.66 206.39 18.257 0.045
OBS: 56447.4 P NULL 4321.16 330.334 18.411 0.083
OBS: 56449.4 P NULL 4081.31 191.71 18.473 0.051
END:
