SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2013dy 
IAUC: 2013dy
RA:   334.573330 deg
DECL:    40.569330 deg 
RA_HOST:   334.574170
DEC_HOST:    40.562390
MWEBV: 0.132000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.003939 +- 0.000117 
REDSHIFT_CMB: 0.0029325 +- 0.000117 
VPEC: -413.1002 +- 250.0
HOSTGAL_LOGMASS: 8.5571 +- 0.002
FILTERS: ABCDEFGHIJKLMNOP
SEARCH_PEAKMJD: 56505.4
NOBS: 523
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 56484.4 E NULL 21757 360.702 16.656 0.018
OBS: 56485.5 E NULL 34737.6 575.901 16.148 0.018
OBS: 56486.4 E NULL 52868.9 1801.68 15.692 0.037
OBS: 56487.4 E NULL 80167.8 959.885 15.24 0.013
OBS: 56488.4 E NULL 116950 1400.29 14.83 0.013
OBS: 56489.4 E NULL 162780 1949.03 14.471 0.013
OBS: 56490.4 E NULL 216371 1992.85 14.162 0.01
OBS: 56491.4 E NULL 259896 2872.48 13.963 0.012
OBS: 56492.4 E NULL 303669 4195.34 13.794 0.015
OBS: 56492.5 M NULL 310170 1999.74 13.771 0.007
OBS: 56493.4 E NULL 357437 11851.6 13.617 0.036
OBS: 56494.4 E NULL 385123 5675.39 13.536 0.016
OBS: 56496.3 E NULL 477749 31241.7 13.302 0.071
OBS: 56497.4 E NULL 488877 4953 13.277 0.011
OBS: 56498.4 E NULL 499804 6905.05 13.253 0.015
OBS: 56498.4 M NULL 495222 6385.63 13.263 0.014
OBS: 56499.4 E NULL 504429 27411.2 13.243 0.059
OBS: 56500.4 E NULL 529663 8293.25 13.19 0.017
OBS: 56501.4 E NULL 520475 6231.88 13.209 0.013
OBS: 56502.4 E NULL 519039 5736.63 13.212 0.012
OBS: 56503.3 E NULL 483949 5348.81 13.288 0.012
OBS: 56504.3 E NULL 482170 5329.14 13.292 0.012
OBS: 56505.3 E NULL 466874 4730.08 13.327 0.011
OBS: 56505.4 M NULL 476431 5704.52 13.305 0.013
OBS: 56506.3 E NULL 456667 4626.67 13.351 0.011
OBS: 56507.2 M NULL 427760 2757.87 13.422 0.007
OBS: 56507.3 E NULL 433311 6784.61 13.408 0.017
OBS: 56508.3 E NULL 415719 4211.81 13.453 0.011
OBS: 56509.3 E NULL 395913 4375.79 13.506 0.012
OBS: 56510.3 E NULL 368468 3733.09 13.584 0.011
OBS: 56511.2 M NULL 356451 4924.55 13.62 0.015
OBS: 56511.3 E NULL 341036 3769.27 13.668 0.012
OBS: 56512.3 E NULL 322998 3569.91 13.727 0.012
OBS: 56513.3 E NULL 291340 2951.67 13.839 0.011
OBS: 56514.3 E NULL 271644 4253.29 13.915 0.017
OBS: 56516.3 E NULL 224285 2478.89 14.123 0.012
OBS: 56517.3 E NULL 201187 2223.6 14.241 0.012
OBS: 56518.4 E NULL 185524 1879.61 14.329 0.011
OBS: 56519.3 E NULL 168733 1709.5 14.432 0.011
OBS: 56520.3 E NULL 153886 1842.55 14.532 0.013
OBS: 56521.4 E NULL 116520 19961.3 14.834 0.186
OBS: 56522.3 E NULL 128825 1779.78 14.725 0.015
OBS: 56523.3 E NULL 118577 1856.63 14.815 0.017
OBS: 56524.3 E NULL 104232 4416.05 14.955 0.046
OBS: 56525.3 E NULL 100092 4701.6 14.999 0.051
OBS: 56527.4 M NULL 76278.1 913.312 15.294 0.013
OBS: 56528.4 E NULL 80389.6 1702.96 15.237 0.023
OBS: 56529.3 E NULL 75578.8 1044.16 15.304 0.015
OBS: 56530.3 E NULL 70274.9 970.883 15.383 0.015
OBS: 56531.3 E NULL 65162.8 960.275 15.465 0.016
OBS: 56533.3 E NULL 57174.2 789.891 15.607 0.015
OBS: 56534.3 E NULL 54651.2 805.37 15.656 0.016
OBS: 56535.3 E NULL 52480.7 725.048 15.7 0.015
OBS: 56535.4 M NULL 43893.5 485.129 15.894 0.012
OBS: 56536.3 E NULL 48663.1 717.126 15.782 0.016
OBS: 56539.3 E NULL 42305.8 623.441 15.934 0.016
OBS: 56540.3 E NULL 39700.9 2120.82 16.003 0.058
