SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2014ao 
IAUC: 2014ao
RA:   128.638830 deg
DECL:    -2.543360 deg 
RA_HOST:   128.638960
DEC_HOST:    -2.546810
MWEBV: 0.031000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.014747 +- 0.00015 
REDSHIFT_CMB: 0.0157164 +- 0.00015 
VPEC: -95.8184 +- 250.0
HOSTGAL_LOGMASS: 10.7179 +- 0.002
FILTERS: ABCDEFGHIJKLMNOP
SEARCH_PEAKMJD: 56766.2
NOBS: 119
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 56764.3 E NULL 13502.1 957.561 17.174 0.077
OBS: 56765.2 E NULL 14628.5 875.768 17.087 0.065
OBS: 56766.2 E NULL 14295.5 1040.17 17.112 0.079
OBS: 56766.2 M NULL 13918.7 1153.77 17.141 0.09
OBS: 56767.2 E NULL 14682.5 838.431 17.083 0.062
OBS: 56768.2 E NULL 12823.3 980.288 17.23 0.083
OBS: 56771.2 E NULL 12531.4 704.053 17.255 0.061
OBS: 56776.2 E NULL 9069.85 1395.06 17.606 0.167
OBS: 56777.2 E NULL 8887.92 834.98 17.628 0.102
OBS: 56778.2 E NULL 7834.3 887.525 17.765 0.123
OBS: 56778.2 M NULL 6674.21 258.181 17.939 0.042
OBS: 56779.2 E NULL 7385.84 1006.79 17.829 0.148
OBS: 56780.2 E NULL 7571.82 1527.28 17.802 0.219
OBS: 56781.2 E NULL 4707.6 1348.45 18.318 0.311
OBS: 56787.2 E NULL 4617.43 1969.05 18.339 0.463
OBS: 56788.2 E NULL 4984.25 1524.1 18.256 0.332
OBS: 56789.2 M NULL 3101.7 725.62 18.771 0.254
OBS: 56790.2 E NULL 5948.4 2591.41 18.064 0.473
OBS: 56791.2 E NULL 4495.73 1652.15 18.368 0.399
OBS: 56793.2 M NULL 2303.56 2195.92 19.094 1.035
OBS: 56800.2 M NULL 1143.93 802.843 19.854 0.762
OBS: 56764.3 F NULL 22887.6 1243.73 16.601 0.059
OBS: 56765.2 F NULL 23856.1 769.031 16.556 0.035
OBS: 56766.2 F NULL 24957.4 1402.19 16.507 0.061
OBS: 56766.2 N NULL 24232.6 2879.16 16.539 0.129
OBS: 56767.2 F NULL 24934.5 1148.27 16.508 0.05
OBS: 56768.2 F NULL 25049.6 1361.22 16.503 0.059
OBS: 56771.2 F NULL 23856.1 1516.09 16.556 0.069
OBS: 56772.2 F NULL 30507 16100.2 16.289 0.573
OBS: 56776.2 F NULL 21183.6 1658.42 16.685 0.085
OBS: 56777.2 F NULL 19373.1 1302.56 16.782 0.073
OBS: 56778.2 F NULL 17346 1246.15 16.902 0.078
OBS: 56778.2 N NULL 17202.8 2772.77 16.911 0.175
OBS: 56779.2 F NULL 16188.3 1655 16.977 0.111
OBS: 56780.2 F NULL 16811.2 1703.21 16.936 0.11
OBS: 56781.2 F NULL 15052.2 2190.45 17.056 0.158
OBS: 56785.2 F NULL 16998.1 4321 16.924 0.276
OBS: 56787.2 F NULL 11117.3 1822.62 17.385 0.178
