SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2014bj 
IAUC: 2014bj
RA:   290.663120 deg
DECL:    43.890810 deg 
RA_HOST:   290.667870
DEC_HOST:    43.888500
MWEBV: 0.091000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.043 +- 0.005 
REDSHIFT_CMB: 0.0423924 +- 0.005 
VPEC: -53.1604 +- 250.0
HOSTGAL_LOGMASS: -9.0000 +- -9.000
FILTERS: ABCDEFGHIJKLMNOP
SEARCH_PEAKMJD: 56802.5
NOBS: 90
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 56800.3 E NULL 6415.05 537.672 17.982 0.091
OBS: 56800.4 M NULL 6823.39 94.2686 17.915 0.015
OBS: 56801.5 E NULL 5850.59 1233.99 18.082 0.229
OBS: 56802.5 E NULL 6492.32 1500.89 17.969 0.251
OBS: 56803.5 E NULL 6014.51 642.59 18.052 0.116
OBS: 56804.5 E NULL 5813 658.538 18.089 0.123
OBS: 56806.5 E NULL 4417.74 651.022 18.387 0.16
OBS: 56807.5 E NULL 4130.48 719.014 18.46 0.189
OBS: 56808.5 E NULL 4138.09 476.415 18.458 0.125
OBS: 56809.5 E NULL 3657.63 478.37 18.592 0.142
OBS: 56810.5 E NULL 3483.37 506.912 18.645 0.158
OBS: 56811.5 E NULL 3332.73 438.947 18.693 0.143
OBS: 56813.5 M NULL 2263.6 66.7153 19.113 0.032
OBS: 56813.5 E NULL 2305.69 535.151 19.093 0.252
OBS: 56814.5 E NULL 2392.21 352.53 19.053 0.16
OBS: 56818.5 E NULL 1530.38 576.5 19.538 0.409
OBS: 56818.5 M NULL 1393.16 79.555 19.64 0.062
OBS: 56821.5 M NULL 1935.53 734.468 19.283 0.412
OBS: 56835.4 M NULL 449.573 78.2596 20.868 0.189
OBS: 56800.3 F NULL 6456.54 404.375 17.975 0.068
OBS: 56800.4 N NULL 8009.4 95.9001 17.741 0.013
OBS: 56801.5 F NULL 7224.37 1217.66 17.853 0.183
OBS: 56802.5 F NULL 7467.93 742.847 17.817 0.108
OBS: 56803.5 F NULL 7670.08 989.017 17.788 0.14
OBS: 56804.5 F NULL 7719.69 533.257 17.781 0.075
OBS: 56806.5 F NULL 7079.46 828.094 17.875 0.127
OBS: 56807.5 F NULL 6510.28 791.498 17.966 0.132
OBS: 56808.5 F NULL 6075.75 537.213 18.041 0.096
OBS: 56809.5 F NULL 6426.88 580.099 17.98 0.098
OBS: 56810.5 F NULL 4843.95 463.99 18.287 0.104
OBS: 56811.5 F NULL 5233.59 404.907 18.203 0.084
OBS: 56813.5 N NULL 4349.11 144.204 18.404 0.036
OBS: 56813.5 F NULL 4520.64 374.73 18.362 0.09
OBS: 56814.5 F NULL 4487.45 384.378 18.37 0.093
OBS: 56818.5 F NULL 3335.8 399.41 18.692 0.13
OBS: 56818.5 N NULL 3363.57 117.722 18.683 0.038
OBS: 56820.4 F NULL 3948.21 487.282 18.509 0.134
OBS: 56822.4 F NULL 2647.28 577.862 18.943 0.237
OBS: 56825.4 F NULL 2299.32 626.855 19.096 0.296
OBS: 56829.4 F NULL 2141.9 566.184 19.173 0.287
OBS: 56833.5 N NULL 1224.62 650.806 19.78 0.577
OBS: 56835.4 N NULL 1402.17 169.179 19.633 0.131
OBS: 56800.3 G NULL 7059.92 429.16 17.878 0.066
OBS: 56800.4 O NULL 9736.44 134.514 17.529 0.015
OBS: 56801.5 G NULL 9532.35 719.929 17.552 0.082
OBS: 56802.5 G NULL 9981.6 689.504 17.502 0.075
OBS: 56803.5 G NULL 8195.96 430.279 17.716 0.057
OBS: 56804.5 G NULL 8105.88 507.674 17.728 0.068
OBS: 56806.5 G NULL 7053.42 630.155 17.879 0.097
OBS: 56807.5 G NULL 7297.94 403.299 17.842 0.06
OBS: 56808.5 G NULL 6120.68 749.769 18.033 0.133
OBS: 56809.5 G NULL 5717.42 342.286 18.107 0.065
OBS: 56810.5 G NULL 5277.16 398.556 18.194 0.082
OBS: 56811.5 G NULL 5571.86 282.253 18.135 0.055
OBS: 56813.5 O NULL 5048.94 297.616 18.242 0.064
OBS: 56813.5 G NULL 4893.28 414.633 18.276 0.092
OBS: 56814.5 G NULL 5355.5 330.484 18.178 0.067
OBS: 56818.5 G NULL 4835.04 365.165 18.289 0.082
OBS: 56818.5 O NULL 4984.25 128.539 18.256 0.028
OBS: 56820.4 G NULL 5166.54 466.339 18.217 0.098
OBS: 56821.5 O NULL 4790.71 736.872 18.299 0.167
OBS: 56822.4 G NULL 4520.64 499.64 18.362 0.12
OBS: 56825.4 G NULL 4647.29 539.32 18.332 0.126
OBS: 56829.4 G NULL 3705.1 426.565 18.578 0.125
OBS: 56833.5 O NULL 2647.28 846.068 18.943 0.347
OBS: 56835.4 O NULL 2539.8 278.37 18.988 0.119
OBS: 56800.3 H NULL 4651.57 1011.09 18.331 0.236
OBS: 56800.4 P NULL 6735.97 303.999 17.929 0.049
OBS: 56801.5 H NULL 5086.28 1508.45 18.234 0.322
OBS: 56802.5 H NULL 5176.07 1215.67 18.215 0.255
OBS: 56803.5 H NULL 4528.98 921.866 18.36 0.221
OBS: 56804.5 H NULL 4884.27 629.802 18.278 0.14
OBS: 56806.5 H NULL 4405.55 1176.72 18.39 0.29
OBS: 56807.5 H NULL 3981.07 704.007 18.5 0.192
OBS: 56808.5 H NULL 3432.42 546.917 18.661 0.173
OBS: 56809.5 H NULL 2926.85 603.843 18.834 0.224
OBS: 56810.5 H NULL 3274.91 672.637 18.712 0.223
OBS: 56811.5 H NULL 3851.23 588.822 18.536 0.166
OBS: 56813.5 P NULL 4475.07 1726.99 18.373 0.419
OBS: 56813.5 H NULL 3118.89 652.081 18.765 0.227
OBS: 56814.5 H NULL 3332.73 586.285 18.693 0.191
OBS: 56818.5 H NULL 3218.1 554.265 18.731 0.187
OBS: 56818.5 P NULL 4462.72 2659.38 18.376 0.647
OBS: 56820.4 H NULL 4835.04 676.892 18.289 0.152
OBS: 56821.5 P NULL 4345.1 768.382 18.405 0.192
OBS: 56822.4 H NULL 3812.41 835.704 18.547 0.238
OBS: 56825.4 H NULL 4126.67 965.405 18.461 0.254
OBS: 56829.4 H NULL 4353.11 697.63 18.403 0.174
OBS: 56833.5 P NULL 3287 614.571 18.708 0.203
OBS: 56835.4 P NULL 3590.87 350.575 18.612 0.106
END:
