SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2015N 
IAUC: 2015N
RA:   325.820370 deg
DECL:    43.579890 deg 
RA_HOST:   325.834210
DEC_HOST:    43.576310
MWEBV: 0.456000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.012499 +- 8.7e-05 
REDSHIFT_CMB: 0.0115618 +- 8.7e-05 
VPEC: -120.629 +- 250.0
HOSTGAL_LOGMASS: -9.0000 +- -9.000
FILTERS: ABCDEFGHIJKLMNOP
SEARCH_PEAKMJD: 57221.4
NOBS: 285
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 57209.4 E NULL 5233.59 1041.19 18.203 0.216
OBS: 57218.4 M NULL 16504.4 349.626 16.956 0.023
OBS: 57221.4 M NULL 22039.4 507.476 16.642 0.025
OBS: 57226.4 M NULL 17799.2 426.235 16.874 0.026
OBS: 57231.4 M NULL 13378.3 406.621 17.184 0.033
OBS: 57234.3 M NULL 10261.2 491.45 17.472 0.052
OBS: 57237.4 E NULL 9384.26 1192.76 17.569 0.138
OBS: 57238.4 E NULL 7613.77 1535.75 17.796 0.219
OBS: 57238.4 M NULL 6835.97 302.216 17.913 0.048
OBS: 57240.4 E NULL 7197.8 1518.14 17.857 0.229
OBS: 57242.4 E NULL 4799.54 720.549 18.297 0.163
OBS: 57244.3 E NULL 3822.96 809.848 18.544 0.23
OBS: 57245.4 E NULL 4549.88 1320.04 18.355 0.315
OBS: 57247.5 M NULL 2881.38 283.961 18.851 0.107
OBS: 57249.3 E NULL 3584.26 1171.94 18.614 0.355
OBS: 57250.3 E NULL 3451.44 1872.37 18.655 0.589
OBS: 57251.3 E NULL 2596.57 621.798 18.964 0.26
OBS: 57252.3 E NULL 2606.15 492.073 18.96 0.205
OBS: 57252.4 M NULL 1991.59 269.645 19.252 0.147
OBS: 57255.3 E NULL 1858.66 575.195 19.327 0.336
OBS: 57256.3 E NULL 1685.78 579.141 19.433 0.373
OBS: 57257.3 E NULL 2058.73 745.192 19.216 0.393
OBS: 57259.3 E NULL 1908.97 717.358 19.298 0.408
OBS: 57260.3 E NULL 1806.34 885.09 19.358 0.532
OBS: 57260.3 M NULL 1164.13 180.13 19.835 0.168
OBS: 57272.3 M NULL 950.605 63.9144 20.055 0.073
OBS: 57276.2 M NULL 944.496 136.576 20.062 0.157
OBS: 57283.4 M NULL 1193.44 192.36 19.808 0.175
OBS: 57302.3 M NULL 730.466 53.8227 20.341 0.08
OBS: 57307.3 M NULL 682.339 59.075 20.415 0.094
OBS: 57311.2 M NULL 807.607 281.169 20.232 0.378
OBS: 57317.2 M NULL 680.456 95.2619 20.418 0.152
OBS: 57327.3 M NULL 594.292 167.493 20.565 0.306
OBS: 57339.3 M NULL 489.328 347.48 20.776 0.771
OBS: 57361.2 M NULL 394.457 59.2193 21.01 0.163
OBS: 57373.2 M NULL 362.076 88.3734 21.103 0.265
OBS: 57209.4 F NULL 5845.21 500.678 18.083 0.093
OBS: 57218.4 N NULL 24615 1791.03 16.522 0.079
OBS: 57219.5 F NULL 29430.7 2819.09 16.328 0.104
OBS: 57221.4 N NULL 32809.5 2508.15 16.21 0.083
OBS: 57226.4 N NULL 30817.7 1135.37 16.278 0.04
OBS: 57231.4 N NULL 27797.1 1996.96 16.39 0.078
OBS: 57234.3 N NULL 23659.2 1176.71 16.565 0.054
OBS: 57237.4 F NULL 21938.1 6263.79 16.647 0.31
OBS: 57238.4 F NULL 19952.6 826.967 16.75 0.045
OBS: 57238.4 N NULL 19248.6 1595.58 16.789 0.09
OBS: 57239.3 F NULL 18914.7 888.476 16.808 0.051
OBS: 57240.4 F NULL 17045.1 675.063 16.921 0.043
OBS: 57242.4 F NULL 15531 801.058 17.022 0.056
OBS: 57243.3 F NULL 15473.9 3320.71 17.026 0.233
OBS: 57244.3 F NULL 15718.1 564.599 17.009 0.039
OBS: 57245.4 F NULL 13944.4 3801.61 17.139 0.296
OBS: 57246.4 F NULL 15038.3 1246.57 17.057 0.09
OBS: 57247.3 F NULL 13452.4 3221.43 17.178 0.26
OBS: 57247.5 N NULL 12189.9 1549.37 17.285 0.138
