SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2016aew 
IAUC: 2016aew
RA:   212.860434 deg
DECL:     1.285972 deg 
RA_HOST:   212.859299
DEC_HOST:     1.286520
MWEBV: 0.033000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.0249351 +- 9.9342e-06 
REDSHIFT_CMB: 0.0258185 +- 9.9342e-06 
VPEC: 141.1641 +- 250.0
HOSTGAL_LOGMASS: 10.8936 +- 0.002
FILTERS: ABCDEFGHIJKLMNOP
SEARCH_PEAKMJD: 57444.5
NOBS: 23
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 57444.5 M NULL 20739.6 859.584 16.708 0.045
OBS: 57471.5 M NULL 2409.91 481.654 19.045 0.217
OBS: 57484.5 M NULL 572.269 240.348 20.606 0.456
OBS: 57498.5 M NULL 1342.76 607.236 19.68 0.491
OBS: 57581.3 M NULL 306.478 211.426 21.284 0.749
OBS: 57444.5 N NULL 20816.1 671.033 16.704 0.035
OBS: 57448.4 N NULL 19266.4 763.034 16.788 0.043
OBS: 57471.5 N NULL 2087.37 465.255 19.201 0.242
OBS: 57484.5 N NULL 1282.33 206.687 19.73 0.175
OBS: 57498.5 N NULL 1796.39 979.484 19.364 0.592
OBS: 57581.3 N NULL 548.025 290.231 20.653 0.575
OBS: 57584.2 N NULL 380.89 203.822 21.048 0.581
OBS: 57587.2 N NULL 737.225 420.986 20.331 0.62
OBS: 57444.5 O NULL 19142.6 793.393 16.795 0.045
OBS: 57448.4 O NULL 5248.07 1198.75 18.2 0.248
OBS: 57471.5 O NULL 2613.36 837.635 18.957 0.348
OBS: 57484.5 O NULL 2242.85 231.363 19.123 0.112
OBS: 57498.5 O NULL 987.188 618.279 20.014 0.68
OBS: 57581.3 O NULL 769.839 394.231 20.284 0.556
OBS: 57448.4 P NULL 7663.02 2766.7 17.789 0.392
OBS: 57471.5 P NULL 3948.21 1080.02 18.509 0.297
OBS: 57484.5 P NULL 2849.71 454.069 18.863 0.173
OBS: 57584.2 P NULL 574.91 374.365 20.601 0.707
END:
