SURVEY: KAIT
PHOTOMETRY_VERSION: LOSS
SNTYPE: 1
SNID: 2016fbk 
IAUC: 2016fbk
RA:    26.027239 deg
DECL:    34.382692 deg 
RA_HOST:    26.033841
DEC_HOST:    34.387291
MWEBV: 0.042000 MW E(B-V) (SF11)
REDSHIFT_HELIO: 0.035865 +- 1.2e-05 
REDSHIFT_CMB: 0.0349552 +- 1.2e-05 
VPEC: -233.2578 +- 250.0
HOSTGAL_LOGMASS: 11.2197 +- 0.002
FILTERS: ABCDEFGHIJKLMNOP
SEARCH_PEAKMJD: 57626.4
NOBS: 57
NVAR: 7
VARLIST: MJD FLT FIELD FLUXCAL FLUXCALERR MAG MAGERR
OBS: 57623.3 M NULL 10009.2 460.941 17.499 0.05
OBS: 57626.4 M NULL 10195.3 150.243 17.479 0.016
OBS: 57633.3 M NULL 7177.94 224.778 17.86 0.034
OBS: 57637.3 M NULL 5095.65 70.3991 18.232 0.015
OBS: 57647.4 M NULL 1517.75 241.836 19.547 0.173
OBS: 57650.3 M NULL 1093.45 170.201 19.903 0.169
OBS: 57668.4 M NULL 510.975 42.3563 20.729 0.09
OBS: 57683.4 M NULL 353.183 43.5894 21.13 0.134
OBS: 57687.3 M NULL 442.588 66.4451 20.885 0.163
OBS: 57702.3 M NULL 321.514 79.6577 21.232 0.269
OBS: 57710.3 M NULL 387.614 100.319 21.029 0.281
OBS: 57726.3 M NULL 217.57 111.216 21.656 0.555
OBS: 57744.2 M NULL 301.717 115.047 21.301 0.414
OBS: 57626.4 N NULL 11738.2 86.49 17.326 0.008
OBS: 57633.3 N NULL 10120.5 139.819 17.487 0.015
OBS: 57637.3 N NULL 8195.96 98.1339 17.716 0.013
OBS: 57650.3 N NULL 3732.5 161.575 18.57 0.047
OBS: 57658.4 N NULL 2329.16 92.2453 19.082 0.043
OBS: 57661.4 N NULL 1809.67 73.3379 19.356 0.044
OBS: 57668.4 N NULL 1517.75 67.0991 19.547 0.048
OBS: 57687.3 N NULL 893.717 79.0218 20.122 0.096
OBS: 57697.3 N NULL 776.247 56.4811 20.275 0.079
OBS: 57702.3 N NULL 679.829 84.5297 20.419 0.135
OBS: 57710.3 N NULL 469.462 120.637 20.821 0.279
OBS: 57726.3 N NULL 411.908 80.0494 20.963 0.211
OBS: 57753.2 N NULL 329.61 120.826 21.205 0.398
OBS: 57799.2 N NULL 298.401 105.538 21.313 0.384
OBS: 57626.4 O NULL 14308.7 131.788 17.111 0.01
OBS: 57633.3 O NULL 11956.4 209.233 17.306 0.019
OBS: 57637.3 O NULL 9044.82 116.628 17.609 0.014
OBS: 57647.4 O NULL 6649.67 189.862 17.943 0.031
OBS: 57650.3 O NULL 6415.05 218.614 17.982 0.037
OBS: 57658.4 O NULL 4438.13 122.63 18.382 0.03
OBS: 57661.4 O NULL 3541.6 114.168 18.627 0.035
OBS: 57668.4 O NULL 2594.18 100.352 18.965 0.042
OBS: 57683.4 O NULL 1599.56 73.6624 19.49 0.05
OBS: 57687.3 O NULL 1440.12 120.703 19.604 0.091
OBS: 57697.3 O NULL 1091.44 80.4203 19.905 0.08
OBS: 57702.3 O NULL 1084.43 140.83 19.912 0.141
OBS: 57710.3 O NULL 818.842 133.49 20.217 0.177
OBS: 57726.3 O NULL 450.817 99.6522 20.865 0.24
OBS: 57753.2 O NULL 614.894 252.587 20.528 0.446
OBS: 57626.4 P NULL 12508.3 218.892 17.257 0.019
OBS: 57633.3 P NULL 9497.3 376.135 17.556 0.043
OBS: 57637.3 P NULL 7251.03 220.389 17.849 0.033
OBS: 57647.4 P NULL 8309.98 221.959 17.701 0.029
OBS: 57650.3 P NULL 8487.9 297.07 17.678 0.038
OBS: 57658.4 P NULL 7118.69 262.262 17.869 0.04
OBS: 57661.4 P NULL 5500.47 395.158 18.149 0.078
OBS: 57668.4 P NULL 4066.31 262.164 18.477 0.07
OBS: 57683.4 P NULL 2220.24 196.312 19.134 0.096
OBS: 57687.3 P NULL 2104.75 252.011 19.192 0.13
OBS: 57697.3 P NULL 1390.59 172.906 19.642 0.135
OBS: 57702.3 P NULL 1189.05 209.175 19.812 0.191
OBS: 57710.3 P NULL 1329.23 295.048 19.691 0.241
OBS: 57726.3 P NULL 680.456 159.814 20.418 0.255
OBS: 57753.2 P NULL 560.79 335.729 20.628 0.65
END:
